simTime,atmosphericLoss_dB,fspl_dB,power_dBm
0.1,0,199.097,-76.5439
0.1,0,199.14,-76.5872
0.1,0,199.338,-76.785
0.1,0,199.233,-76.6798
0.1,0,199.294,-76.7416
0.10002024,0,195.832,-108.275
0.10003024,0,195.832,-108.319
0.10004024,0,195.729,-108.414
0.10005024,0,195.646,-108.226
0.10006024,0,195.601,-108.242
0.2,0,199.097,-76.5439
0.2,0,199.14,-76.5872
0.2,0,199.338,-76.785
0.2,0,199.233,-76.6798
0.2,0,199.294,-76.7416
0.20002024,0,195.832,-108.275
0.20003024,0,195.704,-108.191
0.20004024,0,195.986,-108.671
0.20005024,0,195.838,-108.418
0.20006024,0,195.601,-108.242
0.3,0,199.097,-76.5439
0.3,0,199.14,-76.5872
0.3,0,199.338,-76.785
0.3,0,199.233,-76.6798
0.3,0,199.294,-76.7416
0.30002024,0,195.832,-108.275
0.30003024,0,195.704,-108.191
0.30004024,0,195.794,-108.479
0.30005024,0,195.581,-108.161
0.30006024,0,195.794,-108.435
0.4,0,199.097,-76.5439
0.4,0,199.14,-76.5872
0.4,0,199.338,-76.785
0.4,0,199.233,-76.6798
0.4,0,199.294,-76.7416
0.40002024,0,195.768,-108.212
0.40003024,0,195.575,-108.062
0.40004024,0,195.794,-108.479
0.40005024,0,195.711,-108.29
0.40006024,0,195.794,-108.435
0.5,0,199.097,-76.5439
0.5,0,199.14,-76.5872
0.5,0,199.338,-76.785
0.5,0,199.233,-76.6798
0.5,0,199.294,-76.7416
0.50002024,0,195.64,-108.084
0.50003024,0,195.704,-108.191
0.50004024,0,195.986,-108.671
0.50005024,0,195.838,-108.418
0.50006024,0,195.601,-108.242
0.6,0,199.097,-76.5439
0.6,0,199.14,-76.5872
0.6,0,199.338,-76.785
0.6,0,199.233,-76.6798
0.6,0,199.294,-76.7416
0.60002024,0,195.832,-108.275
0.60003024,0,195.704,-108.191
0.60004024,0,195.986,-108.671
0.60005024,0,195.581,-108.161
0.60006024,0,195.665,-108.307
0.7,0,199.097,-76.5439
0.7,0,199.14,-76.5872
0.7,0,199.338,-76.785
0.7,0,199.233,-76.6798
0.7,0,199.294,-76.7416
0.70002024,0,195.768,-108.212
0.70003024,0,195.832,-108.319
0.70004024,0,195.986,-108.671
0.70005024,0,195.711,-108.29
0.70006024,0,195.601,-108.242
0.8,0,199.097,-76.5439
0.8,0,199.14,-76.5872
0.8,0,199.338,-76.785
0.8,0,199.233,-76.6798
0.8,0,199.294,-76.7416
0.80002024,0,195.704,-108.148
0.80003024,0,195.575,-108.062
0.80004024,0,195.794,-108.479
