simTime,MCCIndex,specWeatherModel
0.1,0,2.26163
0.10001,0,2.26163
0.1,1,3.61055
0.10001,1,3.61055
0.1,2,0
0.10001,2,0
0.1,3,0.245398
0.10001,3,0.245398
0.1,4,2.69225
0.10001,4,0
0.2,0,2.26163
0.20001,0,2.26163
0.2,1,3.61055
0.20001,1,3.61055
0.2,2,0
0.20001,2,0
0.2,3,0.245398
0.20001,3,0
0.2,4,0
0.20001,4,0
0.3,0,2.26163
0.30001,0,2.26163
0.3,1,3.61055
0.30001,1,3.61055
0.3,2,0
0.30001,2,0
0.3,3,0
0.30001,3,0
0.3,4,0
0.30001,4,0
0.4,0,2.26163
0.40001,0,2.26163
0.4,1,3.61055
0.40001,1,3.61055
0.4,2,0
0.40001,2,0
0.4,3,0
0.40001,3,0
0.4,4,0
0.40001,4,0
0.5,0,2.26163
0.50001,0,8.45119
0.5,1,3.61055
0.50001,1,3.61055
0.5,2,0
0.50001,2,0
0.5,3,0
0.50001,3,0
0.5,4,0
0.50001,4,0
0.6,0,8.45119
0.60001,0,8.45119
0.6,1,3.61055
0.60001,1,3.61055
0.6,2,0
0.60001,2,0
0.6,3,0
0.60001,3,0
0.6,4,0
0.60001,4,0
0.7,0,8.45119
0.70001,0,8.45119
0.7,1,3.61055
0.70001,1,3.61055
0.7,2,0
0.70001,2,0
0.7,3,0
0.70001,3,9.92817
0.7,4,0
0.70001,4,0
0.8,0,8.45119
0.80001,0,8.45119
0.8,1,3.61055
0.80001,1,3.61055
0.8,2,0
0.80001,2,0
0.8,3,9.92817
0.80001,3,9.92817
0.8,4,0
0.80001,4,0
0.9,0,8.45119
0.90001,0,8.45119
0.9,1,3.61055
0.90001,1,3.61055
0.9,2,0
0.90001,2,0
0.9,3,9.92817
0.90001,3,9.92817
0.9,4,0
0.90001,4,0
1,0,8.45119
1.00001,0,0
1,1,3.61055
1.00001,1,3.61055
1,2,0
1.00001,2,0
1,3,9.92817
1.00001,3,9.92817
1,4,0
1.00001,4,0
1.1,0,0
1.10001,0,0
1.1,1,3.61055
1.10001,1,3.61055
1.1,2,0
1.10001,2,0
1.1,3,9.92817
1.10001,3,9.92817
1.1,4,0
1.10001,4,10.1097
1.2,0,0
1.20001,0,0
1.2,1,3.61055
1.20001,1,3.61055
1.2,2,0
1.20001,2,0
1.2,3,9.92817
1.20001,3,9.92817
1.2,4,10.1097
1.20001,4,10.1097
1.3,0,0
1.30001,0,0
1.3,1,3.61055
1.30001,1,3.61055
1.3,2,0
1.30001,2,12.4525
1.3,3,9.92817
1.30001,3,9.92817
1.3,4,10.1097
1.30001,4,10.1097
1.4,0,0
1.40001,0,23.9385
1.4,1,3.61055
1.40001,1,10.0205
1.4,2,12.4525
1.40001,2,7.81113
1.4,3,9.92817
1.40001,3,9.92817
1.4,4,10.1097
1.40001,4,30.6882
1.5,0,23.9385
1.50001,0,23.9385
1.5,1,10.0205
1.50001,1,10.0205
1.5,2,7.81113
1.50001,2,7.81113
1.5,3,9.92817
1.50001,3,9.92817
1.5,4,30.6882
1.50001,4,30.6882
1.6,0,23.9385
1.60001,0,46.5874
1.6,1,10.0205
1.60001,1,10.0205
1.6,2,7.81113
1.60001,2,29.0107
1.6,3,9.92817
1.60001,3,9.92817
1.6,4,30.6882
1.60001,4,50.9107
1.7,0,46.5874
1.70001,0,46.5874
1.7,1,10.0205
1.70001,1,10.0205
1.7,2,29.0107
1.70001,2,29.0107
1.7,3,9.92817
1.70001,3,9.92817
1.7,4,50.9107
1.70001,4,50.9107
1.8,0,46.5874
1.80001,0,46.5874
1.8,1,10.0205
1.80001,1,10.0205
1.8,2,29.0107
1.80001,2,29.0107
1.8,3,9.92817
1.80001,3,17.2036
1.8,4,50.9107
1.80001,4,50.9107
1.9,0,46.5874
1.90001,0,62.6247
1.9,1,10.0205
1.90001,1,10.0205
1.9,2,29.0107
1.90001,2,30.1389
1.9,3,17.2036
1.90001,3,17.2036
1.9,4,50.9107
1.90001,4,40.1353
2,0,62.6247
2.00001,0,61.8211
2,1,10.0205
2.00001,1,10.9357
2,2,30.1389
2.00001,2,20.7553
2,3,17.2036
2.00001,3,17.2036
2,4,40.1353
2.00001,4,16.1189
2.1,0,61.8211
2.10001,0,61.8211
2.1,1,10.9357
2.10001,1,0
