simTime,atmosphericLoss_dB,fspl_dB,power_dBm
0.1,49.8984,213.076,-140.422
0.1,50.0132,213.085,-140.545
0.1,50.1282,213.248,-140.824
0.1,50.2434,213.109,-140.799
0.1,50.3586,213.136,-140.942
0.2,49.8984,213.076,-140.422
0.2,50.0132,213.085,-140.545
0.2,50.1282,213.248,-140.824
0.2,50.2434,213.109,-140.799
0.2,50.3586,213.136,-140.942
0.3,49.8984,213.076,-140.422
0.3,50.0132,213.085,-140.545
0.3,50.1282,213.248,-140.824
0.3,50.2434,213.109,-140.799
0.3,50.3586,213.136,-140.942
0.4,49.8984,213.076,-140.422
0.4,50.0132,213.085,-140.545
0.4,50.1282,213.248,-140.824
0.4,50.2434,213.109,-140.799
0.4,50.3586,213.136,-140.942
0.5,49.8984,213.076,-140.422
0.5,50.0132,213.085,-140.545
0.5,50.1282,213.248,-140.824
0.5,50.2434,213.109,-140.799
0.5,50.3586,213.136,-140.942
0.6,49.8984,213.076,-140.422
0.6,50.0132,213.085,-140.545
0.6,50.1282,213.248,-140.824
0.6,50.2434,213.109,-140.799
0.6,50.3586,213.136,-140.942
0.7,49.8984,213.076,-140.422
0.7,50.0132,213.085,-140.545
0.7,50.1282,213.248,-140.824
0.7,50.2434,213.109,-140.799
0.7,50.3586,213.136,-140.942
0.8,49.8984,213.076,-140.422
0.8,50.0132,213.085,-140.545
0.8,50.1282,213.248,-140.824
0.8,50.2434,213.109,-140.799
0.8,50.3586,213.136,-140.942
0.9,49.8984,213.076,-140.422
0.9,50.0132,213.085,-140.545
0.9,50.1282,213.248,-140.824
0.9,50.2434,213.109,-140.799
0.9,50.3586,213.136,-140.942
1,49.8984,213.076,-140.422
1,50.0132,213.085,-140.545
1,50.1282,213.248,-140.824
1,50.2434,213.109,-140.799
1,50.3586,213.136,-140.942
1.1,49.8984,213.076,-140.422
1.1,50.0132,213.085,-140.545
1.1,50.1282,213.248,-140.824
1.1,50.2434,213.109,-140.799
1.1,50.3586,213.136,-140.942
1.2,49.8984,213.076,-140.422
1.2,50.0132,213.085,-140.545
1.2,50.1282,213.248,-140.824
1.2,50.2434,213.109,-140.799
1.2,50.3586,213.136,-140.942
1.3,49.8984,213.076,-140.422
1.3,50.0132,213.085,-140.545
1.3,50.1282,213.248,-140.824
1.3,50.2434,213.109,-140.799
1.3,50.3586,213.136,-140.942
1.4,49.8984,213.076,-140.422
1.4,50.0132,213.085,-140.545
1.4,50.1282,213.248,-140.824
1.4,50.2434,213.109,-140.799
1.4,50.3586,213.136,-140.942
1.5,49.8984,213.076,-140.422
1.5,50.0132,213.085,-140.545
1.5,50.1282,213.248,-140.824
1.5,50.2434,213.109,-140.799
1.5,50.3586,213.136,-140.942
1.6,49.8984,213.076,-140.422
1.6,50.0132,213.085,-140.545
1.6,50.1282,213.248,-140.824
1.6,50.2434,213.109,-140.799
1.6,50.3586,213.136,-140.942
1.7,49.8984,213.076,-140.422
1.7,50.0132,213.085,-140.545
1.7,50.1282,213.248,-140.824
1.7,50.2434,213.109,-140.799
1.7,50.3586,213.136,-140.942
1.8,49.8984,213.076,-140.422
1.8,50.0132,213.085,-140.545
1.8,50.1282,213.248,-140.824
1.8,50.2434,213.109,-140.799
1.8,50.3586,213.136,-140.942
