simTime,atmosphericLoss_dB,fspl_dB,power_dBm
0.1,19.6125,213.076,-110.136
0.1,19.6577,213.085,-110.19
0.1,19.7029,213.248,-110.398
0.1,19.7481,213.109,-110.304
0.1,19.7934,213.136,-110.377
0.2,19.6125,213.076,-110.136
0.2,19.6577,213.085,-110.19
0.2,19.7029,213.248,-110.398
0.2,19.7481,213.109,-110.304
0.2,19.7934,213.136,-110.377
0.3,19.6125,213.076,-110.136
0.3,19.6577,213.085,-110.19
0.3,19.7029,213.248,-110.398
0.3,19.7481,213.109,-110.304
0.3,19.7934,213.136,-110.377
0.4,19.6125,213.076,-110.136
0.4,19.6577,213.085,-110.19
0.4,19.7029,213.248,-110.398
0.4,19.7481,213.109,-110.304
0.4,19.7934,213.136,-110.377
0.5,19.6125,213.076,-110.136
0.5,19.6577,213.085,-110.19
0.5,19.7029,213.248,-110.398
0.5,19.7481,213.109,-110.304
0.5,19.7934,213.136,-110.377
0.6,19.6125,213.076,-110.136
0.6,19.6577,213.085,-110.19
0.6,19.7029,213.248,-110.398
0.6,19.7481,213.109,-110.304
0.6,19.7934,213.136,-110.377
0.7,19.6125,213.076,-110.136
0.7,19.6577,213.085,-110.19
0.7,19.7029,213.248,-110.398
0.7,19.7481,213.109,-110.304
0.7,19.7934,213.136,-110.377
0.8,19.6125,213.076,-110.136
0.8,19.6577,213.085,-110.19
0.8,19.7029,213.248,-110.398
0.8,19.7481,213.109,-110.304
0.8,19.7934,213.136,-110.377
0.9,19.6125,213.076,-110.136
0.9,19.6577,213.085,-110.19
0.9,19.7029,213.248,-110.398
0.9,19.7481,213.109,-110.304
0.9,19.7934,213.136,-110.377
1,19.6125,213.076,-110.136
1,19.6577,213.085,-110.19
1,19.7029,213.248,-110.398
1,19.7481,213.109,-110.304
1,19.7934,213.136,-110.377
1.1,19.6125,213.076,-110.136
1.1,19.6577,213.085,-110.19
1.1,19.7029,213.248,-110.398
1.1,19.7481,213.109,-110.304
1.1,19.7934,213.136,-110.377
1.2,19.6125,213.076,-110.136
1.2,19.6577,213.085,-110.19
1.2,19.7029,213.248,-110.398
1.2,19.7481,213.109,-110.304
1.2,19.7934,213.136,-110.377
1.3,19.6125,213.076,-110.136
1.3,19.6577,213.085,-110.19
1.3,19.7029,213.248,-110.398
1.3,19.7481,213.109,-110.304
1.3,19.7934,213.136,-110.377
1.4,19.6125,213.076,-110.136
1.4,19.6577,213.085,-110.19
1.4,19.7029,213.248,-110.398
1.4,19.7481,213.109,-110.304
1.4,19.7934,213.136,-110.377
1.5,19.6125,213.076,-110.136
1.5,19.6577,213.085,-110.19
1.5,19.7029,213.248,-110.398
1.5,19.7481,213.109,-110.304
1.5,19.7934,213.136,-110.377
1.6,19.6125,213.076,-110.136
1.6,19.6577,213.085,-110.19
1.6,19.7029,213.248,-110.398
1.6,19.7481,213.109,-110.304
1.6,19.7934,213.136,-110.377
1.7,19.6125,213.076,-110.136
1.7,19.6577,213.085,-110.19
1.7,19.7029,213.248,-110.398
1.7,19.7481,213.109,-110.304
1.7,19.7934,213.136,-110.377
1.8,19.6125,213.076,-110.136
1.8,19.6577,213.085,-110.19
1.8,19.7029,213.248,-110.398
1.8,19.7481,213.109,-110.304
1.8,19.7934,213.136,-110.377
1.9,19.6125,213.076,-110.136
1.9,19.6577,213.085,-110.19
1.9,19.7029,213.248,-110.398
1.9,19.7481,213.109,-110.304
1.9,19.7934,213.136,-110.377
2,19.6125,213.076,-110.136
2,19.6577,213.085,-110.19
2,19.7029,213.248,-110.398
2,19.7481,213.109,-110.304
2,19.7934,213.136,-110.377
2.1,19.6125,213.076,-110.136
2.1,19.6577,213.085,-110.19
2.1,19.7029,213.248,-110.398
2.1,19.7481,213.109,-110.304
2.1,19.7934,213.136,-110.377
2.2,19.6125,213.076,-110.136
2.2,19.6577,213.085,-110.19
2.2,19.7029,213.248,-110.398
2.2,19.7481,213.109,-110.304
2.2,19.7934,213.136,-110.377
2.3,19.6125,213.076,-110.136
2.3,19.6577,213.085,-110.19
2.3,19.7029,213.248,-110.398
2.3,19.7481,213.109,-110.304
2.3,19.7934,213.136,-110.377
2.4,19.6125,213.076,-110.136
2.4,19.6577,213.085,-110.19
2.4,19.7029,213.248,-110.398
2.4,19.7481,213.109,-110.304
2.4,19.7934,213.136,-110.377
2.5,19.6125,213.076,-110.136
2.5,19.6577,213.085,-110.19
2.5,19.7029,213.248,-110.398
2.5,19.7481,213.109,-110.304
2.5,19.7934,213.136,-110.377
2.6,19.6125,213.076,-110.136
2.6,19.6577,213.085,-110.19
2.6,19.7029,213.248,-110.398
2.6,19.7481,213.109,-110.304
2.6,19.7934,213.136,-110.377
2.7,19.6125,213.076,-110.136
2.7,19.6577,213.085,-110.19
2.7,19.7029,213.248,-110.398
2.7,19.7481,213.109,-110.304
2.7,19.7934,213.136,-110.377
2.8,19.6125,213.076,-110.136
2.8,19.6577,213.085,-110.19
2.8,19.7029,213.248,-110.398
2.8,19.7481,213.109,-110.304
2.8,19.7934,213.136,-110.377
2.9,19.6125,213.076,-110.136
2.9,19.6577,213.085,-110.19
2.9,19.7029,213.248,-110.398
2.9,19.7481,213.109,-110.304
2.9,19.7934,213.136,-110.377
3,19.6125,213.076,-110.136
3,19.6577,213.085,-110.19
3,19.7029,213.248,-110.398
3,19.7481,213.109,-110.304
3,19.7934,213.136,-110.377
3.1,19.6125,213.076,-110.136
3.1,19.6577,213.085,-110.19
3.1,19.7029,213.248,-110.398
3.1,19.7481,213.109,-110.304
3.1,19.7934,213.136,-110.377
3.2,19.6125,213.076,-110.136
3.2,19.6577,213.085,-110.19
3.2,19.7029,213.248,-110.398
3.2,19.7481,213.109,-110.304
3.2,19.7934,213.136,-110.377
3.3,19.6125,213.076,-110.136
3.3,19.6577,213.085,-110.19
3.3,19.7029,213.248,-110.398
3.3,19.7481,213.109,-110.304
3.3,19.7934,213.136,-110.377
3.4,19.6125,213.076,-110.136
3.4,19.6577,213.085,-110.19
3.4,19.7029,213.248,-110.398
3.4,19.7481,213.109,-110.304
3.4,19.7934,213.136,-110.377
3.5,19.6125,213.076,-110.136
3.5,19.6577,213.085,-110.19
3.5,19.7029,213.248,-110.398
3.5,19.7481,213.109,-110.304
3.5,19.7934,213.136,-110.377
3.6,19.6125,213.076,-110.136
3.6,19.6577,213.085,-110.19
3.6,19.7029,213.248,-110.398
3.6,19.7481,213.109,-110.304
3.6,19.7934,213.136,-110.377
3.7,19.6125,213.076,-110.136
3.7,19.6577,213.085,-110.19
3.7,19.7029,213.248,-110.398
3.7,19.7481,213.109,-110.304
3.7,19.7934,213.136,-110.377
3.8,19.6125,213.076,-110.136
3.8,19.6577,213.085,-110.19
3.8,19.7029,213.248,-110.398
3.8,19.7481,213.109,-110.304
3.8,19.7934,213.136,-110.377
3.9,19.6125,213.076,-110.136
3.9,19.6577,213.085,-110.19
3.9,19.7029,213.248,-110.398
3.9,19.7481,213.109,-110.304
3.9,19.7934,213.136,-110.377
4,19.6125,213.076,-110.136
4,19.6577,213.085,-110.19
4,19.7029,213.248,-110.398
4,19.7481,213.109,-110.304
4,19.7934,213.136,-110.377
4.1,19.6125,213.076,-110.136
4.1,19.6577,213.085,-110.19
4.1,19.7029,213.248,-110.398
4.1,19.7481,213.109,-110.304
4.1,19.7934,213.136,-110.377
4.2,19.6125,213.076,-110.136
4.2,19.6577,213.085,-110.19
4.2,19.7029,213.248,-110.398
4.2,19.7481,213.109,-110.304
4.2,19.7934,213.136,-110.377
4.3,19.6125,213.076,-110.136
4.3,19.6577,213.085,-110.19
4.3,19.7029,213.248,-110.398
4.3,19.7481,213.109,-110.304
4.3,19.7934,213.136,-110.377
4.4,19.6125,213.076,-110.136
4.4,19.6577,213.085,-110.19
4.4,19.7029,213.248,-110.398
4.4,19.7481,213.109,-110.304
4.4,19.7934,213.136,-110.377
4.5,19.6125,213.076,-110.136
4.5,19.6577,213.085,-110.19
4.5,19.7029,213.248,-110.398
4.5,19.7481,213.109,-110.304
4.5,19.7934,213.136,-110.377
4.6,19.6125,213.076,-110.136
4.6,19.6577,213.085,-110.19
4.6,19.7029,213.248,-110.398
4.6,19.7481,213.109,-110.304
4.6,19.7934,213.136,-110.377
4.7,19.6125,213.076,-110.136
4.7,19.6577,213.085,-110.19
4.7,19.7029,213.248,-110.398
4.7,19.7481,213.109,-110.304
4.7,19.7934,213.136,-110.377
4.8,19.6125,213.076,-110.136
4.8,19.6577,213.085,-110.19
4.8,19.7029,213.248,-110.398
4.8,19.7481,213.109,-110.304
4.8,19.7934,213.136,-110.377
4.9,19.6125,213.076,-110.136
4.9,19.6577,213.085,-110.19
4.9,19.7029,213.248,-110.398
4.9,19.7481,213.109,-110.304
4.9,19.7934,213.136,-110.377
5,19.6125,213.076,-110.136
5,19.6577,213.085,-110.19
5,19.7029,213.248,-110.398
5,19.7481,213.109,-110.304
5,19.7934,213.136,-110.377
5.1,19.6125,213.076,-110.136
5.1,19.6577,213.085,-110.19
5.1,19.7029,213.248,-110.398
5.1,19.7481,213.109,-110.304
5.1,19.7934,213.136,-110.377
5.2,19.6125,213.076,-110.136
5.2,19.6577,213.085,-110.19
5.2,19.7029,213.248,-110.398
5.2,19.7481,213.109,-110.304
5.2,19.7934,213.136,-110.377
5.3,19.6125,213.076,-110.136
5.3,19.6577,213.085,-110.19
5.3,19.7029,213.248,-110.398
5.3,19.7481,213.109,-110.304
5.3,19.7934,213.136,-110.377
5.4,19.6125,213.076,-110.136
5.4,19.6577,213.085,-110.19
5.4,19.7029,213.248,-110.398
5.4,19.7481,213.109,-110.304
5.4,19.7934,213.136,-110.377
5.5,19.6125,213.076,-110.136
5.5,19.6577,213.085,-110.19
5.5,19.7029,213.248,-110.398
5.5,19.7481,213.109,-110.304
5.5,19.7934,213.136,-110.377
5.6,19.6125,213.076,-110.136
5.6,19.6577,213.085,-110.19
5.6,19.7029,213.248,-110.398
5.6,19.7481,213.109,-110.304
5.6,19.7934,213.136,-110.377
5.7,19.6125,213.076,-110.136
5.7,19.6577,213.085,-110.19
5.7,19.7029,213.248,-110.398
5.7,19.7481,213.109,-110.304
5.7,19.7934,213.136,-110.377
5.8,19.6125,213.076,-110.136
5.8,19.6577,213.085,-110.19
5.8,19.7029,213.248,-110.398
5.8,19.7481,213.109,-110.304
5.8,19.7934,213.136,-110.377
5.9,19.6125,213.076,-110.136
5.9,19.6577,213.085,-110.19
5.9,19.7029,213.248,-110.398
5.9,19.7481,213.109,-110.304
5.9,19.7934,213.136,-110.377
6,19.6125,213.076,-110.136
6,19.6577,213.085,-110.19
6,19.7029,213.248,-110.398
6,19.7481,213.109,-110.304
6,19.7934,213.136,-110.377
6.1,19.6125,213.076,-110.136
6.1,19.6577,213.085,-110.19
6.1,19.7029,213.248,-110.398
6.1,19.7481,213.109,-110.304
6.1,19.7934,213.136,-110.377
6.2,19.6125,213.076,-110.136
6.2,19.6577,213.085,-110.19
6.2,19.7029,213.248,-110.398
6.2,19.7481,213.109,-110.304
6.2,19.7934,213.136,-110.377
6.3,19.6125,213.076,-110.136
6.3,19.6577,213.085,-110.19
6.3,19.7029,213.248,-110.398
6.3,19.7481,213.109,-110.304
6.3,19.7934,213.136,-110.377
6.4,19.6125,213.076,-110.136
6.4,19.6577,213.085,-110.19
6.4,19.7029,213.248,-110.398
6.4,19.7481,213.109,-110.304
6.4,19.7934,213.136,-110.377
6.5,19.6125,213.076,-110.136
6.5,19.6577,213.085,-110.19
6.5,19.7029,213.248,-110.398
6.5,19.7481,213.109,-110.304
6.5,19.7934,213.136,-110.377
6.6,19.6125,213.076,-110.136
6.6,19.6577,213.085,-110.19
6.6,19.7029,213.248,-110.398
6.6,19.7481,213.109,-110.304
6.6,19.7934,213.136,-110.377
6.7,19.6125,213.076,-110.136
6.7,19.6577,213.085,-110.19
6.7,19.7029,213.248,-110.398
6.7,19.7481,213.109,-110.304
6.7,19.7934,213.136,-110.377
6.8,19.6125,213.076,-110.136
6.8,19.6577,213.085,-110.19
6.8,19.7029,213.248,-110.398
6.8,19.7481,213.109,-110.304
6.8,19.7934,213.136,-110.377
6.9,19.6125,213.076,-110.136
6.9,19.6577,213.085,-110.19
6.9,19.7029,213.248,-110.398
6.9,19.7481,213.109,-110.304
6.9,19.7934,213.136,-110.377
7,19.6125,213.076,-110.136
7,19.6577,213.085,-110.19
7,19.7029,213.248,-110.398
7,19.7481,213.109,-110.304
7,19.7934,213.136,-110.377
7.1,19.6125,213.076,-110.136
7.1,19.6577,213.085,-110.19
7.1,19.7029,213.248,-110.398
7.1,19.7481,213.109,-110.304
7.1,19.7934,213.136,-110.377
7.2,19.6125,213.076,-110.136
7.2,19.6577,213.085,-110.19
7.2,19.7029,213.248,-110.398
7.2,19.7481,213.109,-110.304
7.2,19.7934,213.136,-110.377
7.3,19.6125,213.076,-110.136
7.3,19.6577,213.085,-110.19
7.3,19.7029,213.248,-110.398
7.3,19.7481,213.109,-110.304
7.3,19.7934,213.136,-110.377
7.4,19.6125,213.076,-110.136
7.4,19.6577,213.085,-110.19
7.4,19.7029,213.248,-110.398
7.4,19.7481,213.109,-110.304
7.4,19.7934,213.136,-110.377
7.5,19.6125,213.076,-110.136
7.5,19.6577,213.085,-110.19
7.5,19.7029,213.248,-110.398
7.5,19.7481,213.109,-110.304
7.5,19.7934,213.136,-110.377
7.6,19.6125,213.076,-110.136
7.6,19.6577,213.085,-110.19
7.6,19.7029,213.248,-110.398
7.6,19.7481,213.109,-110.304
7.6,19.7934,213.136,-110.377
7.7,19.6125,213.076,-110.136
7.7,19.6577,213.085,-110.19
7.7,19.7029,213.248,-110.398
7.7,19.7481,213.109,-110.304
7.7,19.7934,213.136,-110.377
7.8,19.6125,213.076,-110.136
7.8,19.6577,213.085,-110.19
7.8,19.7029,213.248,-110.398
7.8,19.7481,213.109,-110.304
7.8,19.7934,213.136,-110.377
7.9,19.6125,213.076,-110.136
7.9,19.6577,213.085,-110.19
7.9,19.7029,213.248,-110.398
7.9,19.7481,213.109,-110.304
7.9,19.7934,213.136,-110.377
8,19.6125,213.076,-110.136
8,19.6577,213.085,-110.19
8,19.7029,213.248,-110.398
8,19.7481,213.109,-110.304
8,19.7934,213.136,-110.377
8.1,19.6125,213.076,-110.136
8.1,19.6577,213.085,-110.19
8.1,19.7029,213.248,-110.398
8.1,19.7481,213.109,-110.304
8.1,19.7934,213.136,-110.377
8.2,19.6125,213.076,-110.136
8.2,19.6577,213.085,-110.19
8.2,19.7029,213.248,-110.398
8.2,19.7481,213.109,-110.304
8.2,19.7934,213.136,-110.377
8.3,19.6125,213.076,-110.136
8.3,19.6577,213.085,-110.19
8.3,19.7029,213.248,-110.398
8.3,19.7481,213.109,-110.304
8.3,19.7934,213.136,-110.377
8.4,19.6125,213.076,-110.136
8.4,19.6577,213.085,-110.19
8.4,19.7029,213.248,-110.398
8.4,19.7481,213.109,-110.304
8.4,19.7934,213.136,-110.377
8.5,19.6125,213.076,-110.136
8.5,19.6577,213.085,-110.19
8.5,19.7029,213.248,-110.398
8.5,19.7481,213.109,-110.304
8.5,19.7934,213.136,-110.377
8.6,19.6125,213.076,-110.136
8.6,19.6577,213.085,-110.19
8.6,19.7029,213.248,-110.398
8.6,19.7481,213.109,-110.304
8.6,19.7934,213.136,-110.377
8.7,19.6125,213.076,-110.136
8.7,19.6577,213.085,-110.19
8.7,19.7029,213.248,-110.398
8.7,19.7481,213.109,-110.304
8.7,19.7934,213.136,-110.377
8.8,19.6125,213.076,-110.136
8.8,19.6577,213.085,-110.19
8.8,19.7029,213.248,-110.398
8.8,19.7481,213.109,-110.304
8.8,19.7934,213.136,-110.377
8.9,19.6125,213.076,-110.136
8.9,19.6577,213.085,-110.19
8.9,19.7029,213.248,-110.398
8.9,19.7481,213.109,-110.304
8.9,19.7934,213.136,-110.377
9,19.6125,213.076,-110.136
9,19.6577,213.085,-110.19
9,19.7029,213.248,-110.398
9,19.7481,213.109,-110.304
9,19.7934,213.136,-110.377
9.1,19.6125,213.076,-110.136
9.1,19.6577,213.085,-110.19
9.1,19.7029,213.248,-110.398
9.1,19.7481,213.109,-110.304
9.1,19.7934,213.136,-110.377
9.2,19.6125,213.076,-110.136
9.2,19.6577,213.085,-110.19
9.2,19.7029,213.248,-110.398
9.2,19.7481,213.109,-110.304
9.2,19.7934,213.136,-110.377
9.3,19.6125,213.076,-110.136
9.3,19.6577,213.085,-110.19
9.3,19.7029,213.248,-110.398
9.3,19.7481,213.109,-110.304
9.3,19.7934,213.136,-110.377
9.4,19.6125,213.076,-110.136
9.4,19.6577,213.085,-110.19
9.4,19.7029,213.248,-110.398
9.4,19.7481,213.109,-110.304
9.4,19.7934,213.136,-110.377
9.5,19.6125,213.076,-110.136
9.5,19.6577,213.085,-110.19
9.5,19.7029,213.248,-110.398
9.5,19.7481,213.109,-110.304
9.5,19.7934,213.136,-110.377
9.6,19.6125,213.076,-110.136
9.6,19.6577,213.085,-110.19
9.6,19.7029,213.248,-110.398
9.6,19.7481,213.109,-110.304
9.6,19.7934,213.136,-110.377
9.7,19.6125,213.076,-110.136
9.7,19.6577,213.085,-110.19
9.7,19.7029,213.248,-110.398
9.7,19.7481,213.109,-110.304
9.7,19.7934,213.136,-110.377
9.8,19.6125,213.076,-110.136
9.8,19.6577,213.085,-110.19
9.8,19.7029,213.248,-110.398
9.8,19.7481,213.109,-110.304
9.8,19.7934,213.136,-110.377
9.9,19.6125,213.076,-110.136
9.9,19.6577,213.085,-110.19
9.9,19.7029,213.248,-110.398
9.9,19.7481,213.109,-110.304
9.9,19.7934,213.136,-110.377
10,19.6125,213.076,-110.136
10,19.6577,213.085,-110.19
10,19.7029,213.248,-110.398
10,19.7481,213.109,-110.304
10,19.7934,213.136,-110.377
10.1,19.6125,213.076,-110.136
10.1,19.6577,213.085,-110.19
10.1,19.7029,213.248,-110.398
10.1,19.7481,213.109,-110.304
10.1,19.7934,213.136,-110.377
10.2,19.6125,213.076,-110.136
10.2,19.6577,213.085,-110.19
10.2,19.7029,213.248,-110.398
10.2,19.7481,213.109,-110.304
10.2,19.7934,213.136,-110.377
10.3,19.6125,213.076,-110.136
10.3,19.6577,213.085,-110.19
10.3,19.7029,213.248,-110.398
10.3,19.7481,213.109,-110.304
10.3,19.7934,213.136,-110.377
10.4,19.6125,213.076,-110.136
10.4,19.6577,213.085,-110.19
10.4,19.7029,213.248,-110.398
10.4,19.7481,213.109,-110.304
10.4,19.7934,213.136,-110.377
10.5,19.6125,213.076,-110.136
10.5,19.6577,213.085,-110.19
10.5,19.7029,213.248,-110.398
10.5,19.7481,213.109,-110.304
10.5,19.7934,213.136,-110.377
10.6,19.6125,213.076,-110.136
10.6,19.6577,213.085,-110.19
10.6,19.7029,213.248,-110.398
10.6,19.7481,213.109,-110.304
10.6,19.7934,213.136,-110.377
10.7,19.6125,213.076,-110.136
10.7,19.6577,213.085,-110.19
10.7,19.7029,213.248,-110.398
10.7,19.7481,213.109,-110.304
10.7,19.7934,213.136,-110.377
10.8,19.6125,213.076,-110.136
10.8,19.6577,213.085,-110.19
10.8,19.7029,213.248,-110.398
10.8,19.7481,213.109,-110.304
10.8,19.7934,213.136,-110.377
10.9,19.6125,213.076,-110.136
10.9,19.6577,213.085,-110.19
10.9,19.7029,213.248,-110.398
10.9,19.7481,213.109,-110.304
10.9,19.7934,213.136,-110.377
11,19.6125,213.076,-110.136
11,19.6577,213.085,-110.19
11,19.7029,213.248,-110.398
11,19.7481,213.109,-110.304
11,19.7934,213.136,-110.377
11.1,19.6125,213.076,-110.136
11.1,19.6577,213.085,-110.19
11.1,19.7029,213.248,-110.398
11.1,19.7481,213.109,-110.304
11.1,19.7934,213.136,-110.377
11.2,19.6125,213.076,-110.136
11.2,19.6577,213.085,-110.19
11.2,19.7029,213.248,-110.398
11.2,19.7481,213.109,-110.304
11.2,19.7934,213.136,-110.377
11.3,19.6125,213.076,-110.136
11.3,19.6577,213.085,-110.19
11.3,19.7029,213.248,-110.398
11.3,19.7481,213.109,-110.304
11.3,19.7934,213.136,-110.377
11.4,19.6125,213.076,-110.136
11.4,19.6577,213.085,-110.19
11.4,19.7029,213.248,-110.398
11.4,19.7481,213.109,-110.304
11.4,19.7934,213.136,-110.377
11.5,19.6125,213.076,-110.136
11.5,19.6577,213.085,-110.19
11.5,19.7029,213.248,-110.398
11.5,19.7481,213.109,-110.304
11.5,19.7934,213.136,-110.377
11.6,19.6125,213.076,-110.136
11.6,19.6577,213.085,-110.19
11.6,19.7029,213.248,-110.398
11.6,19.7481,213.109,-110.304
11.6,19.7934,213.136,-110.377
11.7,19.6125,213.076,-110.136
11.7,19.6577,213.085,-110.19
11.7,19.7029,213.248,-110.398
11.7,19.7481,213.109,-110.304
11.7,19.7934,213.136,-110.377
11.8,19.6125,213.076,-110.136
11.8,19.6577,213.085,-110.19
11.8,19.7029,213.248,-110.398
11.8,19.7481,213.109,-110.304
11.8,19.7934,213.136,-110.377
11.9,19.6125,213.076,-110.136
11.9,19.6577,213.085,-110.19
11.9,19.7029,213.248,-110.398
11.9,19.7481,213.109,-110.304
11.9,19.7934,213.136,-110.377
12,19.6125,213.076,-110.136
12,19.6577,213.085,-110.19
12,19.7029,213.248,-110.398
12,19.7481,213.109,-110.304
12,19.7934,213.136,-110.377
12.1,19.6125,213.076,-110.136
12.1,19.6577,213.085,-110.19
12.1,19.7029,213.248,-110.398
12.1,19.7481,213.109,-110.304
12.1,19.7934,213.136,-110.377
12.2,19.6125,213.076,-110.136
12.2,19.6577,213.085,-110.19
12.2,19.7029,213.248,-110.398
12.2,19.7481,213.109,-110.304
12.2,19.7934,213.136,-110.377
12.3,19.6125,213.076,-110.136
12.3,19.6577,213.085,-110.19
12.3,19.7029,213.248,-110.398
12.3,19.7481,213.109,-110.304
12.3,19.7934,213.136,-110.377
12.4,19.6125,213.076,-110.136
12.4,19.6577,213.085,-110.19
12.4,19.7029,213.248,-110.398
12.4,19.7481,213.109,-110.304
12.4,19.7934,213.136,-110.377
12.5,19.6125,213.076,-110.136
12.5,19.6577,213.085,-110.19
12.5,19.7029,213.248,-110.398
12.5,19.7481,213.109,-110.304
12.5,19.7934,213.136,-110.377
12.6,19.6125,213.076,-110.136
12.6,19.6577,213.085,-110.19
12.6,19.7029,213.248,-110.398
12.6,19.7481,213.109,-110.304
12.6,19.7934,213.136,-110.377
12.7,19.6125,213.076,-110.136
12.7,19.6577,213.085,-110.19
12.7,19.7029,213.248,-110.398
12.7,19.7481,213.109,-110.304
