simTime,atmosphericLoss_dB,fspl_dB,power_dBm
0.1,0,213.076,-90.5233
0.1,0,213.085,-90.5319
0.1,0,213.248,-90.6953
0.1,0,213.109,-90.5559
0.1,0,213.136,-90.5837
0.10002024,0,209.593,-136.016
0.10003024,0,209.554,-135.986
0.10004024,0,209.722,-136.317
0.10005024,0,209.613,-136.069
0.10006024,0,209.58,-136.064
0.2,0,213.076,-90.5233
0.2,0,213.085,-90.5319
0.2,0,213.248,-90.6953
0.2,0,213.109,-90.5559
0.2,0,213.136,-90.5837
0.20002024,0,209.567,-135.991
0.20003024,0,209.554,-135.986
0.20004024,0,209.722,-136.317
0.20005024,0,209.613,-136.069
0.20006024,0,209.58,-136.064
0.3,0,213.076,-90.5233
0.3,0,213.085,-90.5319
0.3,0,213.248,-90.6953
0.3,0,213.109,-90.5559
0.3,0,213.136,-90.5837
0.30002024,0,209.58,-136.004
0.30003024,0,209.606,-136.038
0.30004024,0,209.761,-136.356
0.30005024,0,209.574,-136.03
0.30006024,0,209.593,-136.077
0.4,0,213.076,-90.5233
0.4,0,213.085,-90.5319
0.4,0,213.248,-90.6953
0.4,0,213.109,-90.5559
0.4,0,213.136,-90.5837
0.40002024,0,209.593,-136.016
0.40003024,0,209.606,-136.038
0.40004024,0,209.709,-136.304
0.40005024,0,209.574,-136.03
0.40006024,0,209.58,-136.064
0.5,0,213.076,-90.5233
0.5,0,213.085,-90.5319
0.5,0,213.248,-90.6953
0.5,0,213.109,-90.5559
0.5,0,213.136,-90.5837
0.50002024,0,209.567,-135.991
0.50003024,0,209.554,-135.986
0.50004024,0,209.761,-136.356
0.50005024,0,209.613,-136.069
0.50006024,0,209.619,-136.103
0.6,0,213.076,-90.5233
0.6,0,213.085,-90.5319
0.6,0,213.248,-90.6953
0.6,0,213.109,-90.5559
0.6,0,213.136,-90.5837
0.60002024,0,209.567,-135.991
0.60003024,0,209.58,-136.012
0.60004024,0,209.748,-136.343
0.60005024,0,209.574,-136.03
0.60006024,0,209.606,-136.09
0.7,0,213.076,-90.5233
