simTime,MCCIndex,specWeatherModel
0.1,0,0
0.10001,0,0
0.1,1,1.17494
0.10001,1,17.6053
0.1,2,1.38617
0.10001,2,1.38617
0.1,3,2.16944
0.10001,3,2.16944
0.1,4,4.46035
0.10001,4,4.46035
0.2,0,0
0.20001,0,0
0.2,1,17.6053
0.20001,1,41.0383
0.2,2,1.38617
0.20001,2,1.38617
0.2,3,2.16944
0.20001,3,26.2503
0.2,4,4.46035
0.20001,4,4.46035
0.3,0,0
0.30001,0,0.548682
0.3,1,41.0383
0.30001,1,28.5443
0.3,2,1.38617
0.30001,2,1.38617
0.3,3,26.2503
0.30001,3,26.2503
0.3,4,4.46035
0.30001,4,4.46035
0.4,0,0.548682
0.40001,0,0.548682
0.4,1,28.5443
0.40001,1,28.5443
0.4,2,1.38617
0.40001,2,1.38617
0.4,3,26.2503
0.40001,3,50.9473
0.4,4,4.46035
0.40001,4,4.46035
0.5,0,0.548682
0.50001,0,0
0.5,1,28.5443
0.50001,1,28.5443
0.5,2,1.38617
0.50001,2,1.38617
0.5,3,50.9473
0.50001,3,50.9473
0.5,4,4.46035
0.50001,4,4.46035
0.6,0,0
0.60001,0,0
0.6,1,28.5443
0.60001,1,15.9079
0.6,2,1.38617
0.60001,2,1.38617
0.6,3,50.9473
0.60001,3,68.6651
0.6,4,4.46035
0.60001,4,4.46035
0.7,0,0
0.70001,0,0
0.7,1,15.9079
0.70001,1,15.9079
0.7,2,1.38617
0.70001,2,1.38617
0.7,3,68.6651
0.70001,3,68.6651
0.7,4,4.46035
0.70001,4,4.46035
0.8,0,0
0.80001,0,0
0.8,1,15.9079
0.80001,1,15.9079
0.8,2,1.38617
0.80001,2,11.3778
0.8,3,68.6651
0.80001,3,73.7524
0.8,4,4.46035
0.80001,4,4.46035
0.9,0,0
0.90001,0,0
0.9,1,15.9079
0.90001,1,15.9079
0.9,2,11.3778
0.90001,2,33.3783
0.9,3,73.7524
0.90001,3,73.7524
0.9,4,4.46035
0.90001,4,10.0934
1,0,0
1.00001,0,0
1,1,15.9079
1.00001,1,15.9079
1,2,33.3783
1.00001,2,15.1626
1,3,73.7524
1.00001,3,73.7524
1,4,10.0934
1.00001,4,32.0897
1.1,0,0
1.10001,0,0
1.1,1,15.9079
1.10001,1,15.9079
1.1,2,15.1626
1.10001,2,15.1626
1.1,3,73.7524
1.10001,3,52.4498
1.1,4,32.0897
1.10001,4,32.0897
1.2,0,0
1.20001,0,0
1.2,1,15.9079
1.20001,1,15.9079
1.2,2,15.1626
1.20001,2,37.5701
1.2,3,52.4498
1.20001,3,72.0995
1.2,4,32.0897
1.20001,4,32.0897
1.3,0,0
1.30001,0,0
1.3,1,15.9079
1.30001,1,15.9079
1.3,2,37.5701
1.30001,2,61.6925
1.3,3,72.0995
1.30001,3,72.0995
1.3,4,32.0897
1.30001,4,32.0897
1.4,0,0
1.40001,0,0
1.4,1,15.9079
1.40001,1,15.9079
1.4,2,61.6925
1.40001,2,61.6925
1.4,3,72.0995
1.40001,3,72.0995
1.4,4,32.0897
1.40001,4,32.0897
1.5,0,0
1.50001,0,9.97588
1.5,1,15.9079
1.50001,1,15.9079
1.5,2,61.6925
1.50001,2,61.6925
1.5,3,72.0995
1.50001,3,72.0995
1.5,4,32.0897
1.50001,4,32.0897
1.6,0,9.97588
1.60001,0,9.97588
1.6,1,15.9079
1.60001,1,15.9079
1.6,2,61.6925
1.60001,2,64.2205
1.6,3,72.0995
1.60001,3,72.0995
1.6,4,32.0897
1.60001,4,32.0897
1.7,0,9.97588
1.70001,0,2.93032
1.7,1,15.9079
1.70001,1,15.9079
1.7,2,64.2205
1.70001,2,64.2205
1.7,3,72.0995
1.70001,3,72.0995
1.7,4,32.0897
1.70001,4,32.0897
1.8,0,2.93032
1.80001,0,6.8226
1.8,1,15.9079
1.80001,1,11.2592
1.8,2,64.2205
1.80001,2,44.4386
1.8,3,72.0995
1.80001,3,72.0995
1.8,4,32.0897
1.80001,4,32.0897
1.9,0,6.8226
1.90001,0,0.23091
1.9,1,11.2592
1.90001,1,11.2592
1.9,2,44.4386
1.90001,2,44.4386
1.9,3,72.0995
1.90001,3,72.0995
1.9,4,32.0897
1.90001,4,32.0897
2,0,0.23091
2.00001,0,0.23091
2,1,11.2592
2.00001,1,31.1656
2,2,44.4386
2.00001,2,44.4386
2,3,72.0995
2.00001,3,72.0995
2,4,32.0897
2.00001,4,32.0897
2.1,0,0.23091
2.10001,0,0.23091
2.1,1,31.1656
2.10001,1,41.5692
2.1,2,44.4386
2.10001,2,44.4386
2.1,3,72.0995
2.10001,3,85.687
2.1,4,32.0897
2.10001,4,38.9778
2.2,0,0.23091
2.20001,0,0
2.2,1,41.5692
2.20001,1,41.5692
2.2,2,44.4386
2.20001,2,44.4386
2.2,3,85.687
2.20001,3,95.4838
2.2,4,38.9778
2.20001,4,38.9778
2.3,0,0
2.30001,0,22.9652
2.3,1,41.5692
2.30001,1,41.5692
2.3,2,44.4386
2.30001,2,44.4386
2.3,3,95.4838
2.30001,3,95.4838
2.3,4,38.9778
2.30001,4,58.8412
2.4,0,22.9652
2.40001,0,22.9652
2.4,1,41.5692
2.40001,1,35.0072
2.4,2,44.4386
2.40001,2,44.4386
2.4,3,95.4838
2.40001,3,95.4838
2.4,4,58.8412
2.40001,4,58.8412
2.5,0,22.9652
2.50001,0,29.7464
2.5,1,35.0072
2.50001,1,35.0072
2.5,2,44.4386
2.50001,2,44.4386
2.5,3,95.4838
2.50001,3,95.4838
2.5,4,58.8412
2.50001,4,35.622
2.6,0,29.7464
2.60001,0,53.3957
2.6,1,35.0072
2.60001,1,35.0072
2.6,2,44.4386
2.60001,2,44.4386
2.6,3,95.4838
2.60001,3,95.4838
2.6,4,35.622
2.60001,4,35.622
2.7,0,53.3957
2.70001,0,39.9509
2.7,1,35.0072
2.70001,1,35.0072
2.7,2,44.4386
2.70001,2,44.4386
2.7,3,95.4838
2.70001,3,95.4838
2.7,4,35.622
2.70001,4,35.622
2.8,0,39.9509
2.80001,0,39.9509
2.8,1,35.0072
2.80001,1,35.0072
2.8,2,44.4386
2.80001,2,44.4386
2.8,3,95.4838
2.80001,3,95.4838
2.8,4,35.622
2.80001,4,35.622
2.9,0,39.9509
2.90001,0,22.9381
2.9,1,35.0072
2.90001,1,35.0072
2.9,2,44.4386
2.90001,2,46.0818
2.9,3,95.4838
2.90001,3,95.4838
2.9,4,35.622
2.90001,4,35.622
3,0,22.9381
3.00001,0,28.0002
3,1,35.0072
3.00001,1,35.0072
3,2,46.0818
3.00001,2,46.0818
3,3,95.4838
3.00001,3,95.4838
3,4,35.622
3.00001,4,35.622
3.1,0,28.0002
3.10001,0,28.0002
3.1,1,35.0072
3.10001,1,35.0072
3.1,2,46.0818
3.10001,2,43.3915
3.1,3,95.4838
3.10001,3,95.4838
3.1,4,35.622
3.10001,4,35.622
3.2,0,28.0002
3.20001,0,28.0002
3.2,1,35.0072
3.20001,1,53.363
3.2,2,43.3915
3.20001,2,43.3915
3.2,3,95.4838
3.20001,3,100.707
3.2,4,35.622
3.20001,4,47.3962
3.3,0,28.0002
3.30001,0,28.0002
3.3,1,53.363
3.30001,1,53.363
3.3,2,43.3915
3.30001,2,43.3915
3.3,3,100.707
3.30001,3,100.707
3.3,4,47.3962
3.30001,4,54.8353
3.4,0,28.0002
3.40001,0,33.5002
3.4,1,53.363
3.40001,1,53.363
3.4,2,43.3915
3.40001,2,43.3915
3.4,3,100.707
3.40001,3,100.707
3.4,4,54.8353
3.40001,4,36.2428
3.5,0,33.5002
3.50001,0,39.584
3.5,1,53.363
3.50001,1,53.363
3.5,2,43.3915
3.50001,2,43.3915
3.5,3,100.707
3.50001,3,100.707
3.5,4,36.2428
3.50001,4,36.2428
3.6,0,39.584
3.60001,0,39.584
3.6,1,53.363
3.60001,1,75.4939
3.6,2,43.3915
3.60001,2,43.3915
3.6,3,100.707
3.60001,3,113.088
3.6,4,36.2428
3.60001,4,36.2428
3.7,0,39.584
3.70001,0,39.584
3.7,1,75.4939
3.70001,1,75.4939
3.7,2,43.3915
3.70001,2,43.3915
3.7,3,113.088
3.70001,3,134.437
3.7,4,36.2428
3.70001,4,36.2428
3.8,0,39.584
3.80001,0,39.584
3.8,1,75.4939
3.80001,1,75.4939
3.8,2,43.3915
3.80001,2,43.3915
3.8,3,134.437
3.80001,3,123.055
3.8,4,36.2428
3.80001,4,36.2428
3.9,0,39.584
3.90001,0,39.584
3.9,1,75.4939
3.90001,1,64.93
3.9,2,43.3915
3.90001,2,43.3915
3.9,3,123.055
3.90001,3,123.055
3.9,4,36.2428
3.90001,4,53.6329
4,0,39.584
4.00001,0,39.584
4,1,64.93
4.00001,1,64.93
4,2,43.3915
4.00001,2,43.3915
4,3,123.055
4.00001,3,134.074
4,4,53.6329
4.00001,4,49.1707
4.1,0,39.584
4.10001,0,39.584
4.1,1,64.93
4.10001,1,82.6355
4.1,2,43.3915
4.10001,2,43.3915
4.1,3,134.074
4.10001,3,145.395
4.1,4,49.1707
4.10001,4,44.985
4.2,0,39.584
4.20001,0,39.584
4.2,1,82.6355
4.20001,1,82.6355
4.2,2,43.3915
4.20001,2,52.8408
4.2,3,145.395
4.20001,3,145.395
4.2,4,44.985
4.20001,4,51.1471
4.3,0,39.584
4.30001,0,39.584
4.3,1,82.6355
4.30001,1,82.6355
4.3,2,52.8408
4.30001,2,68.0753
4.3,3,145.395
4.30001,3,145.395
4.3,4,51.1471
4.30001,4,51.1471
4.4,0,39.584
4.40001,0,39.584
4.4,1,82.6355
4.40001,1,90.9097
4.4,2,68.0753
4.40001,2,68.0753
4.4,3,145.395
4.40001,3,167.692
4.4,4,51.1471
4.40001,4,39.7434
4.5,0,39.584
4.50001,0,20.3241
4.5,1,90.9097
4.50001,1,90.9097
4.5,2,68.0753
4.50001,2,68.0753
4.5,3,167.692
4.50001,3,167.692
4.5,4,39.7434
4.50001,4,39.7434
4.6,0,20.3241
4.60001,0,20.3241
4.6,1,90.9097
4.60001,1,82.2663
4.6,2,68.0753
4.60001,2,68.0753
4.6,3,167.692
4.60001,3,167.692
4.6,4,39.7434
4.60001,4,15.6439
4.7,0,20.3241
4.70001,0,20.3241
4.7,1,82.2663
4.70001,1,86.4964
4.7,2,68.0753
4.70001,2,68.0753
4.7,3,167.692
4.70001,3,167.692
4.7,4,15.6439
4.70001,4,15.6439
4.8,0,20.3241
4.80001,0,20.3241
4.8,1,86.4964
4.80001,1,86.4964
4.8,2,68.0753
4.80001,2,68.0753
4.8,3,167.692
4.80001,3,163.333
4.8,4,15.6439
4.80001,4,15.1502
4.9,0,20.3241
4.90001,0,31.8134
4.9,1,86.4964
4.90001,1,73.5314
4.9,2,68.0753
4.90001,2,45.8161
4.9,3,163.333
4.90001,3,163.333
4.9,4,15.1502
4.90001,4,13.2147
5,0,31.8134
5.00001,0,12.0942
5,1,73.5314
5.00001,1,73.5314
5,2,45.8161
5.00001,2,45.8161
5,3,163.333
5.00001,3,163.333
5,4,13.2147
5.00001,4,27.2546
5.1,0,12.0942
5.10001,0,8.43264
5.1,1,73.5314
5.10001,1,79.6224
5.1,2,45.8161
5.10001,2,45.2793
5.1,3,163.333
5.10001,3,163.333
5.1,4,27.2546
5.10001,4,27.2546
5.2,0,8.43264
5.20001,0,8.43264
5.2,1,79.6224
5.20001,1,79.6224
5.2,2,45.2793
5.20001,2,45.2793
5.2,3,163.333
5.20001,3,182.379
5.2,4,27.2546
5.20001,4,27.2546
5.3,0,8.43264
5.30001,0,8.43264
5.3,1,79.6224
5.30001,1,79.6224
5.3,2,45.2793
5.30001,2,45.2793
5.3,3,182.379
5.30001,3,160.232
5.3,4,27.2546
5.30001,4,27.2546
5.4,0,8.43264
5.40001,0,8.43264
5.4,1,79.6224
5.40001,1,79.6224
5.4,2,45.2793
5.40001,2,45.2793
5.4,3,160.232
5.40001,3,160.232
5.4,4,27.2546
5.40001,4,27.2546
5.5,0,8.43264
5.50001,0,8.43264
5.5,1,79.6224
5.50001,1,74.0263
5.5,2,45.2793
5.50001,2,45.2793
5.5,3,160.232
5.50001,3,153.716
5.5,4,27.2546
5.50001,4,27.2546
5.6,0,8.43264
5.60001,0,8.43264
5.6,1,74.0263
5.60001,1,64.4076
5.6,2,45.2793
5.60001,2,40.0644
5.6,3,153.716
5.60001,3,153.716
5.6,4,27.2546
5.60001,4,22.1413
5.7,0,8.43264
5.70001,0,8.43264
5.7,1,64.4076
5.70001,1,64.4076
5.7,2,40.0644
5.70001,2,40.0644
5.7,3,153.716
5.70001,3,129.461
5.7,4,22.1413
5.70001,4,22.1413
5.8,0,8.43264
5.80001,0,8.43264
5.8,1,64.4076
5.80001,1,55.4229
5.8,2,40.0644
5.80001,2,20.3605
5.8,3,129.461
5.80001,3,105.493
5.8,4,22.1413
5.80001,4,32.2445
5.9,0,8.43264
5.90001,0,8.43264
5.9,1,55.4229
5.90001,1,72.9049
5.9,2,20.3605
5.90001,2,20.3605
5.9,3,105.493
5.90001,3,105.493
5.9,4,32.2445
5.90001,4,32.2445
6,0,8.43264
6.00001,0,8.43264
6,1,72.9049
6.00001,1,83.7581
6,2,20.3605
6.00001,2,20.3605
6,3,105.493
6.00001,3,105.493
6,4,32.2445
6.00001,4,32.2445
6.1,0,8.43264
6.10001,0,8.43264
6.1,1,83.7581
6.10001,1,98.7007
6.1,2,20.3605
6.10001,2,20.3605
6.1,3,105.493
6.10001,3,105.493
6.1,4,32.2445
6.10001,4,10.3878
6.2,0,8.43264
6.20001,0,28.8595
6.2,1,98.7007
6.20001,1,98.7007
6.2,2,20.3605
6.20001,2,20.3605
6.2,3,105.493
6.20001,3,105.493
6.2,4,10.3878
6.20001,4,9.47353
6.3,0,28.8595
6.30001,0,7.24861
6.3,1,98.7007
6.30001,1,98.7007
6.3,2,20.3605
6.30001,2,20.2011
6.3,3,105.493
6.30001,3,113.223
6.3,4,9.47353
6.30001,4,9.47353
6.4,0,7.24861
6.40001,0,11.8443
6.4,1,98.7007
6.40001,1,98.7007
6.4,2,20.2011
6.40001,2,20.2011
6.4,3,113.223
6.40001,3,113.223
6.4,4,9.47353
6.40001,4,0
6.5,0,11.8443
6.50001,0,11.8443
6.5,1,98.7007
6.50001,1,98.7007
6.5,2,20.2011
6.50001,2,7.97498
6.5,3,113.223
6.50001,3,113.223
6.5,4,0
6.50001,4,0
6.6,0,11.8443
6.60001,0,11.8443
6.6,1,98.7007
6.60001,1,98.7007
6.6,2,7.97498
6.60001,2,7.97498
6.6,3,113.223
6.60001,3,95.5538
6.6,4,0
6.60001,4,6.90391
6.7,0,11.8443
6.70001,0,11.8443
6.7,1,98.7007
6.70001,1,98.7007
6.7,2,7.97498
6.70001,2,7.97498
6.7,3,95.5538
6.70001,3,95.5538
6.7,4,6.90391
6.70001,4,6.90391
6.8,0,11.8443
6.80001,0,17.9459
6.8,1,98.7007
6.80001,1,98.7007
6.8,2,7.97498
6.80001,2,7.97498
6.8,3,95.5538
6.80001,3,95.5538
6.8,4,6.90391
6.80001,4,22.6916
6.9,0,17.9459
6.90001,0,17.9459
6.9,1,98.7007
6.90001,1,98.7007
6.9,2,7.97498
6.90001,2,30.4086
6.9,3,95.5538
6.90001,3,95.5538
6.9,4,22.6916
6.90001,4,25.962
7,0,17.9459
7.00001,0,17.9459
7,1,98.7007
7.00001,1,98.7007
7,2,30.4086
7.00001,2,30.4086
7,3,95.5538
7.00001,3,95.5538
7,4,25.962
7.00001,4,25.962
7.1,0,17.9459
7.10001,0,17.9459
7.1,1,98.7007
7.10001,1,98.7007
7.1,2,30.4086
7.10001,2,30.4086
7.1,3,95.5538
7.10001,3,94.8872
7.1,4,25.962
7.10001,4,48.3322
7.2,0,17.9459
7.20001,0,17.9459
7.2,1,98.7007
7.20001,1,98.7007
7.2,2,30.4086
7.20001,2,45.9995
7.2,3,94.8872
7.20001,3,94.8872
7.2,4,48.3322
7.20001,4,48.3322
7.3,0,17.9459
7.30001,0,17.9459
7.3,1,98.7007
7.30001,1,98.7007
7.3,2,45.9995
7.30001,2,39.0759
7.3,3,94.8872
7.30001,3,111.392
7.3,4,48.3322
7.30001,4,48.3322
7.4,0,17.9459
7.40001,0,17.9459
7.4,1,98.7007
7.40001,1,98.7007
7.4,2,39.0759
7.40001,2,39.0759
7.4,3,111.392
7.40001,3,111.392
7.4,4,48.3322
7.40001,4,48.3322
7.5,0,17.9459
7.50001,0,17.9459
7.5,1,98.7007
7.50001,1,98.7007
7.5,2,39.0759
7.50001,2,48.4519
7.5,3,111.392
7.50001,3,111.392
7.5,4,48.3322
7.50001,4,32.66
7.6,0,17.9459
7.60001,0,28.5279
7.6,1,98.7007
7.60001,1,106.283
7.6,2,48.4519
7.60001,2,48.4519
7.6,3,111.392
7.60001,3,111.392
7.6,4,32.66
7.60001,4,32.66
7.7,0,28.5279
7.70001,0,28.5279
7.7,1,106.283
7.70001,1,120.876
7.7,2,48.4519
7.70001,2,24.6857
7.7,3,111.392
7.70001,3,94.1662
7.7,4,32.66
7.70001,4,41.8103
7.8,0,28.5279
7.80001,0,28.5279
7.8,1,120.876
7.80001,1,141.672
7.8,2,24.6857
7.80001,2,24.6857
7.8,3,94.1662
7.80001,3,115.085
7.8,4,41.8103
7.80001,4,41.8103
7.9,0,28.5279
7.90001,0,28.5279
7.9,1,141.672
7.90001,1,134.127
7.9,2,24.6857
7.90001,2,48.0112
7.9,3,115.085
7.90001,3,115.085
7.9,4,41.8103
7.90001,4,41.8103
8,0,28.5279
8.00001,0,28.5279
8,1,134.127
8.00001,1,147.407
8,2,48.0112
8.00001,2,48.0112
8,3,115.085
8.00001,3,117.431
8,4,41.8103
8.00001,4,60.9637
8.1,0,28.5279
8.10001,0,4.94752
8.1,1,147.407
8.10001,1,153.436
8.1,2,48.0112
8.10001,2,68.5484
8.1,3,117.431
8.10001,3,117.431
8.1,4,60.9637
8.10001,4,43.7519
8.2,0,4.94752
8.20001,0,14.2456
8.2,1,153.436
8.20001,1,175.495
8.2,2,68.5484
8.20001,2,68.5484
8.2,3,117.431
8.20001,3,117.431
8.2,4,43.7519
8.20001,4,43.7519
8.3,0,14.2456
8.30001,0,11.9151
8.3,1,175.495
8.30001,1,175.495
8.3,2,68.5484
8.30001,2,68.5484
8.3,3,117.431
8.30001,3,117.431
8.3,4,43.7519
8.30001,4,43.7519
8.4,0,11.9151
8.40001,0,11.9151
8.4,1,175.495
8.40001,1,175.495
8.4,2,68.5484
8.40001,2,60.9589
8.4,3,117.431
8.40001,3,117.431
8.4,4,43.7519
8.40001,4,43.7519
8.5,0,11.9151
8.50001,0,11.9151
8.5,1,175.495
8.50001,1,173.549
8.5,2,60.9589
8.50001,2,60.9589
8.5,3,117.431
8.50001,3,93.3952
8.5,4,43.7519
8.50001,4,43.7519
8.6,0,11.9151
8.60001,0,11.9151
8.6,1,173.549
8.60001,1,173.549
8.6,2,60.9589
8.60001,2,62.6953
8.6,3,93.3952
8.60001,3,97.3059
8.6,4,43.7519
8.60001,4,43.7519
8.7,0,11.9151
8.70001,0,0
8.7,1,173.549
8.70001,1,173.549
8.7,2,62.6953
8.70001,2,69.9089
8.7,3,97.3059
8.70001,3,97.3059
8.7,4,43.7519
8.70001,4,38.7791
8.8,0,0
8.80001,0,0
8.8,1,173.549
8.80001,1,173.549
8.8,2,69.9089
8.80001,2,69.9089
8.8,3,97.3059
8.80001,3,97.3059
8.8,4,38.7791
8.80001,4,38.7791
8.9,0,0
8.90001,0,0
8.9,1,173.549
8.90001,1,159.769
8.9,2,69.9089
8.90001,2,69.9089
8.9,3,97.3059
8.90001,3,97.3059
8.9,4,38.7791
8.90001,4,38.7791
9,0,0
9.00001,0,15.6443
9,1,159.769
9.00001,1,159.309
9,2,69.9089
9.00001,2,53.9792
9,3,97.3059
9.00001,3,97.3059
9,4,38.7791
9.00001,4,38.7791
9.1,0,15.6443
9.10001,0,15.6443
9.1,1,159.309
9.10001,1,159.309
9.1,2,53.9792
