simTime,atmosphericLoss_dB,fspl_dB,power_dBm
0.1,3.3982,206.456,-87.3016
0.1,3.41497,206.475,-87.337
0.1,3.43179,206.648,-87.527
0.1,3.44866,206.518,-87.4143
0.1,3.46557,206.556,-87.4688
0.10002024,2.42513,205.182,-130.809
0.10003024,2.42513,205.182,-130.844
0.10004024,2.38381,205.272,-131.083
0.10005024,2.38381,205.124,-130.822
0.10006024,2.42513,205.208,-131.002
0.2,3.3982,206.456,-87.3016
0.2,3.41497,206.475,-87.337
0.2,3.43179,206.648,-87.527
0.2,3.44866,206.518,-87.4143
0.2,3.46557,206.556,-87.4688
0.20002024,2.43899,205.204,-130.844
0.20003024,2.42513,205.182,-130.844
0.20004024,2.42513,205.337,-131.189
0.20005024,2.39754,205.145,-130.857
0.20006024,2.39754,205.165,-130.931
0.3,3.3982,206.456,-87.3016
0.3,3.41497,206.475,-87.337
0.3,3.43179,206.648,-87.527
0.3,3.44866,206.518,-87.4143
0.3,3.46557,206.556,-87.4688
0.30002024,2.41131,205.161,-130.773
0.30003024,2.41131,205.161,-130.809
0.30004024,2.43899,205.358,-131.224
0.30005024,2.43899,205.21,-130.964
0.30006024,2.39754,205.165,-130.931
0.4,3.3982,206.456,-87.3016
0.4,3.41497,206.475,-87.337
0.4,3.43179,206.648,-87.527
0.4,3.44866,206.518,-87.4143
0.4,3.46557,206.556,-87.4688
0.40002024,2.43899,205.204,-130.844
0.40003024,2.42513,205.182,-130.844
0.40004024,2.42513,205.337,-131.189
0.40005024,2.38381,205.124,-130.822
0.40006024,2.42513,205.208,-131.002
0.5,3.3982,206.456,-87.3016
0.5,3.41497,206.475,-87.337
0.5,3.43179,206.648,-87.527
0.5,3.44866,206.518,-87.4143
0.5,3.46557,206.556,-87.4688
0.50002024,2.41131,205.161,-130.773
0.50003024,2.41131,205.161,-130.809
0.50004024,2.39754,205.294,-131.118
0.50005024,2.41131,205.167,-130.893
0.50006024,2.42513,205.208,-131.002
0.6,3.3982,206.456,-87.3016
0.6,3.41497,206.475,-87.337
0.6,3.43179,206.648,-87.527
0.6,3.44866,206.518,-87.4143
0.6,3.46557,206.556,-87.4688
0.60002024,2.43899,205.204,-130.844
0.60003024,2.42513,205.182,-130.844
0.60004024,2.39754,205.294,-131.118
0.60005024,2.39754,205.145,-130.857
0.60006024,2.38381,205.143,-130.896
0.7,3.3982,206.456,-87.3016
0.7,3.41497,206.475,-87.337
0.7,3.43179,206.648,-87.527
0.7,3.44866,206.518,-87.4143
0.7,3.46557,206.556,-87.4688
0.70002024,2.43899,205.204,-130.844
0.70003024,2.41131,205.161,-130.809
0.70004024,2.42513,205.337,-131.189
0.70005024,2.38381,205.124,-130.822
0.70006024,2.39754,205.165,-130.931
0.8,3.3982,206.456,-87.3016
0.8,3.41497,206.475,-87.337
0.8,3.43179,206.648,-87.527
0.8,3.44866,206.518,-87.4143
0.8,3.46557,206.556,-87.4688
0.80002024,2.42513,205.182,-130.809
0.80003024,2.41131,205.161,-130.809
0.80004024,2.42513,205.337,-131.189
0.80005024,2.39754,205.145,-130.857
0.80006024,2.38381,205.143,-130.896
0.9,3.3982,206.456,-87.3016
0.9,3.41497,206.475,-87.337
0.9,3.43179,206.648,-87.527
0.9,3.44866,206.518,-87.4143
0.9,3.46557,206.556,-87.4688
0.90002024,2.43899,205.204,-130.844
0.90003024,2.42513,205.182,-130.844
0.90004024,2.43899,205.358,-131.224
0.90005024,2.43899,205.21,-130.964
0.90006024,2.41131,205.186,-130.966
1,3.3982,206.456,-87.3016
1,3.41497,206.475,-87.337
1,3.43179,206.648,-87.527
1,3.44866,206.518,-87.4143
1,3.46557,206.556,-87.4688
1.00002024,2.41131,205.161,-130.773
1.00003024,2.42513,205.182,-130.844
1.00004024,2.43899,205.358,-131.224
1.00005024,2.38381,205.124,-130.822
1.00006024,2.38381,205.143,-130.896
1.1,3.3982,206.456,-87.3016
1.1,3.41497,206.475,-87.337
1.1,3.43179,206.648,-87.527
1.1,3.44866,206.518,-87.4143
1.1,3.46557,206.556,-87.4688
1.10002024,2.41131,205.161,-130.773
1.10003024,2.38381,205.117,-130.738
1.10004024,2.43899,205.358,-131.224
1.10005024,2.38381,205.124,-130.822
1.10006024,2.38381,205.143,-130.896
1.2,3.3982,206.456,-87.3016
1.2,3.41497,206.475,-87.337
1.2,3.43179,206.648,-87.527
1.2,3.44866,206.518,-87.4143
1.2,3.46557,206.556,-87.4688
1.20002024,2.43899,205.204,-130.844
1.20003024,2.42513,205.182,-130.844
1.20004024,2.42513,205.337,-131.189
1.20005024,2.43899,205.21,-130.964
1.20006024,2.41131,205.186,-130.966
1.3,3.3982,206.456,-87.3016
1.3,3.41497,206.475,-87.337
1.3,3.43179,206.648,-87.527
1.3,3.44866,206.518,-87.4143
1.3,3.46557,206.556,-87.4688
1.30002024,2.39754,205.139,-130.738
1.30003024,2.41131,205.161,-130.809
1.30004024,2.39754,205.294,-131.118
1.30005024,2.39754,205.145,-130.857
1.30006024,2.38381,205.143,-130.896
1.4,3.3982,206.456,-87.3016
1.4,3.41497,206.475,-87.337
1.4,3.43179,206.648,-87.527
1.4,3.44866,206.518,-87.4143
1.4,3.46557,206.556,-87.4688
1.40002024,2.42513,205.182,-130.809
1.40003024,2.42513,205.182,-130.844
1.40004024,2.43899,205.358,-131.224
1.40005024,2.43899,205.21,-130.964
1.40006024,2.38381,205.143,-130.896
1.5,3.3982,206.456,-87.3016
1.5,3.41497,206.475,-87.337
1.5,3.43179,206.648,-87.527
1.5,3.44866,206.518,-87.4143
1.5,3.46557,206.556,-87.4688
1.50002024,2.39754,205.139,-130.738
1.50003024,2.38381,205.117,-130.738
1.50004024,2.43899,205.358,-131.224
1.50005024,2.38381,205.124,-130.822
1.50006024,2.42513,205.208,-131.002
1.6,3.3982,206.456,-87.3016
1.6,3.41497,206.475,-87.337
1.6,3.43179,206.648,-87.527
1.6,3.44866,206.518,-87.4143
1.6,3.46557,206.556,-87.4688
1.60002024,2.42513,205.182,-130.809
1.60003024,2.43899,205.204,-130.88
1.60004024,2.43899,205.358,-131.224
1.60005024,2.43899,205.21,-130.964
1.60006024,2.39754,205.165,-130.931
1.7,3.3982,206.456,-87.3016
1.7,3.41497,206.475,-87.337
1.7,3.43179,206.648,-87.527
1.7,3.44866,206.518,-87.4143
1.7,3.46557,206.556,-87.4688
1.70002024,2.41131,205.161,-130.773
1.70003024,2.42513,205.182,-130.844
1.70004024,2.39754,205.294,-131.118
1.70005024,2.43899,205.21,-130.964
1.70006024,2.38381,205.143,-130.896
1.8,3.3982,206.456,-87.3016
1.8,3.41497,206.475,-87.337
1.8,3.43179,206.648,-87.527
1.8,3.44866,206.518,-87.4143
1.8,3.46557,206.556,-87.4688
1.80002024,2.41131,205.161,-130.773
1.80003024,2.42513,205.182,-130.844
1.80004024,2.42513,205.337,-131.189
1.80005024,2.43899,205.21,-130.964
1.80006024,2.42513,205.208,-131.002
1.9,3.3982,206.456,-87.3016
1.9,3.41497,206.475,-87.337
1.9,3.43179,206.648,-87.527
1.9,3.44866,206.518,-87.4143
1.9,3.46557,206.556,-87.4688
1.90002024,2.41131,205.161,-130.773
1.90003024,2.43899,205.204,-130.88
1.90004024,2.38381,205.272,-131.083
1.90005024,2.43899,205.21,-130.964
1.90006024,2.38381,205.143,-130.896
2,3.3982,206.456,-87.3016
2,3.41497,206.475,-87.337
2,3.43179,206.648,-87.527
2,3.44866,206.518,-87.4143
2,3.46557,206.556,-87.4688
2.00002024,2.41131,205.161,-130.773
2.00003024,2.43899,205.204,-130.88
2.00004024,2.38381,205.272,-131.083
2.00005024,2.39754,205.145,-130.857
2.00006024,2.41131,205.186,-130.966
2.1,3.3982,206.456,-87.3016
2.1,3.41497,206.475,-87.337
2.1,3.43179,206.648,-87.527
2.1,3.44866,206.518,-87.4143
2.1,3.46557,206.556,-87.4688
2.10002024,2.39754,205.139,-130.738
2.10003024,2.41131,205.161,-130.809
2.10004024,2.43899,205.358,-131.224
2.10005024,2.38381,205.124,-130.822
2.10006024,2.41131,205.186,-130.966
2.2,3.3982,206.456,-87.3016
2.2,3.41497,206.475,-87.337
2.2,3.43179,206.648,-87.527
2.2,3.44866,206.518,-87.4143
2.2,3.46557,206.556,-87.4688
2.20002024,2.43899,205.204,-130.844
2.20003024,2.41131,205.161,-130.809
2.20004024,2.38381,205.272,-131.083
2.20005024,2.43899,205.21,-130.964
2.20006024,2.39754,205.165,-130.931
2.3,3.3982,206.456,-87.3016
2.3,3.41497,206.475,-87.337
2.3,3.43179,206.648,-87.527
2.3,3.44866,206.518,-87.4143
2.3,3.46557,206.556,-87.4688
2.30002024,2.41131,205.161,-130.773
2.30003024,2.41131,205.161,-130.809
2.30004024,2.38381,205.272,-131.083
2.30005024,2.41131,205.167,-130.893
2.30006024,2.38381,205.143,-130.896
2.4,3.3982,206.456,-87.3016
2.4,3.41497,206.475,-87.337
2.4,3.43179,206.648,-87.527
2.4,3.44866,206.518,-87.4143
2.4,3.46557,206.556,-87.4688
2.40002024,2.39754,205.139,-130.738
2.40003024,2.43899,205.204,-130.88
2.40004024,2.38381,205.272,-131.083
2.40005024,2.43899,205.21,-130.964
2.40006024,2.41131,205.186,-130.966
2.5,3.3982,206.456,-87.3016
2.5,3.41497,206.475,-87.337
2.5,3.43179,206.648,-87.527
2.5,3.44866,206.518,-87.4143
2.5,3.46557,206.556,-87.4688
2.50002024,2.39754,205.139,-130.738
2.50003024,2.43899,205.204,-130.88
2.50004024,2.39754,205.294,-131.118
2.50005024,2.41131,205.167,-130.893
2.50006024,2.42513,205.208,-131.002
2.6,3.3982,206.456,-87.3016
2.6,3.41497,206.475,-87.337
2.6,3.43179,206.648,-87.527
2.6,3.44866,206.518,-87.4143
2.6,3.46557,206.556,-87.4688
2.60002024,2.42513,205.182,-130.809
2.60003024,2.38381,205.117,-130.738
2.60004024,2.42513,205.337,-131.189
2.60005024,2.39754,205.145,-130.857
2.60006024,2.42513,205.208,-131.002
2.7,3.3982,206.456,-87.3016
2.7,3.41497,206.475,-87.337
2.7,3.43179,206.648,-87.527
2.7,3.44866,206.518,-87.4143
2.7,3.46557,206.556,-87.4688
2.70002024,2.42513,205.182,-130.809
2.70003024,2.41131,205.161,-130.809
2.70004024,2.39754,205.294,-131.118
2.70005024,2.43899,205.21,-130.964
2.70006024,2.41131,205.186,-130.966
2.8,3.3982,206.456,-87.3016
2.8,3.41497,206.475,-87.337
2.8,3.43179,206.648,-87.527
2.8,3.44866,206.518,-87.4143
2.8,3.46557,206.556,-87.4688
2.80002024,2.43899,205.204,-130.844
2.80003024,2.42513,205.182,-130.844
2.80004024,2.43899,205.358,-131.224
2.80005024,2.43899,205.21,-130.964
2.80006024,2.41131,205.186,-130.966
2.9,3.3982,206.456,-87.3016
2.9,3.41497,206.475,-87.337
2.9,3.43179,206.648,-87.527
2.9,3.44866,206.518,-87.4143
2.9,3.46557,206.556,-87.4688
2.90002024,2.43899,205.204,-130.844
2.90003024,2.43899,205.204,-130.88
2.90004024,2.39754,205.294,-131.118
2.90005024,2.43899,205.21,-130.964
2.90006024,2.39754,205.165,-130.931
3,3.3982,206.456,-87.3016
3,3.41497,206.475,-87.337
3,3.43179,206.648,-87.527
3,3.44866,206.518,-87.4143
3,3.46557,206.556,-87.4688
3.00002024,2.41131,205.161,-130.773
3.00003024,2.41131,205.161,-130.809
3.00004024,2.43899,205.358,-131.224
3.00005024,2.41131,205.167,-130.893
3.00006024,2.38381,205.143,-130.896
3.1,3.3982,206.456,-87.3016
3.1,3.41497,206.475,-87.337
3.1,3.43179,206.648,-87.527
3.1,3.44866,206.518,-87.4143
3.1,3.46557,206.556,-87.4688
3.10002024,2.43899,205.204,-130.844
3.10003024,2.43899,205.204,-130.88
3.10004024,2.43899,205.358,-131.224
3.10005024,2.38381,205.124,-130.822
3.10006024,2.41131,205.186,-130.966
3.2,3.3982,206.456,-87.3016
3.2,3.41497,206.475,-87.337
3.2,3.43179,206.648,-87.527
3.2,3.44866,206.518,-87.4143
3.2,3.46557,206.556,-87.4688
3.20002024,2.41131,205.161,-130.773
3.20003024,2.42513,205.182,-130.844
3.20004024,2.39754,205.294,-131.118
3.20005024,2.43899,205.21,-130.964
3.20006024,2.38381,205.143,-130.896
3.3,3.3982,206.456,-87.3016
3.3,3.41497,206.475,-87.337
3.3,3.43179,206.648,-87.527
3.3,3.44866,206.518,-87.4143
3.3,3.46557,206.556,-87.4688
3.30002024,2.41131,205.161,-130.773
3.30003024,2.38381,205.117,-130.738
3.30004024,2.38381,205.272,-131.083
3.30005024,2.41131,205.167,-130.893
3.30006024,2.42513,205.208,-131.002
3.4,3.3982,206.456,-87.3016
3.4,3.41497,206.475,-87.337
3.4,3.43179,206.648,-87.527
3.4,3.44866,206.518,-87.4143
3.4,3.46557,206.556,-87.4688
3.40002024,2.42513,205.182,-130.809
3.40003024,2.41131,205.161,-130.809
3.40004024,2.39754,205.294,-131.118
3.40005024,2.41131,205.167,-130.893
3.40006024,2.42513,205.208,-131.002
3.5,3.3982,206.456,-87.3016
3.5,3.41497,206.475,-87.337
3.5,3.43179,206.648,-87.527
3.5,3.44866,206.518,-87.4143
3.5,3.46557,206.556,-87.4688
3.50002024,2.41131,205.161,-130.773
3.50003024,2.43899,205.204,-130.88
3.50004024,2.43899,205.358,-131.224
3.50005024,2.39754,205.145,-130.857
3.50006024,2.42513,205.208,-131.002
3.6,3.3982,206.456,-87.3016
3.6,3.41497,206.475,-87.337
3.6,3.43179,206.648,-87.527
3.6,3.44866,206.518,-87.4143
3.6,3.46557,206.556,-87.4688
3.60002024,2.41131,205.161,-130.773
3.60003024,2.38381,205.117,-130.738
3.60004024,2.42513,205.337,-131.189
3.60005024,2.43899,205.21,-130.964
3.60006024,2.42513,205.208,-131.002
