simTime,MCCIndex,specWeatherModel
0.1,0,0
0.10001,0,0
0.1,1,0
0.10001,1,0
0.1,2,0
0.10001,2,0
0.1,3,0
0.10001,3,6.20733
0.1,4,2.50336
0.10001,4,1.80022
0.2,0,0
0.20001,0,0
0.2,1,0
0.20001,1,0
0.2,2,0
0.20001,2,0
0.2,3,6.20733
0.20001,3,6.20733
0.2,4,1.80022
0.20001,4,1.80022
0.3,0,0
0.30001,0,0
0.3,1,0
0.30001,1,6.45576
0.3,2,0
0.30001,2,0
0.3,3,6.20733
0.30001,3,0
0.3,4,1.80022
0.30001,4,0
0.4,0,0
0.40001,0,7.55643
0.4,1,6.45576
0.40001,1,6.45576
0.4,2,0
0.40001,2,0
0.4,3,0
0.40001,3,0
0.4,4,0
0.40001,4,0
0.5,0,7.55643
0.50001,0,0
0.5,1,6.45576
0.50001,1,26.3283
0.5,2,0
0.50001,2,0
0.5,3,0
0.50001,3,0
0.5,4,0
0.50001,4,0
0.6,0,0
0.60001,0,12.7779
0.6,1,26.3283
0.60001,1,26.3283
0.6,2,0
0.60001,2,0
0.6,3,0
0.60001,3,24.7001
0.6,4,0
0.60001,4,0
0.7,0,12.7779
0.70001,0,12.4074
0.7,1,26.3283
0.70001,1,26.3283
0.7,2,0
0.70001,2,0
0.7,3,24.7001
0.70001,3,24.7001
0.7,4,0
0.70001,4,0
0.8,0,12.4074
0.80001,0,12.4074
0.8,1,26.3283
0.80001,1,29.7875
0.8,2,0
0.80001,2,24.0992
0.8,3,24.7001
0.80001,3,24.7001
0.8,4,0
0.80001,4,0
0.9,0,12.4074
0.90001,0,6.28905
0.9,1,29.7875
0.90001,1,29.7875
0.9,2,24.0992
0.90001,2,24.0992
0.9,3,24.7001
0.90001,3,24.7001
0.9,4,0
0.90001,4,9.14676
1,0,6.28905
1.00001,0,6.28905
1,1,29.7875
1.00001,1,29.7875
1,2,24.0992
1.00001,2,41.3012
1,3,24.7001
1.00001,3,24.7001
1,4,9.14676
1.00001,4,9.14676
1.1,0,6.28905
1.10001,0,0
1.1,1,29.7875
1.10001,1,29.7875
1.1,2,41.3012
1.10001,2,41.3012
1.1,3,24.7001
1.10001,3,24.7001
1.1,4,9.14676
1.10001,4,9.14676
1.2,0,0
1.20001,0,0
1.2,1,29.7875
1.20001,1,53.0592
1.2,2,41.3012
1.20001,2,41.3012
1.2,3,24.7001
1.20001,3,24.7001
1.2,4,9.14676
1.20001,4,9.14676
1.3,0,0
1.30001,0,0
1.3,1,53.0592
1.30001,1,53.0592
1.3,2,41.3012
1.30001,2,41.3012
1.3,3,24.7001
1.30001,3,24.7001
1.3,4,9.14676
1.30001,4,0
1.4,0,0
1.40001,0,0
1.4,1,53.0592
1.40001,1,53.0592
1.4,2,41.3012
1.40001,2,41.3012
1.4,3,24.7001
1.40001,3,24.7001
1.4,4,0
1.40001,4,0
1.5,0,0
1.50001,0,14.5502
1.5,1,53.0592
1.50001,1,53.0592
1.5,2,41.3012
1.50001,2,41.3012
1.5,3,24.7001
1.50001,3,30.7768
1.5,4,0
1.50001,4,0
1.6,0,14.5502
1.60001,0,14.5502
1.6,1,53.0592
1.60001,1,53.0592
1.6,2,41.3012
1.60001,2,41.3012
1.6,3,30.7768
1.60001,3,30.7768
1.6,4,0
1.60001,4,10.0205
1.7,0,14.5502
1.70001,0,14.5502
1.7,1,53.0592
1.70001,1,53.0592
1.7,2,41.3012
1.70001,2,41.3012
1.7,3,30.7768
1.70001,3,26.3163
1.7,4,10.0205
1.70001,4,0
1.8,0,14.5502
1.80001,0,14.5502
1.8,1,53.0592
1.80001,1,53.0592
1.8,2,41.3012
1.80001,2,48.0859
1.8,3,26.3163
1.80001,3,26.3163
1.8,4,0
1.80001,4,12.2134
1.9,0,14.5502
1.90001,0,0.173079
1.9,1,53.0592
1.90001,1,53.0592
1.9,2,48.0859
1.90001,2,48.0859
1.9,3,26.3163
1.90001,3,26.3163
1.9,4,12.2134
1.90001,4,12.2134
2,0,0.173079
2.00001,0,0.173079
2,1,53.0592
2.00001,1,53.0592
2,2,48.0859
2.00001,2,48.0859
2,3,26.3163
2.00001,3,20.5563
2,4,12.2134
2.00001,4,12.2134
2.1,0,0.173079
2.10001,0,0
2.1,1,53.0592
2.10001,1,42.2138
2.1,2,48.0859
2.10001,2,38.7394
2.1,3,20.5563
2.10001,3,20.5563
2.1,4,12.2134
2.10001,4,12.2134
2.2,0,0
2.20001,0,2.31678
2.2,1,42.2138
2.20001,1,42.2138
2.2,2,38.7394
2.20001,2,38.7394
2.2,3,20.5563
2.20001,3,20.5563
2.2,4,12.2134
2.20001,4,12.2134
2.3,0,2.31678
2.30001,0,2.31678
2.3,1,42.2138
2.30001,1,42.2138
2.3,2,38.7394
2.30001,2,38.7394
2.3,3,20.5563
2.30001,3,20.5563
2.3,4,12.2134
2.30001,4,12.2134
2.4,0,2.31678
2.40001,0,6.21503
2.4,1,42.2138
2.40001,1,42.2138
2.4,2,38.7394
2.40001,2,38.7394
2.4,3,20.5563
2.40001,3,20.5563
2.4,4,12.2134
2.40001,4,0
2.5,0,6.21503
2.50001,0,9.4175
2.5,1,42.2138
2.50001,1,42.2138
2.5,2,38.7394
2.50001,2,16.2257
2.5,3,20.5563
2.50001,3,20.5563
2.5,4,0
2.50001,4,0
2.6,0,9.4175
2.60001,0,18.3623
2.6,1,42.2138
2.60001,1,25.4385
2.6,2,16.2257
2.60001,2,18.4971
2.6,3,20.5563
2.60001,3,7.86028
2.6,4,0
2.60001,4,0
2.7,0,18.3623
2.70001,0,1.17743
2.7,1,25.4385
2.70001,1,18.0852
2.7,2,18.4971
2.70001,2,18.4971
2.7,3,7.86028
2.70001,3,7.86028
2.7,4,0
2.70001,4,0
2.8,0,1.17743
2.80001,0,1.17743
2.8,1,18.0852
2.80001,1,38.4995
2.8,2,18.4971
2.80001,2,5.41904
2.8,3,7.86028
2.80001,3,6.14656
2.8,4,0
2.80001,4,0
2.9,0,1.17743
2.90001,0,1.17743
2.9,1,38.4995
2.90001,1,38.4995
2.9,2,5.41904
2.90001,2,4.48516
2.9,3,6.14656
2.90001,3,0
2.9,4,0
2.90001,4,0
3,0,1.17743
3.00001,0,1.17743
3,1,38.4995
3.00001,1,16.5574
3,2,4.48516
3.00001,2,0
3,3,0
3.00001,3,17.8898
3,4,0
3.00001,4,0
3.1,0,1.17743
3.10001,0,4.94615
3.1,1,16.5574
3.10001,1,17.1003
3.1,2,0
3.10001,2,0
3.1,3,17.8898
3.10001,3,17.8898
3.1,4,0
3.10001,4,0
3.2,0,4.94615
3.20001,0,4.94615
3.2,1,17.1003
3.20001,1,0
3.2,2,0
3.20001,2,0
3.2,3,17.8898
3.20001,3,17.8898
3.2,4,0
3.20001,4,0
3.3,0,4.94615
3.30001,0,4.94615
3.3,1,0
3.30001,1,0
3.3,2,0
3.30001,2,0
3.3,3,17.8898
3.30001,3,17.8898
3.3,4,0
3.30001,4,0
3.4,0,4.94615
3.40001,0,4.94615
3.4,1,0
3.40001,1,0
3.4,2,0
3.40001,2,0
3.4,3,17.8898
3.40001,3,17.8898
3.4,4,0
3.40001,4,24.02
3.5,0,4.94615
3.50001,0,4.94615
3.5,1,0
3.50001,1,0
3.5,2,0
3.50001,2,0
3.5,3,17.8898
3.50001,3,17.8898
3.5,4,24.02
3.50001,4,24.02
3.6,0,4.94615
3.60001,0,0
3.6,1,0
3.60001,1,0
3.6,2,0
3.60001,2,0
3.6,3,17.8898
3.60001,3,17.8898
3.6,4,24.02
3.60001,4,24.02
3.7,0,0
3.70001,0,0
3.7,1,0
3.70001,1,0
3.7,2,0
3.70001,2,0
3.7,3,17.8898
3.70001,3,17.8898
3.7,4,24.02
3.70001,4,5.50804
3.8,0,0
3.80001,0,0
3.8,1,0
3.80001,1,17.2649
3.8,2,0
3.80001,2,0
3.8,3,17.8898
3.80001,3,17.8898
3.8,4,5.50804
3.80001,4,17.6936
3.9,0,0
3.90001,0,1.50895
3.9,1,17.2649
3.90001,1,17.2649
3.9,2,0
3.90001,2,0
3.9,3,17.8898
3.90001,3,17.8898
3.9,4,17.6936
3.90001,4,11.4109
4,0,1.50895
4.00001,0,1.50895
4,1,17.2649
4.00001,1,5.49633
4,2,0
4.00001,2,0
4,3,17.8898
4.00001,3,34.6219
4,4,11.4109
4.00001,4,11.4109
4.1,0,1.50895
4.10001,0,15.6757
4.1,1,5.49633
4.10001,1,5.49633
4.1,2,0
4.10001,2,0
4.1,3,34.6219
4.10001,3,34.6219
4.1,4,11.4109
4.10001,4,11.4109
4.2,0,15.6757
4.20001,0,15.6757
4.2,1,5.49633
4.20001,1,5.49633
4.2,2,0
4.20001,2,0
4.2,3,34.6219
4.20001,3,34.6219
4.2,4,11.4109
4.20001,4,11.4109
4.3,0,15.6757
4.30001,0,15.6757
4.3,1,5.49633
4.30001,1,5.49633
4.3,2,0
4.30001,2,22.1391
4.3,3,34.6219
4.30001,3,34.6219
4.3,4,11.4109
4.30001,4,23.372
4.4,0,15.6757
4.40001,0,13.8965
4.4,1,5.49633
4.40001,1,5.49633
4.4,2,22.1391
4.40001,2,0
4.4,3,34.6219
4.40001,3,34.6219
4.4,4,23.372
4.40001,4,23.372
4.5,0,13.8965
4.50001,0,13.8965
4.5,1,5.49633
4.50001,1,28.1742
4.5,2,0
4.50001,2,0
4.5,3,34.6219
4.50001,3,37.164
4.5,4,23.372
4.50001,4,23.372
4.6,0,13.8965
4.60001,0,13.8965
4.6,1,28.1742
4.60001,1,28.1742
4.6,2,0
4.60001,2,14.488
4.6,3,37.164
4.60001,3,37.164
4.6,4,23.372
4.60001,4,23.372
4.7,0,13.8965
4.70001,0,7.88489
4.7,1,28.1742
4.70001,1,28.1742
4.7,2,14.488
4.70001,2,23.5013
4.7,3,37.164
4.70001,3,37.164
4.7,4,23.372
4.70001,4,31.8787
4.8,0,7.88489
4.80001,0,8.52072
4.8,1,28.1742
4.80001,1,28.1742
4.8,2,23.5013
4.80001,2,23.5013
4.8,3,37.164
4.80001,3,37.164
4.8,4,31.8787
4.80001,4,28.5956
4.9,0,8.52072
4.90001,0,8.52072
4.9,1,28.1742
4.90001,1,10.501
4.9,2,23.5013
4.90001,2,34.7956
4.9,3,37.164
4.90001,3,37.164
4.9,4,28.5956
4.90001,4,28.5956
5,0,8.52072
5.00001,0,14.0434
5,1,10.501
5.00001,1,10.501
5,2,34.7956
5.00001,2,34.7956
5,3,37.164
5.00001,3,37.164
5,4,28.5956
5.00001,4,28.5956
5.1,0,14.0434
5.10001,0,14.0434
5.1,1,10.501
5.10001,1,23.0696
5.1,2,34.7956
5.10001,2,34.7956
5.1,3,37.164
5.10001,3,37.164
5.1,4,28.5956
5.10001,4,28.5956
5.2,0,14.0434
5.20001,0,9.50089
5.2,1,23.0696
5.20001,1,37.1736
5.2,2,34.7956
5.20001,2,34.7956
5.2,3,37.164
5.20001,3,37.164
5.2,4,28.5956
5.20001,4,28.5956
5.3,0,9.50089
5.30001,0,9.50089
5.3,1,37.1736
5.30001,1,37.1736
5.3,2,34.7956
5.30001,2,34.7956
5.3,3,37.164
5.30001,3,37.164
5.3,4,28.5956
5.30001,4,28.5956
5.4,0,9.50089
5.40001,0,9.50089
5.4,1,37.1736
5.40001,1,37.1736
5.4,2,34.7956
5.40001,2,34.7956
5.4,3,37.164
5.40001,3,37.164
5.4,4,28.5956
5.40001,4,19.6423
5.5,0,9.50089
5.50001,0,9.50089
5.5,1,37.1736
5.50001,1,37.1736
5.5,2,34.7956
5.50001,2,13.8114
5.5,3,37.164
5.50001,3,39.8732
5.5,4,19.6423
5.50001,4,19.6423
5.6,0,9.50089
5.60001,0,9.50089
5.6,1,37.1736
5.60001,1,30.7342
5.6,2,13.8114
5.60001,2,13.8114
5.6,3,39.8732
5.60001,3,39.8732
5.6,4,19.6423
5.60001,4,13.1591
5.7,0,9.50089
5.70001,0,9.50089
5.7,1,30.7342
5.70001,1,30.7342
5.7,2,13.8114
5.70001,2,13.8114
5.7,3,39.8732
5.70001,3,39.8732
5.7,4,13.1591
5.70001,4,0
5.8,0,9.50089
5.80001,0,0
5.8,1,30.7342
5.80001,1,42.8494
5.8,2,13.8114
5.80001,2,2.41946
5.8,3,39.8732
5.80001,3,39.8732
5.8,4,0
5.80001,4,0
5.9,0,0
5.90001,0,0
5.9,1,42.8494
5.90001,1,42.8494
5.9,2,2.41946
5.90001,2,2.41946
5.9,3,39.8732
5.90001,3,39.8732
5.9,4,0
5.90001,4,2.68695
6,0,0
6.00001,0,0
6,1,42.8494
6.00001,1,42.8494
6,2,2.41946
6.00001,2,2.41946
6,3,39.8732
6.00001,3,39.8732
6,4,2.68695
6.00001,4,0
6.1,0,0
6.10001,0,20.3267
6.1,1,42.8494
6.10001,1,42.8494
6.1,2,2.41946
6.10001,2,2.41946
6.1,3,39.8732
6.10001,3,27.9711
6.1,4,0
6.10001,4,0
6.2,0,20.3267
6.20001,0,33.4309
6.2,1,42.8494
6.20001,1,42.8494
6.2,2,2.41946
6.20001,2,2.41946
6.2,3,27.9711
6.20001,3,42.9018
6.2,4,0
6.20001,4,0
6.3,0,33.4309
6.30001,0,17.7871
6.3,1,42.8494
6.30001,1,54.7865
6.3,2,2.41946
6.30001,2,2.41946
6.3,3,42.9018
6.30001,3,42.9018
6.3,4,0
6.30001,4,0
6.4,0,17.7871
6.40001,0,17.7871
6.4,1,54.7865
6.40001,1,54.7865
6.4,2,2.41946
6.40001,2,2.41946
6.4,3,42.9018
6.40001,3,67.2294
6.4,4,0
6.40001,4,0
6.5,0,17.7871
6.50001,0,20.9023
6.5,1,54.7865
6.50001,1,40.4948
6.5,2,2.41946
6.50001,2,2.41946
6.5,3,67.2294
6.50001,3,67.2294
6.5,4,0
6.50001,4,2.77901
6.6,0,20.9023
6.60001,0,12.4717
6.6,1,40.4948
6.60001,1,40.4948
6.6,2,2.41946
6.60001,2,0
6.6,3,67.2294
6.60001,3,67.2294
6.6,4,2.77901
6.60001,4,2.77901
6.7,0,12.4717
6.70001,0,12.4717
6.7,1,40.4948
6.70001,1,27.6711
6.7,2,0
6.70001,2,0
6.7,3,67.2294
6.70001,3,67.2294
6.7,4,2.77901
6.70001,4,0
6.8,0,12.4717
6.80001,0,12.4717
6.8,1,27.6711
6.80001,1,27.6711
6.8,2,0
6.80001,2,0
6.8,3,67.2294
6.80001,3,62.342
6.8,4,0
6.80001,4,0
6.9,0,12.4717
6.90001,0,12.4717
6.9,1,27.6711
6.90001,1,27.6711
6.9,2,0
6.90001,2,12.9376
6.9,3,62.342
6.90001,3,42.1122
6.9,4,0
6.90001,4,0
7,0,12.4717
7.00001,0,12.4717
7,1,27.6711
7.00001,1,27.6711
7,2,12.9376
7.00001,2,0
7,3,42.1122
7.00001,3,42.1122
7,4,0
7.00001,4,0
7.1,0,12.4717
7.10001,0,12.4717
7.1,1,27.6711
7.10001,1,16.2543
7.1,2,0
7.10001,2,0
7.1,3,42.1122
7.10001,3,42.1122
7.1,4,0
7.10001,4,0
7.2,0,12.4717
7.20001,0,0
7.2,1,16.2543
7.20001,1,0.593598
7.2,2,0
7.20001,2,20.8026
7.2,3,42.1122
7.20001,3,42.1122
7.2,4,0
7.20001,4,0
7.3,0,0
7.30001,0,0
7.3,1,0.593598
7.30001,1,0.593598
7.3,2,20.8026
7.30001,2,1.16079
7.3,3,42.1122
7.30001,3,52.7892
7.3,4,0
7.30001,4,0
7.4,0,0
7.40001,0,0
7.4,1,0.593598
7.40001,1,0
7.4,2,1.16079
7.40001,2,0
7.4,3,52.7892
7.40001,3,52.7892
7.4,4,0
7.40001,4,0
7.5,0,0
7.50001,0,14.7869
7.5,1,0
7.50001,1,13.5044
7.5,2,0
7.50001,2,0
7.5,3,52.7892
7.50001,3,52.7892
7.5,4,0
7.50001,4,0
7.6,0,14.7869
7.60001,0,38.9934
7.6,1,13.5044
7.60001,1,13.5044
7.6,2,0
7.60001,2,0
7.6,3,52.7892
7.60001,3,52.7892
7.6,4,0
7.60001,4,0
7.7,0,38.9934
7.70001,0,38.9934
7.7,1,13.5044
7.70001,1,13.5044
7.7,2,0
7.70001,2,0
7.7,3,52.7892
7.70001,3,68.8315
7.7,4,0
7.70001,4,0
7.8,0,38.9934
7.80001,0,38.9934
7.8,1,13.5044
7.80001,1,13.5044
7.8,2,0
7.80001,2,1.69602
7.8,3,68.8315
7.80001,3,81.8729
7.8,4,0
7.80001,4,0
7.9,0,38.9934
7.90001,0,38.9934
7.9,1,13.5044
7.90001,1,13.5044
7.9,2,1.69602
7.90001,2,1.69602
7.9,3,81.8729
7.90001,3,98.7764
7.9,4,0
7.90001,4,0
8,0,38.9934
8.00001,0,38.9934
8,1,13.5044
8.00001,1,13.5044
8,2,1.69602
8.00001,2,0
8,3,98.7764
8.00001,3,96.3934
8,4,0
8.00001,4,0
8.1,0,38.9934
8.10001,0,38.9934
8.1,1,13.5044
8.10001,1,37.6118
8.1,2,0
8.10001,2,0
8.1,3,96.3934
8.10001,3,96.3934
8.1,4,0
8.10001,4,0
8.2,0,38.9934
8.20001,0,51.3573
8.2,1,37.6118
8.20001,1,44.6754
8.2,2,0
8.20001,2,0
8.2,3,96.3934
8.20001,3,81.3542
8.2,4,0
8.20001,4,0
8.3,0,51.3573
8.30001,0,51.3573
8.3,1,44.6754
8.30001,1,24.2327
8.3,2,0
8.30001,2,0
8.3,3,81.3542
8.30001,3,86.2578
8.3,4,0
8.30001,4,0
8.4,0,51.3573
8.40001,0,51.3573
8.4,1,24.2327
8.40001,1,24.2327
8.4,2,0
8.40001,2,8.84025
8.4,3,86.2578
8.40001,3,86.2578
8.4,4,0
8.40001,4,17.048
8.5,0,51.3573
8.50001,0,51.1225
8.5,1,24.2327
8.50001,1,24.2327
8.5,2,8.84025
8.50001,2,26.9273
8.5,3,86.2578
8.50001,3,101.279
8.5,4,17.048
8.50001,4,0
8.6,0,51.1225
8.60001,0,51.1225
8.6,1,24.2327
8.60001,1,24.2327
8.6,2,26.9273
8.60001,2,28.8661
8.6,3,101.279
8.60001,3,101.279
8.6,4,0
8.60001,4,0
8.7,0,51.1225
8.70001,0,51.1225
8.7,1,24.2327
8.70001,1,4.90321
8.7,2,28.8661
8.70001,2,52.413
8.7,3,101.279
8.70001,3,78.3228
8.7,4,0
8.70001,4,0
8.8,0,51.1225
8.80001,0,51.1225
8.8,1,4.90321
8.80001,1,0
8.8,2,52.413
8.80001,2,53.2359
8.8,3,78.3228
8.80001,3,78.3228
8.8,4,0
8.80001,4,0
8.9,0,51.1225
8.90001,0,51.1225
8.9,1,0
8.90001,1,0
8.9,2,53.2359
8.90001,2,53.2359
8.9,3,78.3228
8.90001,3,78.3228
8.9,4,0
8.90001,4,15.0312
9,0,51.1225
9.00001,0,51.1225
9,1,0
9.00001,1,0
9,2,53.2359
9.00001,2,53.2359
9,3,78.3228
9.00001,3,101.433
9,4,15.0312
9.00001,4,15.0312
9.1,0,51.1225
9.10001,0,51.1225
9.1,1,0
9.10001,1,0
9.1,2,53.2359
9.10001,2,53.2359
9.1,3,101.433
9.10001,3,101.433
9.1,4,15.0312
9.10001,4,15.0312
9.2,0,51.1225
9.20001,0,51.1225
9.2,1,0
9.20001,1,0
9.2,2,53.2359
9.20001,2,53.2359
9.2,3,101.433
9.20001,3,101.433
9.2,4,15.0312
9.20001,4,15.0312
9.3,0,51.1225
9.30001,0,51.1225
9.3,1,0
9.30001,1,18.5443
9.3,2,53.2359
9.30001,2,53.2359
9.3,3,101.433
9.30001,3,93.5735
9.3,4,15.0312
9.30001,4,15.0312
9.4,0,51.1225
9.40001,0,55.2742
9.4,1,18.5443
9.40001,1,18.5443
9.4,2,53.2359
9.40001,2,58.9713
9.4,3,93.5735
9.40001,3,93.5735
9.4,4,15.0312
9.40001,4,28.4455
9.5,0,55.2742
9.50001,0,55.2742
9.5,1,18.5443
9.50001,1,18.5443
9.5,2,58.9713
9.50001,2,68.5133
9.5,3,93.5735
9.50001,3,93.5735
