simTime,MCC_idx,atmosphericLoss_dB,fspl_dB,power_dBm,weatherAtMCC
0.1,0,0,206.456,-83.9034,0
0.1,1,0,206.475,-83.922,0
0.1,2,0,206.648,-84.0953,0
0.1,3,0,206.518,-83.9657,0
0.1,4,1.92484,206.556,-85.9281,2.50336
0.10002024,2,0,205.161,-124.964,0
0.10003024,4,1.02356,205.204,-126.049,1.80022
0.10004024,0,0,205.272,-125.267,0
0.10005024,1,0,205.145,-125.011,0
0.10006024,0,0,205.143,-126.971,0
0.2,0,0,206.456,-83.9034,0
0.2,1,0,206.475,-83.922,0
0.2,2,0,206.648,-84.0953,0
0.2,3,4.14471,206.518,-88.1104,6.20733
0.2,4,1.45437,206.556,-85.4577,1.80022
0.20002024,1,0,205.139,-124.942,0
0.20003024,3,2.9146,205.182,-127.919,6.20733
0.20004024,0,0,205.272,-125.267,0
0.20005024,0,0,205.124,-129.134,0
0.20006024,0,0,205.143,-126.501,0
0.3,0,0,206.456,-83.9034,0
0.3,1,0,206.475,-83.922,0
0.3,2,0,206.648,-84.0953,0
0.3,3,4.14471,206.518,-88.1104,6.20733
0.3,4,1.45437,206.556,-85.4577,1.80022
0.30002024,3,0,205.182,-124.986,0
0.30003024,4,0,205.204,-125.026,0
0.30004024,3,0,205.337,-125.332,0
0.30005024,4,0,205.21,-129.221,0
0.30006024,2,0,205.186,-126.544,0
0.4,0,0,206.456,-83.9034,0
0.4,1,4.24344,206.475,-88.1654,6.45576
0.4,2,0,206.648,-84.0953,0
0.4,3,0,206.518,-83.9657,0
0.4,4,0,206.556,-84.0033,0
0.40002024,2,0,205.161,-124.964,0
0.40003024,0,3.38623,205.117,-132.569,7.55643
0.40004024,1,2.97918,205.294,-128.268,6.45576
0.40005024,2,0,205.167,-125.033,0
0.40006024,1,2.97918,205.165,-128.047,6.45576
0.5,0,4.82718,206.456,-88.7306,7.55643
0.5,1,4.24344,206.475,-88.1654,6.45576
0.5,2,0,206.648,-84.0953,0
0.5,3,0,206.518,-83.9657,0
0.5,4,0,206.556,-84.0033,0
0.50002024,2,0,205.161,-129.791,0
0.50003024,3,0,205.182,-129.248,0
0.50004024,3,0,205.337,-125.332,0
0.50005024,2,0,205.167,-125.033,0
0.50006024,3,0,205.208,-125.111,0
0.6,0,0,206.456,-83.9034,0
0.6,1,14.0159,206.475,-97.9379,26.3283
0.6,2,0,206.648,-84.0953,0
0.6,3,0,206.518,-83.9657,0
0.6,4,0,206.556,-84.0033,0
0.60002024,4,0,205.204,-125.007,0
0.60003024,1,9.84012,205.294,-135.129,26.3283
0.60004024,0,5.2922,205.124,-130.282,12.7779
0.60005024,2,0,205.186,-125.09,0
0.7,0,7.54421,206.456,-91.4476,12.7779
0.7,1,14.0159,206.475,-97.9379,26.3283
0.7,2,0,206.648,-84.0953,0
0.7,3,13.4066,206.518,-97.3723,24.7001
0.7,4,0,206.556,-84.0033,0
0.70002024,0,5.16148,205.272,-130.429,12.4074
0.70003024,3,9.42768,205.208,-134.539,24.7001
0.8,0,7.35787,206.456,-91.2613,12.4074
0.8,1,14.0159,206.475,-97.9379,26.3283
0.8,2,0,206.648,-84.0953,0
0.8,3,13.4066,206.518,-97.3723,24.7001
0.8,4,0,206.556,-84.0033,0
0.80002024,1,10.9287,205.294,-136.218,29.7875
0.80003024,0,5.16148,205.143,-130.208,12.4074
0.9,0,7.35787,206.456,-91.2613,12.4074
0.9,1,15.5665,206.475,-99.4885,29.7875
0.9,2,13.0647,206.648,-97.1599,24.0992
0.9,3,13.4066,206.518,-97.3723,24.7001
0.9,4,0,206.556,-84.0033,0
0.90002024,2,9.17977,205.186,-134.269,24.0992
1,0,4.12973,206.456,-88.0332,6.28905
1,1,15.5665,206.475,-99.4885,29.7875
1,2,13.0647,206.648,-97.1599,24.0992
1,3,13.4066,206.518,-97.3723,24.7001
1,4,5.79065,206.556,-89.7939,9.14676
1.00002024,3,9.42768,205.182,-138.543,24.7001
1.00003024,1,10.9287,205.165,-141.787,29.7875
1.1,0,4.12973,206.456,-88.0332,6.28905
1.1,1,15.5665,206.475,-99.4885,29.7875
1.1,2,20.6521,206.648,-104.747,41.3012
1.1,3,13.4066,206.518,-97.3723,24.7001
1.1,4,5.79065,206.556,-89.7939,9.14676
1.10002024,1,10.9287,205.139,-140.001,29.7875
1.10003024,2,14.511,205.186,-145.391,41.3012
1.2,0,0,206.456,-83.9034,0
1.2,1,15.5665,206.475,-99.4885,29.7875
1.2,2,20.6521,206.648,-104.747,41.3012
1.2,3,13.4066,206.518,-97.3723,24.7001
1.2,4,5.79065,206.556,-89.7939,9.14676
1.20002024,1,17.852,205.139,-142.794,53.0592
1.20003024,2,14.511,205.186,-145.391,41.3012
1.3,0,0,206.456,-83.9034,0
1.3,1,25.4278,206.475,-109.35,53.0592
1.3,2,20.6521,206.648,-104.747,41.3012
1.3,3,13.4066,206.518,-97.3723,24.7001
1.3,4,5.79065,206.556,-89.7939,9.14676
1.30002024,1,17.852,205.139,-142.794,53.0592
1.30003024,1,17.852,205.165,-148.711,53.0592
1.4,0,0,206.456,-83.9034,0
1.4,1,25.4278,206.475,-109.35,53.0592
1.4,2,20.6521,206.648,-104.747,41.3012
1.4,3,13.4066,206.518,-97.3723,24.7001
1.4,4,0,206.556,-84.0033,0
1.40002024,4,0,205.204,-125.007,0
1.40003024,1,17.852,205.165,-142.92,53.0592
1.5,0,0,206.456,-83.9034,0
1.5,1,25.4278,206.475,-109.35,53.0592
1.5,2,20.6521,206.648,-104.747,41.3012
1.5,3,13.4066,206.518,-97.3723,24.7001
1.5,4,0,206.556,-84.0033,0
