simTime,MCC_idx,rainLoss_dB,cloudLoss_dB,fspl_dB,power_dBm,rain_mm_AtMCC,cloudCoverAtMCC
0.1,0,0.097421,0.00563394,199.103,-76.653,0,0
0.1,1,0.484362,0.0277578,199.146,-77.1053,0,0
0.1,2,0.097421,0.00628082,199.344,-76.8947,0,0
0.1,3,0.097421,0.0055108,199.239,-76.7887,0,0
0.1,4,0.390289,0.0222089,199.3,-77.1601,0,0
0.10002024,3,0.00692273,0.010537,195.774,-108.344,0,0
0.10003024,3,0.00692273,0.0106755,195.774,-108.797,0,0
0.10004024,0,0.00692273,0.0124873,195.735,-108.55,0,0
0.10005024,4,0.0136882,0.0207816,195.844,-108.567,5.01856,0
0.10006024,2,0.00692273,0.0109508,195.736,-108.814,0,0
0.2,0,0.097421,0.00563394,199.103,-76.653,0,0
0.2,1,0.097421,0.005583,199.146,-76.6962,0,0
0.2,2,0.097421,0.00628082,199.344,-76.8947,0,0
0.2,3,0.097421,0.0055108,199.239,-76.7887,0,0
0.2,4,0.192629,0.0109613,199.3,-76.9512,5.01856,0
0.20002024,4,0.00692273,0.0104193,195.838,-108.408,5.01856,0
0.20003024,4,0.00692273,0.0105563,195.838,-108.451,5.01856,0
0.20004024,1,0.00692273,0.0123459,195.8,-108.614,0,0
0.20005024,4,0.00692273,0.0105101,195.844,-108.55,5.01856,0
0.20006024,2,0.0137667,0.0217771,195.736,-108.623,0,0
0.3,0,0.097421,0.00563394,199.103,-76.653,0,0
0.3,1,0.097421,0.005583,199.146,-76.6962,0,0
0.3,2,0.193734,0.0124902,199.344,-76.9972,0,0
0.3,3,0.097421,0.0055108,199.239,-76.7887,0,0
0.3,4,0.097421,0.0055436,199.3,-76.8506,5.01856,0
0.30002024,2,0.00692273,0.0106565,195.71,-108.281,0,0
0.30003024,0,0.00692273,0.0110446,195.581,-108.195,13.7282,0
0.30004024,3,0.0134871,0.023515,195.929,-108.863,0,0
0.30005024,1,0.00692273,0.0108719,195.652,-108.359,0,0
0.30006024,0,0.00692273,0.0112024,195.607,-108.375,13.7282,0
0.4,0,0.097421,0.00563394,199.103,-76.653,13.7282,0
0.4,1,0.097421,0.005583,199.146,-76.6962,0,0
0.4,2,0.097421,0.00628082,199.344,-76.8947,0,0
0.4,3,0.189799,0.0107363,199.239,-76.8863,0,0
0.4,4,0.097421,0.0055436,199.3,-76.8506,5.01856,0
0.40002024,2,0.00692273,0.0106565,195.71,-108.281,3.90591,0
0.40003024,4,0.00692273,0.0105563,195.838,-108.451,5.01856,0
0.40004024,3,0.0103248,0.0180015,195.929,-108.752,0,0
0.40005024,0,0.00692273,0.0109964,195.587,-108.392,10.5274,0
0.40006024,3,0.0103248,0.0161493,195.8,-108.577,0,0
0.5,0,0.097421,0.00563394,199.103,-76.653,10.5274,0
0.5,1,0.097421,0.005583,199.146,-76.6962,0,0
0.5,2,0.097421,0.00628082,199.344,-76.8947,3.90591,0
0.5,3,0.145298,0.00821903,199.239,-76.8393,0,0
0.5,4,0.097421,0.0055436,199.3,-76.8506,5.01856,0
0.50002024,4,0.00692273,0.0104193,195.838,-108.408,5.01856,0
0.50003024,2,0.00692273,0.0107966,195.71,-108.324,13.795,0
0.50004024,0,0.00692273,0.0124873,195.735,-108.55,10.5274,0
0.50005024,1,0.00692273,0.0108719,195.652,-108.409,0,0
0.50006024,1,0.00692273,0.0110756,195.671,-108.44,0,0
0.6,0,0.097421,0.00563394,199.103,-76.653,10.5274,0
0.6,1,0.097421,0.005583,199.146,-76.6962,0,0
0.6,2,0.097421,0.00628082,199.344,-76.8947,13.795,0
0.6,3,0.097421,0.0055108,199.239,-76.7887,0,0
0.6,4,0.097421,0.0055436,199.3,-76.8506,5.01856,0
0.60002024,3,0.00692273,0.010537,195.774,-108.344,0,0
0.60003024,3,0.00692273,0.0106755,195.774,-108.388,0,0
0.60004024,4,0.00692273,0.0119351,195.992,-108.806,5.01856,0
0.60005024,2,0.00692273,0.0107494,195.717,-108.423,13.795,0
0.60006024,2,0.00692273,0.0109508,195.736,-108.504,13.795,0
0.7,0,0.445365,0.0257559,199.103,-77.021,10.5274,0
0.7,1,0.097421,0.005583,199.146,-76.6962,0,0
0.7,2,0.097421,0.00628082,199.344,-76.8947,13.795,0
0.7,3,0.097421,0.0055108,199.239,-76.7887,0,0
0.7,4,0.097421,0.0055436,199.3,-76.8506,5.01856,0
0.70002024,3,0.00692273,0.010537,195.774,-108.713,0,0
0.70003024,2,0.00692273,0.0107966,195.71,-108.324,13.795,0
0.70004024,1,0.014951,0.0266636,195.8,-108.637,7.24362,0
0.70005024,4,0.021534,0.0326931,195.844,-108.587,5.01856,0
0.70006024,1,0.014951,0.02392,195.671,-108.461,7.24362,0
0.8,0,0.291443,0.0168544,199.103,-76.8582,24.779,0
0.8,1,0.210401,0.0120576,199.146,-76.8157,7.24362,0
0.8,2,0.097421,0.00628082,199.344,-76.8947,13.795,0
0.8,3,0.097421,0.0055108,199.239,-76.7887,0,0
0.8,4,0.30304,0.017244,199.3,-77.0679,5.01856,0
0.80002024,4,0.0253572,0.0381648,195.838,-108.659,12.5393,0
0.80003024,4,0.0253572,0.0386665,195.838,-108.617,12.5393,0
0.80004024,0,0.0123833,0.0223372,195.735,-108.565,24.779,0
0.80005024,1,0.013314,0.0209092,195.652,-108.375,7.24362,0
0.80006024,2,0.00692273,0.0109508,195.736,-108.722,13.795,0
0.9,0,0.174266,0.010078,199.103,-76.7342,24.779,0
0.9,1,0.187363,0.0107374,199.146,-76.7913,7.24362,0
0.9,2,0.097421,0.00628082,199.344,-76.8947,13.795,0
0.9,3,0.097421,0.0055108,199.239,-76.7887,0,0
0.9,4,0.356843,0.0203056,199.3,-77.1248,12.5393,0
0.90002024,3,0.00692273,0.010537,195.774,-108.426,8.61498,0
0.90003024,2,0.00692273,0.0107966,195.71,-108.419,13.795,0
0.90004024,1,0.0228175,0.0406926,195.8,-108.659,16.2638,0
0.90005024,2,0.00692273,0.0107494,195.717,-108.423,13.795,0
0.90006024,2,0.00692273,0.0109508,195.736,-108.778,13.795,0
1,0,0.097421,0.00563394,199.103,-76.653,24.779,0
1,1,0.321103,0.0184017,199.146,-76.9327,16.2638,0
1,2,0.097421,0.00628082,199.344,-76.8947,13.795,0
1,3,0.097421,0.0055108,199.239,-76.7887,8.61498,0
1,4,0.097421,0.0055436,199.3,-76.8506,12.5393,0
1.00002024,4,0.0161563,0.0243166,195.838,-108.431,12.5393,0
