simTime,MCC_idx,rainLoss_dB,cloudLoss_dB,fspl_dB,power_dBm,rain_mm_AtMCC,cloudCoverAtMCC
0.1,0,0.00762438,0.00563394,199.103,-76.5632,0,0
0.1,1,0.0379072,0.0277578,199.146,-76.6589,0,0
0.1,2,0.00762438,0.00628082,199.344,-76.8049,0,0
0.1,3,0.00762438,0.0055108,199.239,-76.6989,0,0
0.1,4,0.0305449,0.0222089,199.3,-76.8004,0,0
0.10002024,3,0.00156281,0.010537,195.774,-108.249,0,0
0.10003024,3,0.00156281,0.0106755,195.774,-108.345,0,0
0.10004024,0,0.00156281,0.0124873,195.735,-108.454,0,0
0.10005024,4,0.00309013,0.0207816,195.844,-108.467,5.01856,0
0.10006024,2,0.00156281,0.0109508,195.736,-108.449,0,0
0.2,0,0.00762438,0.00563394,199.103,-76.5632,0,0
0.2,1,0.00762438,0.005583,199.146,-76.6064,0,0
0.2,2,0.00762438,0.00628082,199.344,-76.8049,0,0
0.2,3,0.00762438,0.0055108,199.239,-76.6989,0,0
0.2,4,0.0150756,0.0109613,199.3,-76.7737,5.01856,0
0.20002024,4,0.00156281,0.0104193,195.838,-108.313,5.01856,0
0.20003024,4,0.00156281,0.0105563,195.838,-108.356,5.01856,0
0.20004024,1,0.00156281,0.0123459,195.8,-108.519,0,0
0.20005024,4,0.00156281,0.0105101,195.844,-108.455,5.01856,0
0.20006024,2,0.00310785,0.0217771,195.736,-108.434,0,0
0.3,0,0.00762438,0.00563394,199.103,-76.5632,0,0
0.3,1,0.00762438,0.005583,199.146,-76.6064,0,0
0.3,2,0.015162,0.0124902,199.344,-76.8187,0,0
0.3,3,0.00762438,0.0055108,199.239,-76.6989,0,0
0.3,4,0.00762438,0.0055436,199.3,-76.7608,5.01856,0
0.30002024,2,0.00156281,0.0106565,195.71,-108.186,0,0
0.30003024,0,0.00156281,0.0110446,195.581,-108.1,13.7282,0
0.30004024,3,0.00304473,0.023515,195.929,-108.674,0,0
0.30005024,1,0.00156281,0.0108719,195.652,-108.264,0,0
0.30006024,0,0.00156281,0.0112024,195.607,-108.28,13.7282,0
0.4,0,0.00762438,0.00563394,199.103,-76.5632,13.7282,0
0.4,1,0.00762438,0.005583,199.146,-76.6064,0,0
0.4,2,0.00762438,0.00628082,199.344,-76.8049,0,0
0.4,3,0.0148541,0.0107363,199.239,-76.7114,0,0
0.4,4,0.00762438,0.0055436,199.3,-76.7608,5.01856,0
0.40002024,2,0.00156281,0.0106565,195.71,-108.186,3.90591,0
0.40003024,4,0.00156281,0.0105563,195.838,-108.356,5.01856,0
0.40004024,3,0.00233084,0.0180015,195.929,-108.654,0,0
0.40005024,0,0.00156281,0.0109964,195.587,-108.211,10.5274,0
0.40006024,3,0.00233084,0.0161493,195.8,-108.479,0,0
0.5,0,0.00762438,0.00563394,199.103,-76.5632,10.5274,0
0.5,1,0.00762438,0.005583,199.146,-76.6064,0,0
0.5,2,0.00762438,0.00628082,199.344,-76.8049,3.90591,0
0.5,3,0.0113713,0.00821903,199.239,-76.7054,0,0
0.5,4,0.00762438,0.0055436,199.3,-76.7608,5.01856,0
0.50002024,4,0.00156281,0.0104193,195.838,-108.313,5.01856,0
0.50003024,2,0.00156281,0.0107966,195.71,-108.229,13.795,0
0.50004024,0,0.00156281,0.0124873,195.735,-108.454,10.5274,0
0.50005024,1,0.00156281,0.0108719,195.652,-108.27,0,0
0.50006024,1,0.00156281,0.0110756,195.671,-108.345,0,0
0.6,0,0.00762438,0.00563394,199.103,-76.5632,10.5274,0
0.6,1,0.00762438,0.005583,199.146,-76.6064,0,0
0.6,2,0.00762438,0.00628082,199.344,-76.8049,13.795,0
0.6,3,0.00762438,0.0055108,199.239,-76.6989,0,0
0.6,4,0.00762438,0.0055436,199.3,-76.7608,5.01856,0
0.60002024,3,0.00156281,0.010537,195.774,-108.249,0,0
0.60003024,3,0.00156281,0.0106755,195.774,-108.293,0,0
0.60004024,4,0.00156281,0.0119351,195.992,-108.711,5.01856,0
0.60005024,2,0.00156281,0.0107494,195.717,-108.328,13.795,0
0.60006024,2,0.00156281,0.0109508,195.736,-108.409,13.795,0
0.7,0,0.0348552,0.0257559,199.103,-76.6105,10.5274,0
0.7,1,0.00762438,0.005583,199.146,-76.6064,0,0
0.7,2,0.00762438,0.00628082,199.344,-76.8049,13.795,0
0.7,3,0.00762438,0.0055108,199.239,-76.6989,0,0
0.7,4,0.00762438,0.0055436,199.3,-76.7608,5.01856,0
