simTime,MCC_idx,packet_is_loss
0.10003048,1,0
0.10004048,4,0
0.10005048,0,0
0.10006048,2,0
0.10007048,3,0
0.20003048,1,0
0.20004048,4,0
0.20005048,0,0
0.20006048,2,0
0.30003048,1,0
0.30004048,0,0
0.30005048,4,0
0.30006048,1,0
0.30007048,2,0
0.40003048,2,0
0.40005048,3,0
0.40006048,1,0
0.50003048,4,0
0.50004048,2,0
0.50005048,0,0
0.50007048,0,0
0.60003048,1,0
0.60004048,0,0
0.60005048,3,0
0.60006048,2,0
0.70003048,4,0
0.70005048,3,0
0.70006048,0,0
0.80003048,2,0
0.80004048,0,0
0.80005048,4,0
0.80007048,0,0
0.90003048,3,0
0.90004048,4,0
0.90005048,0,0
0.90006048,2,0
0.90007048,1,0
1.00003048,1,0
1.00004048,3,0
1.00006048,0,0
1.00007048,1,0
1.10003048,1,0
1.10004048,4,0
1.10006048,1,0
1.10007048,0,0
1.20003048,3,0
1.20004048,0,0
1.20005048,3,0
1.20006048,1,0
1.20007048,0,0
1.30003048,4,0
1.30004048,0,0
1.30005048,3,0
1.30006048,0,0
1.30007048,1,0
1.40003048,4,0
1.40004048,0,0
1.40005048,4,0
1.40006048,2,0
1.40007048,0,0
1.50003048,4,0
1.50004048,0,0
1.50006048,2,0
1.50007048,3,0
1.60003048,1,0
1.60004048,2,0
1.60005048,1,0
1.60006048,0,0
1.60007048,1,0
1.70003048,1,0
1.70004048,3,0
1.70006048,1,0
1.80003048,2,0
1.80005048,3,0
1.80006048,2,0
1.80007048,1,0
1.90003048,2,0
1.90004048,3,0
1.90005048,4,0
1.90006048,2,0
1.90007048,0,0
2.00003048,1,0
2.00004048,2,0
2.00005048,0,0
2.00007048,1,0
2.10003048,1,0
2.10004048,2,0
2.10005048,4,0
2.10006048,0,0
2.20003048,1,0
2.20004048,3,0
2.20005048,1,0
2.20006048,4,0
2.20007048,3,0
2.30003048,4,0
2.30004048,3,0
2.30005048,0,0
2.30007048,1,0
2.40003048,3,0
2.40005048,3,0
2.40006048,4,0
2.40007048,0,0
2.50003048,3,0
2.50004048,0,0
2.50005048,1,0
2.50006048,4,0
2.50007048,1,0
2.60003048,3,0
2.60005048,1,0
2.60006048,0,0
2.60007048,2,0
2.70003048,3,0
2.70005048,4,0
2.70006048,2,0
2.80003048,1,0
2.80004048,4,0
2.80006048,4,0
2.80007048,0,0
2.90003048,3,0
2.90005048,0,0
2.90006048,2,0
2.90007048,3,0
3.00003048,2,0
3.00004048,3,0
3.00005048,1,0
3.00006048,2,0
3.00007048,1,0
3.10003048,1,0
3.10004048,4,0
3.10005048,3,0
3.10006048,1,0
3.20003048,3,0
3.20004048,2,0
3.20005048,0,0
3.20006048,2,0
3.30003048,4,0
3.30004048,0,0
3.30005048,3,0
3.30006048,4,0
3.30007048,3,0
3.40003048,1,0
3.40004048,0,0
3.40005048,3,0
3.40006048,0,0
3.40007048,2,0
3.50003048,3,0
3.50004048,4,0
3.50006048,4,0
3.50007048,0,0
3.60003048,3,0
3.60004048,4,0
3.60005048,3,0
3.60006048,4,0
3.60007048,2,0
3.70003048,1,0
3.70004048,4,0
3.70006048,2,0
3.80003048,2,0
3.80004048,0,0
3.80005048,1,0
3.80006048,4,0
3.80007048,0,0
3.90003048,2,0
3.90004048,3,0
3.90006048,1,0
3.90007048,0,0
4.00003048,1,0
4.00004048,0,0
4.00005048,1,0
4.00006048,0,0
4.00007048,3,0
4.10003048,3,0
4.10004048,4,0
4.10005048,1,0
4.10006048,2,0
4.20003048,2,0
4.20004048,3,0
4.20005048,1,0
4.20006048,0,0
4.20007048,1,0
4.30003048,4,0
4.30004048,3,0
4.30005048,1,0
4.30006048,2,0
4.30007048,0,0
4.40003048,1,0
4.40004048,4,0
4.40005048,0,0
4.40006048,1,0
4.40007048,3,0
4.50003048,1,0
4.50004048,0,0
4.50005048,1,0
4.50007048,3,0
4.60003048,4,0
4.60004048,0,0
4.60005048,4,0
4.60006048,2,0
4.60007048,3,0
4.70003048,3,0
4.70005048,1,0
4.70006048,4,0
4.70007048,2,0
4.80003048,4,0
4.80004048,0,0
4.80005048,1,0
4.80006048,0,0
4.80007048,3,0
4.90003048,1,0
4.90004048,3,0
4.90006048,4,0
4.90007048,1,0
5.00003048,3,0
5.00004048,0,0
5.00005048,3,0
5.00006048,0,0
5.10003048,3,0
5.10004048,4,0
5.10005048,1,0
5.10006048,2,0
5.20003048,4,0
5.20004048,3,0
5.20005048,0,0
5.20006048,4,0
5.20007048,2,0
5.30003048,2,0
5.30004048,4,0
5.30005048,0,0
5.30006048,4,0
5.30007048,1,0
5.40003048,1,0
5.40004048,3,0
5.40005048,4,0
5.40007048,1,0
5.50003048,4,0
5.50005048,4,0
5.50006048,1,0
5.60003048,2,0
5.60004048,3,0
5.60005048,4,0
5.60006048,0,0
5.70003048,4,0
5.70004048,0,0
5.70005048,4,0
5.70006048,1,0
5.70007048,3,0
5.80003048,3,0
5.80004048,2,0
5.80005048,0,0
5.80006048,2,0
5.80007048,3,0
5.90003048,3,0
5.90004048,4,0
5.90005048,0,0
5.90007048,0,0
6.00003048,4,0
6.00004048,0,0
6.00005048,1,0
6.00007048,0,0
6.10003048,4,0
6.10004048,2,0
6.10005048,0,0
6.10006048,2,0
6.20003048,3,0
6.20005048,1,0
6.20006048,0,0
6.20007048,3,0
6.30003048,1,0
6.30004048,0,0
6.30005048,4,0
6.30006048,0,0
6.30007048,3,0
6.40003048,3,0
6.40004048,0,0
6.40006048,4,0
6.40007048,1,0
6.50003048,2,0
6.50004048,0,0
6.50006048,0,0
6.60003048,2,0
6.60004048,3,0
6.60006048,4,0
6.60007048,1,0
6.70003048,2,0
6.70004048,0,0
6.70005048,1,0
6.70006048,4,0
6.70007048,1,0
6.80003048,4,0
6.80004048,0,0
6.80005048,1,0
6.80006048,4,0
6.80007048,2,0
6.90003048,2,0
6.90004048,3,0
6.90006048,4,0
6.90007048,1,0
7.00003048,4,0
7.00004048,3,0
7.00005048,1,0
7.00007048,3,0
7.10003048,2,0
7.10005048,4,0
7.10006048,0,0
7.20003048,3,0
7.20005048,1,0
7.20006048,4,0
7.20007048,2,0
7.30003048,4,0
7.30004048,2,0
7.30005048,3,0
7.30006048,0,0
7.30007048,3,0
7.40003048,3,0
7.40005048,0,0
7.40007048,3,0
7.50003048,4,0
7.50004048,2,0
7.50005048,3,0
7.50006048,4,0
7.50007048,2,0
7.60003048,4,0
7.60005048,0,0
7.60006048,4,0
7.60007048,1,0
7.70003048,3,0
7.70004048,2,0
7.70005048,3,0
7.70006048,1,0
7.70007048,2,0
7.80003048,2,0
7.80004048,4,0
7.80005048,0,0
7.80006048,2,0
7.80007048,3,0
7.90003048,4,0
7.90005048,4,0
7.90007048,0,0
8.00003048,1,0
8.00004048,0,0
8.00006048,2,0
8.00007048,1,0
8.10003048,3,0
8.10004048,0,0
8.10006048,4,0
8.10007048,3,0
8.20003048,3,0
8.20004048,4,0
8.20006048,0,0
8.30003048,1,0
8.30004048,2,0
8.30005048,4,0
8.30006048,2,0
8.30007048,0,0
8.40003048,2,0
8.40005048,3,0
8.40006048,4,0
8.40007048,2,0
8.50003048,3,0
8.50004048,0,0
8.50006048,2,0
8.50007048,3,0
8.60003048,1,0
8.60004048,0,0
8.60005048,1,0
8.60006048,2,0
8.70003048,3,0
8.70005048,1,0
8.70006048,0,0
8.70007048,2,0
8.80003048,3,0
8.80004048,0,0
8.80005048,3,0
8.80006048,2,0
8.80007048,3,0
8.90003048,2,0
8.90004048,4,0
8.90006048,0,0
8.90007048,2,0
9.00003048,1,0
9.00004048,2,0
9.00005048,3,0
9.00006048,4,0
9.00007048,2,0
9.10003048,3,0
9.10004048,2,0
9.10005048,4,0
9.10006048,1,0
9.10007048,2,0
9.20003048,3,0
9.20004048,4,0
9.20005048,0,0
9.20006048,4,0
9.20007048,0,0
9.30003048,1,0
9.30004048,2,0
9.30005048,0,0
9.30006048,4,0
9.30007048,1,0
9.40003048,3,0
9.40004048,4,0
9.40005048,1,0
9.40006048,0,0
9.40007048,3,0
9.50003048,1,0
9.50004048,3,0
9.50006048,0,0
9.50007048,3,0
9.60003048,1,0
9.60004048,2,0
9.60005048,0,0
9.60006048,2,0
9.60007048,3,0
9.70003048,2,0
9.70004048,4,0
9.70005048,1,0
9.70006048,0,0
9.70007048,1,0
9.80003048,2,0
9.80004048,3,0
9.80005048,1,0
9.80006048,0,0
9.80007048,3,0
9.90003048,3,0
9.90004048,0,0
9.90005048,4,0
9.90007048,3,0
10.00003048,4,0
10.00004048,3,0
10.00005048,1,0
10.00006048,0,0
10.10003048,4,0
10.10004048,3,0
10.10005048,0,0
10.10006048,1,0
10.10007048,0,0
10.20003048,2,0
10.20005048,1,0
10.20006048,2,0
10.20007048,1,0
10.30003048,3,0
10.30005048,3,0
10.30006048,4,0
10.30007048,0,0
10.40003048,3,0
10.40004048,0,0
10.40005048,4,0
10.40007048,1,0
10.50003048,1,0
10.50004048,0,0
10.50005048,1,0
10.50006048,0,0
10.50007048,1,0
10.60003048,1,0
10.60004048,2,0
10.60005048,1,0
10.60006048,0,0
10.60007048,2,0
10.70003048,3,0
10.70004048,0,0
10.70005048,3,0
10.70006048,2,0
10.70007048,1,0
10.80003048,2,0
10.80004048,4,0
10.80005048,1,0
10.80006048,0,0
10.80007048,1,0
10.90003048,4,0
10.90004048,3,0
10.90006048,2,0
10.90007048,1,0
11.00003048,2,0
11.00004048,3,0
11.00006048,1,0
11.00007048,2,0
11.10003048,4,0
11.10004048,0,0
11.10005048,1,0
11.10006048,0,0
11.10007048,3,0
11.20003048,2,0
11.20005048,4,0
11.20006048,2,0
11.20007048,1,0
11.30003048,1,0
11.30004048,0,0
11.30005048,1,0
11.30007048,3,0
11.40003048,2,0
11.40005048,4,0
11.40007048,1,0
