simTime,MCCIndex,specWeatherModel
0.1,0,-100
0.10001,0,-100
0.1,1,-100
0.10001,1,-100
0.1,2,-100
0.10001,2,-100
0.1,3,-100
0.10001,3,-100
0.1,4,-100
0.10001,4,-100
0.2,0,-100
0.20001,0,0
0.2,1,-100
0.20001,1,0
0.2,2,-100
0.20001,2,0
0.2,3,-100
0.20001,3,0
0.2,4,-100
0.20001,4,0
0.3,0,0
0.30001,0,0
0.3,1,0
0.30001,1,0
0.3,2,0
0.30001,2,0
0.3,3,0
0.30001,3,0
0.3,4,0
0.30001,4,0
0.4,0,0
0.40001,0,0
0.4,1,0
0.40001,1,0
0.4,2,0
0.40001,2,0
0.4,3,0
0.40001,3,0
0.4,4,0
0.40001,4,0
0.5,0,0
0.50001,0,0
0.5,1,0
0.50001,1,0
0.5,2,0
0.50001,2,0
0.5,3,0
0.50001,3,0
0.5,4,0
0.50001,4,0
0.6,0,0
0.60001,0,0
0.6,1,0
0.60001,1,0
0.6,2,0
0.60001,2,0
0.6,3,0
0.60001,3,16.869
0.6,4,0
0.60001,4,0
0.7,0,0
0.70001,0,0
0.7,1,0
0.70001,1,0
0.7,2,0
0.70001,2,0
0.7,3,16.869
0.70001,3,16.4008
0.7,4,0
0.70001,4,0
0.8,0,0
0.80001,0,0
0.8,1,0
0.80001,1,0
0.8,2,0
0.80001,2,4.27746
0.8,3,16.4008
0.80001,3,16.4008
0.8,4,0
0.80001,4,0
0.9,0,0
0.90001,0,0
0.9,1,0
0.90001,1,15.6735
0.9,2,4.27746
0.90001,2,4.27746
0.9,3,16.4008
0.90001,3,19.2814
0.9,4,0
0.90001,4,3.03972
1,0,0
1.00001,0,0
1,1,15.6735
1.00001,1,15.6735
1,2,4.27746
1.00001,2,0
1,3,19.2814
1.00001,3,19.2814
1,4,3.03972
1.00001,4,3.03972
1.1,0,0
1.10001,0,0
1.1,1,15.6735
1.10001,1,33.2603
1.1,2,0
1.10001,2,0
1.1,3,19.2814
1.10001,3,42.1087
1.1,4,3.03972
1.10001,4,0
1.2,0,0
1.20001,0,0
1.2,1,33.2603
1.20001,1,35.8604
