simTime,MCC_idx,rainLoss_dB,cloudLoss_dB,fspl_dB,power_dBm,rain_mm_AtMCC,cloudCoverAtMCC
0.1,0,0,0.00563394,199.103,-76.5555,0,0
0.1,1,0,0.0277578,199.146,-76.621,0,0
0.1,2,0,0.00628082,199.344,-76.7973,0,0
0.1,3,0,0.0055108,199.239,-76.6913,0,0
0.1,4,0,0.0222089,199.3,-76.7698,0,0
0.10002024,3,0,0.010537,195.774,-108.24,0,0
0.10003024,3,0,0.0106755,195.774,-108.306,0,0
0.10004024,0,0,0.0124873,195.735,-108.445,0,0
0.10005024,4,0,0.0207816,195.844,-108.456,5.01856,0
0.10006024,2,0,0.0109508,195.736,-108.417,0,0
0.2,0,0,0.00563394,199.103,-76.5555,0,0
0.2,1,0,0.005583,199.146,-76.5988,0,0
0.2,2,0,0.00628082,199.344,-76.7973,0,0
0.2,3,0,0.0055108,199.239,-76.6913,0,0
0.2,4,0,0.0109613,199.3,-76.7586,5.01856,0
0.20002024,4,0,0.0104193,195.838,-108.304,5.01856,0
0.20003024,4,0,0.0105563,195.838,-108.347,5.01856,0
0.20004024,1,0,0.0123459,195.8,-108.51,0,0
0.20005024,4,0,0.0105101,195.844,-108.446,5.01856,0
0.20006024,2,0,0.0217771,195.736,-108.416,0,0
0.3,0,0,0.00563394,199.103,-76.5555,0,0
0.3,1,0,0.005583,199.146,-76.5988,0,0
0.3,2,0,0.0124902,199.344,-76.8035,0,0
0.3,3,0,0.0055108,199.239,-76.6913,0,0
0.3,4,0,0.0055436,199.3,-76.7532,5.01856,0
0.30002024,2,0,0.0106565,195.71,-108.176,0,0
0.30003024,0,0,0.0110446,195.581,-108.091,13.7282,0
0.30004024,3,0,0.023515,195.929,-108.656,0,0
0.30005024,1,0,0.0108719,195.652,-108.254,0,0
0.30006024,0,0,0.0112024,195.607,-108.271,13.7282,0
0.4,0,0,0.00563394,199.103,-76.5555,13.7282,0
0.4,1,0,0.005583,199.146,-76.5988,0,0
0.4,2,0,0.00628082,199.344,-76.7973,0,0
