simTime,MCCIndex,specWeatherModel
0.1,0,3.25313
0.10001,0,0
0.1,1,0
0.10001,1,0
0.1,2,0
0.10001,2,0
0.1,3,4.4375
0.10001,3,4.4375
0.1,4,1.09719
0.10001,4,1.09719
0.2,0,0
0.20001,0,0
0.2,1,0
0.20001,1,0
0.2,2,0
0.20001,2,0
0.2,3,4.4375
0.20001,3,0
0.2,4,1.09719
0.20001,4,1.09719
0.3,0,0
0.30001,0,0
0.3,1,0
0.30001,1,0
0.3,2,0
0.30001,2,0
0.3,3,0
0.30001,3,0
0.3,4,1.09719
0.30001,4,0
0.4,0,0
0.40001,0,0
0.4,1,0
0.40001,1,0
0.4,2,0
0.40001,2,0
0.4,3,0
0.40001,3,7.94068
0.4,4,0
0.40001,4,0
0.5,0,0
0.50001,0,0
0.5,1,0
0.50001,1,0
0.5,2,0
0.50001,2,21.649
0.5,3,7.94068
0.50001,3,0
0.5,4,0
0.50001,4,0
0.6,0,0
0.60001,0,0
0.6,1,0
0.60001,1,0
0.6,2,21.649
0.60001,2,21.649
0.6,3,0
0.60001,3,0
0.6,4,0
0.60001,4,0
0.7,0,0
0.70001,0,5.35178
0.7,1,0
0.70001,1,0
0.7,2,21.649
0.70001,2,21.649
0.7,3,0
0.70001,3,0
0.7,4,0
0.70001,4,16.9639
0.8,0,5.35178
0.80001,0,6.31076
0.8,1,0
0.80001,1,17.5252
0.8,2,21.649
0.80001,2,21.649
0.8,3,0
0.80001,3,0
0.8,4,16.9639
0.80001,4,40.378
0.9,0,6.31076
0.90001,0,6.31076
0.9,1,17.5252
0.90001,1,17.5252
0.9,2,21.649
0.90001,2,3.67336
0.9,3,0
0.90001,3,0
0.9,4,40.378
0.90001,4,40.378
1,0,6.31076
1.00001,0,6.31076
1,1,17.5252
1.00001,1,13.1548
1,2,3.67336
1.00001,2,3.67336
1,3,0
1.00001,3,0
1,4,40.378
1.00001,4,40.378
1.1,0,6.31076
1.10001,0,6.39828
1.1,1,13.1548
1.10001,1,13.1548
1.1,2,3.67336
1.10001,2,3.67336
1.1,3,0
1.10001,3,0
1.1,4,40.378
1.10001,4,40.378
1.2,0,6.39828
1.20001,0,6.39828
1.2,1,13.1548
1.20001,1,13.1548
1.2,2,3.67336
1.20001,2,3.67336
1.2,3,0
1.20001,3,0
1.2,4,40.378
1.20001,4,40.378
1.3,0,6.39828
1.30001,0,6.39828
1.3,1,13.1548
1.30001,1,13.1548
1.3,2,3.67336
1.30001,2,3.67336
1.3,3,0
1.30001,3,0
1.3,4,40.378
1.30001,4,40.378
1.4,0,6.39828
1.40001,0,6.39828
