simTime,MCC_idx,rainLoss_dB,cloudLoss_dB,fspl_dB,power_dBm,rain_mm_AtMCC,cloudCoverAtMCC
0.1,0,0.00182646,0.0193957,199.103,-76.5711,0.928446,0
0.1,1,0.0326863,2.05272,199.146,-78.6786,4.97185,1
0.1,2,0,0.0271043,199.344,-76.8181,0,0
0.1,3,0,0.0187339,199.239,-76.7045,0,0
0.1,4,0.00536866,0.471206,199.3,-77.2242,4.00621,1
0.10002024,3,0,0.0414047,195.774,-108.287,0,0
0.10003024,0,0.000159702,0.0110446,195.581,-110.171,0.928446,0
0.10004024,4,0,0.0568438,195.992,-108.767,0,0
0.10005024,1,0.0015509,0.924114,195.652,-109.182,4.97185,1
0.10006024,3,0,0.0425482,195.8,-108.967,0,0
0.2,0,0.000530537,0.00563394,199.103,-76.5561,0.928446,0
0.2,1,0.00755653,0.474555,199.146,-77.0753,4.97185,1
0.2,2,0,0.00628082,199.344,-76.7973,0,0
0.2,3,0,0.0216545,199.239,-76.7075,0,0
0.2,4,0,0.0264028,199.3,-76.774,0,0
0.20002024,3,0,0.010537,195.774,-108.241,0,0
0.20003024,0,0.000159702,0.0110446,195.581,-108.567,0.928446,0
0.20004024,1,0.0015509,1.0494,195.8,-109.549,4.97185,1
0.20005024,2,0,0.0128209,195.717,-108.337,0,0
0.20006024,1,0.0015509,0.941426,195.671,-109.288,4.97185,1
0.3,0,0.000530537,0.00563394,199.103,-76.5561,0.928446,0
0.3,1,0.00755653,0.474555,199.146,-77.0753,4.97185,1
0.3,2,0,0.0074912,199.344,-76.7985,0,0
0.3,3,0,0.0055108,199.239,-76.6913,0,0
0.3,4,0.0384732,0.62653,199.3,-77.4126,11.6112,1
0.30002024,4,0.0177629,3.21482,195.838,-111.526,11.6112,1
0.30003024,3,0,0.0106755,195.774,-108.76,0,0
0.30004024,0,0,0.0364285,195.735,-108.47,0,0
0.30005024,1,0.00666932,0.924114,195.652,-109.174,14.5927,1
0.30006024,3,0,0.010828,195.8,-109.123,0,0
0.4,0,0,0.0164356,199.103,-76.5663,0,0
0.4,1,0.0415479,0.474555,199.146,-77.1093,14.5927,1
0.4,2,0,0.00833702,199.344,-76.7993,0,0
0.4,3,0,0.0055108,199.239,-76.6913,0,0
0.4,4,0.105033,1.71045,199.3,-78.5631,11.6112,1
0.40002024,4,0.00489344,0.885641,195.838,-109.194,11.6112,1
0.40003024,3,0,0.0159219,195.774,-108.799,0,0
0.40004024,3,0,0.0180015,195.929,-108.646,0,0
0.40005024,0,0,0.0109964,195.587,-108.19,0,0
0.40006024,1,0.0252179,3.5597,195.671,-113.719,14.5927,1
0.5,0,0,0.00563394,199.103,-76.5555,0,0
0.5,1,0.1571,1.79437,199.146,-78.5447,14.5927,1
0.5,2,0,0.00628082,199.344,-76.7973,0,0
0.5,3,0,0.00821903,199.239,-76.694,0,0
0.5,4,0.0289352,0.471206,199.3,-77.2478,11.6112,1
0.50002024,4,0.00489344,0.885641,195.838,-109.184,11.6112,1
0.50003024,0,0,0.0110446,195.581,-110.036,0,0
0.50004024,0,0,0.0124873,195.735,-108.445,0,0
0.50005024,1,0.00356912,0.924114,195.652,-109.174,9.1984,1
0.50006024,2,0.00393697,0.930819,195.736,-109.818,9.88914,1
0.6,0,0,0.00563394,199.103,-76.5555,0,0
0.6,1,0.0200117,0.474555,199.146,-77.0878,9.1984,1
0.6,2,0.022442,0.53387,199.344,-77.3473,9.88914,1
0.6,3,0,0.0055108,199.239,-76.6913,0,0
0.6,4,0.0289352,0.471206,199.3,-77.2478,11.6112,1
0.60002024,3,0,0.010537,195.774,-108.24,0,0
0.60003024,2,0.00393697,0.917711,195.71,-109.62,9.88914,1
0.60004024,4,0.0152216,3.15567,195.992,-112.41,11.6112,1
0.60005024,2,0.00393697,0.913701,195.717,-109.226,9.88914,1
0.60006024,1,0.0169308,2.0332,195.671,-110.869,16.442,1
0.7,0,0,0.0257559,199.103,-76.5757,0,0
0.7,1,0.108385,1.0249,199.146,-77.7265,16.442,1
0.7,2,0.022442,0.53387,199.344,-77.3473,9.88914,1
0.7,3,0,0.0055108,199.239,-76.6913,0,0
0.7,4,0.0900065,1.46574,199.3,-78.3034,11.6112,1
0.70002024,3,0,0.010537,195.774,-108.26,0,0
0.70003024,4,0.0352576,3.28665,195.838,-112.786,19.132,1
0.70004024,1,0.0150769,2.01824,195.8,-111.081,16.442,1
0.70005024,4,0.0352576,3.27229,195.844,-111.743,19.132,1
0.70006024,2,0.00393697,0.930819,195.736,-110.874,9.88914,1
0.8,0,0.119727,1.43263,199.103,-78.1023,14.2516,1
0.8,1,0.0965176,0.912676,199.146,-77.6024,16.442,1
0.8,2,0.022442,0.53387,199.344,-77.3473,9.88914,1
0.8,3,0,0.0055108,199.239,-76.6913,0,0
0.8,4,0.23365,1.72598,199.3,-78.7073,19.132,1
0.80002024,4,0.00962563,0.885641,195.838,-110.735,19.132,1
0.80003024,2,0.00393697,0.917711,195.71,-110.134,9.88914,1
0.80004024,0,0.0115539,1.89866,195.735,-110.893,14.2516,1
0.80005024,1,0.0467295,3.58342,195.652,-111.874,25.4622,2
0.80006024,2,0.00393697,0.930819,195.736,-111.278,9.88914,1
0.9,0,0.0715896,0.856628,199.103,-77.4781,14.2516,1
0.9,1,0.33055,1.84017,199.146,-78.7639,25.4622,2
0.9,2,0.022442,0.53387,199.344,-77.3473,9.88914,1
0.9,3,0,0.0055108,199.239,-76.6913,0,0
0.9,4,0.0637885,0.471206,199.3,-77.2826,19.132,1
0.90002024,3,0.00326594,0.895643,195.774,-110.051,8.61498,1
0.90003024,0,0.00645902,0.938794,195.581,-111.19,14.2516,1
0.90004024,1,0.0536112,4.66852,195.8,-113.77,25.4622,2
0.90005024,2,0.00393697,0.913701,195.717,-109.226,9.88914,1
0.90006024,3,0.00326594,0.920377,195.8,-109.906,8.61498,1
1,0,0.0400211,0.478885,199.103,-77.0688,14.2516,1
1,1,0.379228,2.11117,199.146,-79.0836,25.4622,2
1,2,0.022442,0.53387,199.344,-77.3473,9.88914,1
1,3,0.0180399,0.468418,199.239,-77.1723,8.61498,1
1,4,0.14887,1.0997,199.3,-77.9962,19.132,1
1.00002024,4,0.042119,3.87531,195.838,-112.724,19.132,1
1.00003024,3,0.014252,3.95982,195.774,-114.732,8.61498,1
1.00004024,1,0.0243363,2.11923,195.8,-111.191,25.4622,2
1.00005024,1,0.0243363,1.86621,195.652,-110.615,25.4622,2
1.00006024,2,0.00393697,0.930819,195.736,-110.567,9.88914,1
1.1,0,0.0400211,0.478885,199.103,-77.0688,14.2516,1
1.1,1,0.172147,0.958344,199.146,-77.7237,25.4622,2
1.1,2,0.022442,0.53387,199.344,-77.3473,9.88914,1
1.1,3,0.0787233,2.0441,199.239,-78.8086,8.61498,1
1.1,4,0.27912,2.06186,199.3,-79.0886,19.132,1
1.10002024,2,0.00393697,0.905804,195.71,-109.589,9.88914,1
1.10003024,4,0.00962563,0.897282,195.838,-110.368,19.132,1
1.10004024,3,0.00326594,1.02594,195.929,-110.205,8.61498,1
1.10005024,0,0.0153026,2.21446,195.587,-112.526,14.2516,1
1.10006024,2,0.00393697,0.930819,195.736,-111.659,9.88914,1
1.2,0,0.0948173,1.13457,199.103,-77.7793,14.2516,1
1.2,1,0.192428,1.07125,199.146,-77.8569,25.4622,2
1.2,2,0.022442,0.53387,199.344,-77.3473,9.88914,1
1.2,3,0.0180399,0.468418,199.239,-77.1723,8.61498,1
1.2,4,0.0637885,0.471206,199.3,-77.2826,19.132,1
1.20002024,2,0.0193247,4.44616,195.71,-113.855,9.88914,1
1.20003024,0,0.00645902,0.938794,195.581,-110.283,14.2516,1
1.20004024,3,0.000404827,0.0120699,195.929,-109.189,1.84477,0
1.20005024,4,0.00962563,0.893362,195.844,-109.819,19.132,1
1.20006024,1,0.0101535,0.941426,195.671,-109.806,19.901,1
1.3,0,0.0400211,0.478885,199.103,-77.0688,14.2516,1
1.3,1,0.0678948,0.474555,199.146,-77.1356,19.901,1
1.3,2,0.110157,2.62051,199.344,-79.5217,9.88914,1
1.3,3,0.00157302,0.0055108,199.239,-76.6929,1.84477,0
1.3,4,0.0637885,0.471206,199.3,-77.2826,19.132,1
1.30002024,1,0.0146507,1.0778,195.646,-109.707,26.0868,2
1.30003024,3,0.00237961,0.907416,195.774,-109.719,6.81957,1
1.30004024,0,0.00645902,1.06142,195.735,-112.225,14.2516,1
1.30005024,2,0.0138692,3.2188,195.717,-111.542,9.88914,1
1.30006024,3,0.00237961,0.920377,195.8,-109.905,6.81957,1
1.4,0,0.0400211,0.478885,199.103,-77.0688,14.2516,1
1.4,1,0.10421,0.5583,199.146,-77.2557,26.0868,2
1.4,2,0.0790589,1.88072,199.344,-78.7508,9.88914,1
1.4,3,0.0124614,0.468418,199.239,-77.1667,6.81957,1
1.4,4,0.0955584,0.705891,199.3,-77.5491,19.132,1
1.40002024,3,0.00237961,0.895643,195.774,-109.641,6.81957,1
1.40003024,2,0.0153353,3.57467,195.71,-112.456,9.88914,1
1.40004024,4,0.00962563,1.01448,195.992,-111.667,19.132,1
1.40005024,1,0.0146507,1.08719,195.652,-109.821,26.0868,2
1.40006024,1,0.0146507,1.10756,195.671,-110.243,26.0868,2
1.5,0,0.0585067,0.478885,199.103,-77.0873,18.1154,1
1.5,1,0.10421,0.5583,199.146,-77.2557,26.0868,2
1.5,2,0.087416,2.07953,199.344,-78.958,9.88914,1
1.5,3,0.0124614,0.468418,199.239,-77.1667,6.81957,1
1.5,4,0.0637885,0.471206,199.3,-77.2826,19.132,1
1.50002024,3,0.00237961,0.895643,195.774,-109.659,6.81957,1
1.50003024,2,0.00393697,0.917711,195.71,-109.787,9.88914,1
1.50004024,4,0.00962563,1.01448,195.992,-111.874,19.132,1
1.50005024,1,0.00778859,0.924114,195.652,-109.651,16.3633,1
1.50006024,3,0.00237961,0.920377,195.8,-109.905,6.81957,1
1.6,0,0.0058419,0.0264688,199.103,-76.5822,1.59016,0
1.6,1,0.0498055,0.474555,199.146,-77.1176,16.3633,1
1.6,2,0.022442,0.53387,199.344,-77.3473,9.88914,1
1.6,3,0.0124614,0.468418,199.239,-77.1667,6.81957,1
1.6,4,0.0637885,0.471206,199.3,-77.2826,19.132,1
1.60002024,3,0.00237961,0.895643,195.774,-109.154,6.81957,1
1.60003024,0,0,0.0110446,195.581,-108.609,0,0
1.60004024,4,0.00962563,1.01448,195.992,-110.264,19.132,1
1.60005024,4,0.00962563,0.893362,195.844,-109.814,19.132,1
1.60006024,1,0.00778859,0.941426,195.671,-109.803,16.3633,1
1.7,0,0,0.00563394,199.103,-76.5555,0,0
1.7,1,0.0498055,0.474555,199.146,-77.1176,16.3633,1
1.7,2,0.022442,0.53387,199.344,-77.3473,9.88914,1
1.7,3,0.0124614,0.468418,199.239,-77.1667,6.81957,1
1.7,4,0.0637885,0.471206,199.3,-77.2826,19.132,1
1.70002024,3,0.00237961,0.895643,195.774,-109.128,6.81957,1
1.70003024,3,0.00237961,0.907416,195.774,-109.701,6.81957,1
1.70004024,1,0.00778859,1.0494,195.8,-110.105,16.3633,1
1.70005024,4,0.0120254,1.11608,195.844,-110.039,19.132,1
1.70006024,1,0.00778859,0.941426,195.671,-109.803,16.3633,1
1.8,0,0,0.00563394,199.103,-76.5555,0,0
1.8,1,0.0498055,0.474555,199.146,-77.1176,16.3633,1
1.8,2,0.268343,2.39222,199.344,-79.4516,18.384,1
1.8,3,0.0124614,0.468418,199.239,-77.1667,6.81957,1
1.8,4,0.0796915,0.588682,199.3,-77.416,19.132,1
1.80002024,2,0.00546845,0.905804,195.71,-109.077,12.6036,1
1.80003024,2,0.00546845,0.917711,195.71,-109.651,12.6036,1
1.80004024,1,0.00778859,1.0494,195.8,-112.209,16.3633,1
1.80005024,1,0.00778859,0.924114,195.652,-109.651,16.3633,1
1.80006024,0,0,0.0547096,195.607,-108.977,0,0
1.9,0,0,0.0275147,199.103,-76.5774,0,0
1.9,1,0.0498055,0.474555,199.146,-77.1176,16.3633,1
1.9,2,0.0329462,0.53387,199.344,-77.3578,12.6036,1
1.9,3,0.0124614,0.468418,199.239,-77.1667,6.81957,1
1.9,4,0.0440619,1.465,199.3,-78.2567,7.3969,1
1.90002024,4,0.00265656,0.885641,195.838,-109.203,7.3969,1
1.90003024,3,0.000586724,0.0106755,195.774,-108.803,2.42608,0
1.90004024,3,0.000586724,0.0120699,195.929,-109.199,2.42608,0
1.90005024,4,0.00265656,0.893362,195.844,-109.807,7.3969,1
1.90006024,0,0,0.0151298,195.607,-109.778,0,0
2,0,0,0.00760914,199.103,-76.5575,0,0
2,1,0.00885982,0.474555,199.146,-77.0766,5.49758,1
2,2,0.127931,2.07304,199.344,-78.992,12.6036,1
2,3,0.00242689,0.0055108,199.239,-76.6937,2.42608,0
2,4,0.0141721,0.471206,199.3,-77.233,7.3969,1
2.00002024,4,0,0.0392049,195.838,-108.334,0,0
2.00003024,0,0,0.0110446,195.581,-108.568,0,0
2.00004024,4,0,0.0449084,195.992,-110.929,0,0
2.00005024,2,0.010842,0.930304,195.717,-109.252,20.6126,1
2.00006024,3,0.00180924,0.0333894,195.8,-108.968,2.42608,0
2.1,0,0,0.00563394,199.103,-76.5555,0,0
2.1,1,0.0172235,0.922535,199.146,-77.533,5.49758,1
2.1,2,0.073082,0.543571,199.344,-77.4077,20.6126,1
2.1,3,0.00748361,0.0169932,199.239,-76.7103,2.42608,0
2.1,4,0,0.020859,199.3,-76.7685,0,0
2.10002024,2,0.0490164,4.16954,195.71,-112.384,20.6126,1
2.10003024,2,0.0490164,4.22435,195.71,-113.416,20.6126,1
2.10004024,3,0,0.0120699,195.929,-109.248,0,0
2.10005024,1,0.00471806,2.45338,195.652,-110.721,5.49758,1
2.10006024,2,0.0490164,4.28469,195.736,-112.738,20.6126,1
2.2,0,0,0.00563394,199.103,-76.5555,0,0
2.2,1,0.0235215,1.25987,199.146,-77.8766,5.49758,1
2.2,2,0.330403,2.45748,199.344,-79.5789,20.6126,1
2.2,3,0,0.0055108,199.239,-76.6913,0,0
2.2,4,0,0.0055436,199.3,-76.7532,0,0
2.20002024,1,0.00177715,0.916126,195.646,-109.019,5.49758,1
2.20003024,2,0.0106485,0.917711,195.71,-110.415,20.6126,1
