simTime,MCC_idx,rainLoss_dB,cloudLoss_dB,fspl_dB,power_dBm,rain_mm_AtMCC,cloudCoverAtMCC
0.1,0,4.02215,0.00298903,212.167,-93.6393,0,0
0.1,1,19.9975,0.0148974,212.176,-109.636,0,0
0.1,2,4.02215,0.00340988,212.341,-93.8137,0,0
0.1,3,4.02215,0.00302638,212.202,-93.6748,0,0
0.1,4,16.1136,0.012337,212.231,-105.804,0,0
0.2,0,4.02215,0.00298903,212.167,-93.6393,0,0
0.2,1,4.02215,0.00299636,212.176,-93.6489,0,0
0.2,2,4.02215,0.00340988,212.341,-93.8137,0,0
0.2,3,4.02215,0.00302638,212.202,-93.6748,0,0
0.2,4,7.95294,0.00608897,212.231,-97.6374,5.01856,0
0.3,0,4.02215,0.00298903,212.167,-93.6393,0,0
0.3,1,4.02215,0.00299636,212.176,-93.6489,0,0
0.3,2,7.99855,0.00678098,212.341,-97.7934,0,0
0.3,3,4.02215,0.00302638,212.202,-93.6748,0,0
0.3,4,4.02215,0.00307945,212.231,-93.7036,5.01856,0
0.4,0,4.02215,0.00298903,212.167,-93.6393,13.7282,0
0.4,1,4.02215,0.00299636,212.176,-93.6489,0,0
0.4,2,4.02215,0.00340988,212.341,-93.8137,0,0
0.4,3,7.83609,0.0058961,212.202,-97.4916,0,0
0.4,4,4.02215,0.00307945,212.231,-93.7036,5.01856,0
0.5,0,4.02215,0.00298903,212.167,-93.6393,10.5274,0
0.5,1,4.02215,0.00299636,212.176,-93.6489,0,0
0.5,2,4.02215,0.00340988,212.341,-93.8137,3.90591,0
0.5,3,5.99879,0.00451366,212.202,-95.6529,0,0
0.5,4,4.02215,0.00307945,212.231,-93.7036,5.01856,0
0.6,0,4.02215,0.00298903,212.167,-93.6393,10.5274,0
0.6,1,4.02215,0.00299636,212.176,-93.6489,0,0
0.6,2,4.02215,0.00340988,212.341,-93.8137,13.795,0
0.6,3,4.02215,0.00302638,212.202,-93.6748,0,0
0.6,4,4.02215,0.00307945,212.231,-93.7036,5.01856,0
0.7,0,18.3874,0.0136645,212.167,-108.015,10.5274,0
0.7,1,4.02215,0.00299636,212.176,-93.6489,0,0
0.7,2,4.02215,0.00340988,212.341,-93.8137,13.795,0
0.7,3,4.02215,0.00302638,212.202,-93.6748,0,0
0.7,4,4.02215,0.00307945,212.231,-93.7036,5.01856,0
0.8,0,12.0326,0.00894193,212.167,-101.656,24.779,0
0.8,1,8.68665,0.00647124,212.176,-98.3169,7.24362,0
0.8,2,4.02215,0.00340988,212.341,-93.8137,13.795,0
0.8,3,4.02215,0.00302638,212.202,-93.6748,0,0
0.8,4,12.5114,0.00957902,212.231,-102.199,5.01856,0
0.9,0,7.19479,0.00534676,212.167,-96.8143,24.779,0
0.9,1,7.73549,0.00576267,212.176,-97.365,7.24362,0
0.9,2,4.02215,0.00340988,212.341,-93.8137,13.795,0
0.9,3,4.02215,0.00302638,212.202,-93.6748,0,0
0.9,4,14.7327,0.0112797,212.231,-104.422,12.5393,0
1,0,4.02215,0.00298903,212.167,-93.6393,24.779,0
1,1,13.2571,0.00987609,212.176,-102.891,16.2638,0
1,2,4.02215,0.00340988,212.341,-93.8137,13.795,0
1,3,4.02215,0.00302638,212.202,-93.6748,8.61498,0
1,4,4.02215,0.00307945,212.231,-93.7036,12.5393,0
1.1,0,4.02215,0.00298903,212.167,-93.6393,24.779,0
1.1,1,15.2094,0.0113305,212.176,-104.845,16.2638,0
1.1,2,4.02215,0.00340988,212.341,-93.8137,13.795,0
1.1,3,17.552,0.0132066,212.202,-107.215,8.61498,0
1.1,4,9.38689,0.00718684,212.231,-99.0725,12.5393,0
1.2,0,9.52919,0.00708155,212.167,-99.1504,24.779,0
1.2,1,6.90418,0.00514337,212.176,-96.5331,16.2638,0
1.2,2,4.02215,0.00340988,212.341,-93.8137,13.795,0
1.2,3,4.02215,0.00302638,212.202,-93.6748,8.61498,0
1.2,4,17.5998,0.0134748,212.231,-107.292,12.5393,0
1.3,0,4.02215,0.00298903,212.167,-93.6393,24.779,0
1.3,1,7.71758,0.00574932,212.176,-97.3471,16.2638,0
1.3,2,19.7428,0.0167375,212.341,-109.548,13.795,0
1.3,3,4.02215,0.00302638,212.202,-93.6748,1.84477,0
1.3,4,4.02215,0.00307945,212.231,-93.7036,12.5393,0
1.4,0,4.02215,0.00298903,212.167,-93.6393,24.779,0
1.4,1,4.02215,0.00299636,212.176,-93.6489,10.7026,0
1.4,2,14.1693,0.0120124,212.341,-103.969,13.795,0
1.4,3,4.02215,0.00302638,212.202,-93.6748,6.81957,0
1.4,4,4.02215,0.00307945,212.231,-93.7036,12.5393,0
1.5,0,4.02215,0.00298903,212.167,-93.6393,28.6428,0
1.5,1,4.02215,0.00299636,212.176,-93.6489,16.8884,0
1.5,2,15.6671,0.0132822,212.341,-105.468,13.795,0
1.5,3,4.02215,0.00302638,212.202,-93.6748,6.81957,0
1.5,4,6.02538,0.00461318,212.231,-95.7084,12.5393,0
1.6,0,18.8964,0.0140427,212.167,-108.525,12.1176,0
1.6,1,4.02215,0.00299636,212.176,-93.6489,16.8884,0
1.6,2,4.02215,0.00340988,212.341,-93.8137,13.795,0
1.6,3,4.02215,0.00302638,212.202,-93.6748,6.81957,0
1.6,4,4.02215,0.00307945,212.231,-93.7036,12.5393,0
1.7,0,4.02215,0.00298903,212.167,-93.6393,0,0
1.7,1,4.02215,0.00299636,212.176,-93.6489,7.16492,0
1.7,2,4.02215,0.00340988,212.341,-93.8137,13.795,0
1.7,3,4.02215,0.00302638,212.202,-93.6748,6.81957,0
1.7,4,4.02215,0.00307945,212.231,-93.7036,12.5393,0
1.8,0,4.02215,0.00298903,212.167,-93.6393,0,0
1.8,1,4.02215,0.00299636,212.176,-93.6489,7.16492,0
1.8,2,18.0228,0.0152794,212.341,-107.826,22.2899,0
1.8,3,4.02215,0.00302638,212.202,-93.6748,6.81957,0
1.8,4,4.02215,0.00307945,212.231,-93.7036,12.5393,0
1.9,0,19.6431,0.0145976,212.167,-109.272,0,0
1.9,1,4.02215,0.00299636,212.176,-93.6489,7.16492,0
1.9,2,4.02215,0.00340988,212.341,-93.8137,16.5095,0
1.9,3,4.02215,0.00302638,212.202,-93.6748,6.81957,0
1.9,4,5.0249,0.00384719,212.231,-94.7071,12.5393,0
2,0,5.43226,0.00403695,212.167,-95.0505,0,0
2,1,4.02215,0.00299636,212.176,-93.6489,7.16492,0
2,2,15.6181,0.0132407,212.341,-105.419,16.5095,0
2,3,4.02215,0.00302638,212.202,-93.6748,2.42608,0
2,4,12.505,0.00957418,212.231,-102.193,0.804216,0
2.1,0,4.02215,0.00298903,212.167,-93.6393,0,0
2.1,1,4.02215,0.00299636,212.176,-93.6489,0,0
2.1,2,4.09523,0.00347184,212.341,-93.8868,24.5186,0
2.1,3,12.4028,0.0093322,212.202,-102.062,2.42608,0
2.1,4,4.02215,0.00307945,212.231,-93.7036,0.804216,0
2.2,0,4.02215,0.00298903,212.167,-93.6393,0,0
