simTime,MCC_idx,packet_is_loss
0.10001024,0,1
0.10001024,1,1
0.10001024,2,1
0.10001024,3,1
0.10001024,4,1
0.20001024,0,1
0.20001024,1,1
0.20001024,2,1
0.20001024,3,1
0.20001024,4,1
0.30001024,0,1
0.30001024,1,1
0.30001024,2,1
0.30001024,3,1
0.30001024,4,1
0.40001024,0,1
0.40001024,1,1
0.40001024,2,1
0.40001024,3,1
0.40001024,4,1
0.50001024,0,1
0.50001024,1,1
0.50001024,2,1
0.50001024,3,1
0.50001024,4,1
0.60001024,0,1
0.60001024,1,1
0.60001024,2,1
0.60001024,3,1
0.60001024,4,1
0.70001024,0,1
0.70001024,1,1
0.70001024,2,1
0.70001024,3,1
0.70001024,4,1
0.80001024,0,1
0.80001024,1,1
0.80001024,2,1
0.80001024,3,1
0.80001024,4,1
0.90001024,0,1
0.90001024,1,1
0.90001024,2,1
0.90001024,3,1
0.90001024,4,1
1.00001024,0,1
1.00001024,1,1
1.00001024,2,1
1.00001024,3,1
1.00001024,4,1
1.10001024,0,1
1.10001024,1,1
1.10001024,2,1
1.10001024,3,1
1.10001024,4,1
1.20001024,0,1
1.20001024,1,1
1.20001024,2,1
1.20001024,3,1
1.20001024,4,1
1.30001024,0,1
1.30001024,1,1
1.30001024,2,1
1.30001024,3,1
1.30001024,4,1
1.40001024,0,1
1.40001024,1,1
1.40001024,2,1
1.40001024,3,1
1.40001024,4,1
1.50001024,0,1
1.50001024,1,1
1.50001024,2,1
1.50001024,3,1
1.50001024,4,1
1.60001024,0,1
1.60001024,1,1
1.60001024,2,1
1.60001024,3,1
1.60001024,4,1
1.70001024,0,1
1.70001024,1,1
1.70001024,2,1
1.70001024,3,1
1.70001024,4,1
1.80001024,0,1
1.80001024,1,1
1.80001024,2,1
1.80001024,3,1
1.80001024,4,1
1.90001024,0,1
1.90001024,1,1
1.90001024,2,1
1.90001024,3,1
1.90001024,4,1
2.00001024,0,1
2.00001024,1,1
2.00001024,2,1
2.00001024,3,1
2.00001024,4,1
2.10001024,0,1
2.10001024,1,1
2.10001024,2,1
2.10001024,3,1
2.10001024,4,1
2.20001024,0,1
2.20001024,1,1
2.20001024,2,1
2.20001024,3,1
2.20001024,4,1
2.30001024,0,1
2.30001024,1,1
2.30001024,2,1
2.30001024,3,1
2.30001024,4,1
2.40001024,0,1
2.40001024,1,1
2.40001024,2,1
2.40001024,3,1
2.40001024,4,1
2.50001024,0,1
2.50001024,1,1
2.50001024,2,1
2.50001024,3,1
2.50001024,4,1
2.60001024,0,1
2.60001024,1,1
2.60001024,2,1
2.60001024,3,1
2.60001024,4,1
2.70001024,0,1
2.70001024,1,1
2.70001024,2,1
2.70001024,3,1
2.70001024,4,1
2.80001024,0,1
2.80001024,1,1
2.80001024,2,1
2.80001024,3,1
2.80001024,4,1
2.90001024,0,1
2.90001024,1,1
2.90001024,2,1
2.90001024,3,1
2.90001024,4,1
3.00001024,0,1
3.00001024,1,1
3.00001024,2,1
3.00001024,3,1
3.00001024,4,1
3.10001024,0,1
3.10001024,1,1
3.10001024,2,1
3.10001024,3,1
3.10001024,4,1
3.20001024,0,1
3.20001024,1,1
3.20001024,2,1
3.20001024,3,1
3.20001024,4,1
3.30001024,0,1
3.30001024,1,1
3.30001024,2,1
3.30001024,3,1
3.30001024,4,1
3.40001024,0,1
3.40001024,1,1
3.40001024,2,1
3.40001024,3,1
3.40001024,4,1
3.50001024,0,1
3.50001024,1,1
3.50001024,2,1
3.50001024,3,1
3.50001024,4,1
3.60001024,0,1
3.60001024,1,1
3.60001024,2,1
3.60001024,3,1
