simTime,MCC_idx,rainLoss_dB,cloudLoss_dB,fspl_dB,power_dBm,rain_mm_AtMCC,cloudCoverAtMCC
0.1,0,0.862261,0.00298903,212.167,-90.4794,0,0
0.1,1,4.28703,0.0148974,212.176,-93.9257,0,0
0.1,2,0.862261,0.00340988,212.341,-90.6538,0,0
0.1,3,0.862261,0.00302638,212.202,-90.5149,0,0
0.1,4,3.4544,0.012337,212.231,-93.1451,0,0
0.2,0,0.862261,0.00298903,212.167,-90.4794,0,0
0.2,1,0.862261,0.00299636,212.176,-90.489,0,0
0.2,2,0.862261,0.00340988,212.341,-90.6538,0,0
0.2,3,0.862261,0.00302638,212.202,-90.5149,0,0
0.2,4,1.70494,0.00608897,212.231,-91.3894,5.01856,0
0.3,0,0.862261,0.00298903,212.167,-90.4794,0,0
0.3,1,0.862261,0.00299636,212.176,-90.489,0,0
0.3,2,1.71471,0.00678098,212.341,-91.5096,0,0
0.3,3,0.862261,0.00302638,212.202,-90.5149,0,0
0.3,4,0.862261,0.00307945,212.231,-90.5437,5.01856,0
0.4,0,0.862261,0.00298903,212.167,-90.4794,13.7282,0
0.4,1,0.862261,0.00299636,212.176,-90.489,0,0
0.4,2,0.862261,0.00340988,212.341,-90.6538,0,0
0.4,3,1.67989,0.0058961,212.202,-91.3354,0,0
0.4,4,0.862261,0.00307945,212.231,-90.5437,5.01856,0
0.5,0,0.862261,0.00298903,212.167,-90.4794,10.5274,0
0.5,1,0.862261,0.00299636,212.176,-90.489,0,0
0.5,2,0.862261,0.00340988,212.341,-90.6538,3.90591,0
0.5,3,1.28601,0.00451366,212.202,-90.9402,0,0
0.5,4,0.862261,0.00307945,212.231,-90.5437,5.01856,0
0.6,0,0.862261,0.00298903,212.167,-90.4794,10.5274,0
0.6,1,0.862261,0.00299636,212.176,-90.489,0,0
0.6,2,0.862261,0.00340988,212.341,-90.6538,13.795,0
0.6,3,0.862261,0.00302638,212.202,-90.5149,0,0
