simTime,MCC_idx,rainLoss_dB,cloudLoss_dB,fspl_dB,power_dBm,rain_mm_AtMCC,cloudCoverAtMCC
0.1,0,0,0.00298903,212.167,-89.6171,0,0
0.1,1,0,0.0148974,212.176,-89.6387,0,0
0.1,2,0,0.00340988,212.341,-89.7915,0,0
0.1,3,0,0.00302638,212.202,-89.6527,0,0
0.1,4,0,0.012337,212.231,-89.6907,0,0
0.10002024,3,0,0.00156411,209.599,-135.118,0,0
0.10003024,3,0,0.00158467,209.599,-135.139,0,0
0.10004024,0,0,0.00177646,209.715,-135.408,0,0
0.10005024,4,0,0.00312854,209.619,-135.175,5.01856,0
0.10006024,2,0,0.00160274,209.612,-135.204,0,0
0.2,0,0,0.00298903,212.167,-89.6171,0,0
0.2,1,0,0.00299636,212.176,-89.6268,0,0
0.2,2,0,0.00340988,212.341,-89.7915,0,0
0.2,3,0,0.00302638,212.202,-89.6527,0,0
0.2,4,0,0.00608897,212.231,-89.6845,5.01856,0
0.20002024,4,0,0.00156856,209.612,-135.131,5.01856,0
0.20003024,4,0,0.00158918,209.612,-135.14,5.01856,0
0.20004024,1,0,0.0017815,209.728,-135.421,0,0
0.20005024,4,0,0.00158224,209.619,-135.173,5.01856,0
0.20006024,2,0,0.00318725,209.612,-135.2,0,0
0.3,0,0,0.00298903,212.167,-89.6171,0,0
0.3,1,0,0.00299636,212.176,-89.6268,0,0
0.3,2,0,0.00678098,212.341,-89.7949,0,0
0.3,3,0,0.00302638,212.202,-89.6527,0,0
0.3,4,0,0.00307945,212.231,-89.6815,5.01856,0
0.30002024,2,0,0.00155967,209.586,-135.105,0,0
0.30003024,0,0,0.00157123,209.56,-135.089,13.7282,0
0.30004024,3,0,0.00349056,209.754,-135.452,0,0
0.30005024,1,0,0.00156881,209.58,-135.134,0,0
0.30006024,0,0,0.00159367,209.586,-135.169,13.7282,0
0.4,0,0,0.00298903,212.167,-89.6171,13.7282,0
0.4,1,0,0.00299636,212.176,-89.6268,0,0
0.4,2,0,0.00340988,212.341,-89.7915,0,0
0.4,3,0,0.0058961,212.202,-89.6555,0,0
0.4,4,0,0.00307945,212.231,-89.6815,5.01856,0
0.40002024,2,0,0.00155967,209.586,-135.105,3.90591,0
0.40003024,4,0,0.00158918,209.612,-135.14,5.01856,0
0.40004024,3,0,0.00267214,209.754,-135.448,0,0
0.40005024,0,0,0.00156437,209.567,-135.124,10.5274,0
0.40006024,3,0,0.00239719,209.625,-135.209,0,0
0.5,0,0,0.00298903,212.167,-89.6171,10.5274,0
0.5,1,0,0.00299636,212.176,-89.6268,0,0
0.5,2,0,0.00340988,212.341,-89.7915,3.90591,0
0.5,3,0,0.00451366,212.202,-89.6541,0,0
0.5,4,0,0.00307945,212.231,-89.6815,5.01856,0
0.50002024,4,0,0.00156856,209.612,-135.131,5.01856,0
0.50003024,2,0,0.00158017,209.586,-135.115,13.795,0
0.50004024,0,0,0.00177646,209.715,-135.408,10.5274,0
0.50005024,1,0,0.00156881,209.58,-135.136,0,0
0.50006024,1,0,0.0015982,209.599,-135.182,0,0
0.6,0,0,0.00298903,212.167,-89.6171,10.5274,0
0.6,1,0,0.00299636,212.176,-89.6268,0,0
0.6,2,0,0.00340988,212.341,-89.7915,13.795,0
0.6,3,0,0.00302638,212.202,-89.6527,0,0
0.6,4,0,0.00307945,212.231,-89.6815,5.01856,0
0.60002024,3,0,0.00156411,209.599,-135.118,0,0
0.60003024,3,0,0.00158467,209.599,-135.128,0,0
0.60004024,4,0,0.00179675,209.767,-135.46,5.01856,0
0.60005024,2,0,0.00157327,209.593,-135.147,13.795,0
0.60006024,2,0,0.00160274,209.612,-135.195,13.795,0
0.7,0,0,0.0136645,212.167,-89.6278,10.5274,0
0.7,1,0,0.00299636,212.176,-89.6268,0,0
0.7,2,0,0.00340988,212.341,-89.7915,13.795,0
0.7,3,0,0.00302638,212.202,-89.6527,0,0
0.7,4,0,0.00307945,212.231,-89.6815,5.01856,0
0.70002024,3,0,0.00156411,209.599,-135.129,0,0
0.70003024,2,0,0.00158017,209.586,-135.115,13.795,0
0.70004024,1,0,0.00384752,209.728,-135.423,7.24362,0
0.70005024,4,0,0.00492174,209.619,-135.176,5.01856,0
