simTime,MCCIndex,specWeatherModel,cloudCover,cloudHeight
0.1,0,0.928446,0,3.44266
0.10001,0,0.928446,0,1
0.1,1,4.97185,1,4.32557
0.10001,1,4.97185,1,1
0.1,2,0,0,4.31541
0.10001,2,0,0,1
0.1,3,0,0,3.39949
0.10001,3,0,0,3.92947
0.1,4,4.00621,1,1
0.10001,4,0,0,4.76274
0.2,0,0.928446,0,1
0.20001,0,0.928446,0,1
0.2,1,4.97185,1,1
0.20001,1,4.97185,1,1
0.2,2,0,0,1
0.20001,2,0,0,1.19271
0.2,3,0,0,3.92947
0.20001,3,0,0,1
0.2,4,0,0,4.76274
0.20001,4,11.6112,1,1.32963
0.3,0,0.928446,0,1
0.30001,0,0,0,2.91725
0.3,1,4.97185,1,1
0.30001,1,14.5927,1,1
0.3,2,0,0,1.19271
0.30001,2,0,0,1.32738
0.3,3,0,0,1
0.30001,3,0,0,1
0.3,4,11.6112,1,1.32963
0.30001,4,11.6112,1,3.62993
0.4,0,0,0,2.91725
0.40001,0,0,0,1
0.4,1,14.5927,1,1
0.40001,1,14.5927,1,3.78117
0.4,2,0,0,1.32738
0.40001,2,0,0,1
0.4,3,0,0,1
0.40001,3,0,0,1.49144
0.4,4,11.6112,1,3.62993
0.40001,4,11.6112,1,1
0.5,0,0,0,1
0.50001,0,0,0,1
0.5,1,14.5927,1,3.78117
0.50001,1,9.1984,1,1
0.5,2,0,0,1
0.50001,2,9.88914,1,1
0.5,3,0,0,1.49144
0.50001,3,0,0,1
0.5,4,11.6112,1,1
0.50001,4,11.6112,1,1
0.6,0,0,0,1
0.60001,0,0,0,4.57155
0.6,1,9.1984,1,1
0.60001,1,16.442,1,2.15971
0.6,2,9.88914,1,1
0.60001,2,9.88914,1,1
0.6,3,0,0,1
0.60001,3,0,0,1
0.6,4,11.6112,1,1
0.60001,4,11.6112,1,3.11062
0.7,0,0,0,4.57155
0.70001,0,14.2516,1,2.99159
0.7,1,16.442,1,2.15971
0.70001,1,16.442,1,1.92323
0.7,2,9.88914,1,1
0.70001,2,9.88914,1,1
0.7,3,0,0,1
0.70001,3,0,0,1
0.7,4,11.6112,1,3.11062
0.70001,4,19.132,1,3.66289
0.8,0,14.2516,1,2.99159
0.80001,0,14.2516,1,1.7888
0.8,1,16.442,1,1.92323
0.80001,1,25.4622,2,3.29603
0.8,2,9.88914,1,1
0.80001,2,9.88914,1,1
0.8,3,0,0,1
0.80001,3,0,0,1
0.8,4,19.132,1,3.66289
0.80001,4,19.132,1,1
0.9,0,14.2516,1,1.7888
0.90001,0,14.2516,1,1
0.9,1,25.4622,2,3.29603
0.90001,1,25.4622,2,3.78143
0.9,2,9.88914,1,1
0.90001,2,9.88914,1,1
0.9,3,0,0,1
0.90001,3,8.61498,1,1
0.9,4,19.132,1,1
0.90001,4,19.132,1,2.3338
1,0,14.2516,1,1
1.00001,0,14.2516,1,1
1,1,25.4622,2,3.78143
1.00001,1,25.4622,2,1.71654
1,2,9.88914,1,1
1.00001,2,9.88914,1,1
1,3,8.61498,1,1
1.00001,3,8.61498,1,4.36384
1,4,19.132,1,2.3338
1.00001,4,19.132,1,4.37572
1.1,0,14.2516,1,1
1.10001,0,14.2516,1,2.36918
1.1,1,25.4622,2,1.71654
1.10001,1,25.4622,2,1.91877
1.1,2,9.88914,1,1
1.10001,2,9.88914,1,1
1.1,3,8.61498,1,4.36384
1.10001,3,8.61498,1,1
1.1,4,19.132,1,4.37572
1.10001,4,19.132,1,1
1.2,0,14.2516,1,2.36918
1.20001,0,14.2516,1,1
1.2,1,25.4622,2,1.91877
1.20001,1,19.901,1,1
1.2,2,9.88914,1,1
1.20001,2,9.88914,1,4.90852
1.2,3,8.61498,1,1
1.20001,3,1.84477,0,1
1.2,4,19.132,1,1
1.20001,4,19.132,1,1
1.3,0,14.2516,1,1
1.30001,0,14.2516,1,1
1.3,1,19.901,1,1
1.30001,1,26.0868,2,1
1.3,2,9.88914,1,4.90852
1.30001,2,9.88914,1,3.52281
1.3,3,1.84477,0,1
1.30001,3,6.81957,1,1
1.3,4,19.132,1,1
1.30001,4,19.132,1,1.49805
1.4,0,14.2516,1,1
1.40001,0,18.1154,1,1
1.4,1,26.0868,2,1
1.40001,1,26.0868,2,1
1.4,2,9.88914,1,3.52281
1.40001,2,9.88914,1,3.8952
1.4,3,6.81957,1,1
1.40001,3,6.81957,1,1
1.4,4,19.132,1,1.49805
1.40001,4,19.132,1,1
1.5,0,18.1154,1,1
1.50001,0,1.59016,0,4.69809
1.5,1,26.0868,2,1
1.50001,1,16.3633,1,1
1.5,2,9.88914,1,3.8952
1.50001,2,9.88914,1,1
1.5,3,6.81957,1,1
1.50001,3,6.81957,1,1
1.5,4,19.132,1,1
1.50001,4,19.132,1,1
1.6,0,1.59016,0,4.69809
1.60001,0,0,0,1
1.6,1,16.3633,1,1
1.60001,1,16.3633,1,1
1.6,2,9.88914,1,1
1.60001,2,9.88914,1,1
1.6,3,6.81957,1,1
1.60001,3,6.81957,1,1
1.6,4,19.132,1,1
1.60001,4,19.132,1,1
1.7,0,0,0,1
1.70001,0,0,0,1
1.7,1,16.3633,1,1
1.70001,1,16.3633,1,1
1.7,2,9.88914,1,1
1.70001,2,18.384,1,4.4809
1.7,3,6.81957,1,1
1.70001,3,6.81957,1,1
1.7,4,19.132,1,1
1.70001,4,19.132,1,1.24931
1.8,0,0,0,1
1.80001,0,0,0,4.88374
1.8,1,16.3633,1,1
1.80001,1,16.3633,1,1
1.8,2,18.384,1,4.4809
1.80001,2,12.6036,1,1
1.8,3,6.81957,1,1
1.80001,3,6.81957,1,1
1.8,4,19.132,1,1.24931
1.80001,4,7.3969,1,3.10905
1.9,0,0,0,4.88374
1.90001,0,0,0,1.35059
1.9,1,16.3633,1,1
1.90001,1,5.49758,1,1
1.9,2,12.6036,1,1
1.90001,2,12.6036,1,3.88304
1.9,3,6.81957,1,1
1.90001,3,2.42608,0,1
1.9,4,7.3969,1,3.10905
1.90001,4,7.3969,1,1
2,0,0,0,1.35059
2.00001,0,0,0,1
2,1,5.49758,1,1
2.00001,1,5.49758,1,1.944
2,2,12.6036,1,3.88304
2.00001,2,20.6126,1,1.01817
2,3,2.42608,0,1
2.00001,3,2.42608,0,3.08362
2,4,7.3969,1,1
2.00001,4,0,0,3.76272
2.1,0,0,0,1
2.10001,0,0,0,1
2.1,1,5.49758,1,1.944
2.10001,1,5.49758,1,2.65485
2.1,2,20.6126,1,1.01817
2.10001,2,20.6126,1,4.60314
2.1,3,2.42608,0,3.08362
2.10001,3,0,0,1
2.1,4,0,0,3.76272
