simTime,MCC_idx,rainLoss_dB,cloudLoss_dB,fspl_dB,power_dBm,rain_mm_AtMCC,cloudCoverAtMCC
0.1,0,1.93194,0.0129391,213.082,-92.4742,0.928446,0
0.1,1,8.90636,1.38485,213.091,-100.829,4.97185,1
0.1,2,0,0.0184915,213.254,-90.7198,0,0
0.1,3,0,0.0129245,213.115,-90.5748,0,0
0.1,4,1.74182,0.328728,213.142,-92.6602,4.00621,1
0.2,0,0.561178,0.00375846,213.082,-91.0942,0.928446,0
0.2,1,2.059,0.320153,213.091,-92.9171,4.97185,1
0.2,2,0,0.004285,213.254,-90.7056,0,0
0.2,3,0,0.0149394,213.115,-90.5768,0,0
0.2,4,0,0.0184194,213.142,-90.6081,0,0
0.3,0,0.561178,0.00375846,213.082,-91.0942,0.928446,0
0.3,1,2.059,0.320153,213.091,-92.9171,4.97185,1
0.3,2,0,0.00511076,213.254,-90.7064,0,0
0.3,3,0,0.0038019,213.115,-90.5657,0,0
0.3,4,5.2814,0.437087,213.142,-96.3082,11.6112,1
0.4,0,0,0.0109644,213.082,-90.5403,0,0
0.4,1,4.74145,0.320153,213.091,-95.5996,14.5927,1
0.4,2,0,0.00568781,213.254,-90.707,0,0
0.4,3,0,0.0038019,213.115,-90.5657,0,0
0.4,4,14.4184,1.19326,213.142,-106.201,11.6112,1
0.5,0,0,0.00375846,213.082,-90.5331,0,0
0.5,1,17.9282,1.21056,213.091,-109.677,14.5927,1
0.5,2,0,0.004285,213.254,-90.7056,0,0
0.5,3,0,0.00567031,213.115,-90.5676,0,0
0.5,4,3.97208,0.328728,213.142,-94.8905,11.6112,1
0.6,0,0,0.00375846,213.082,-90.5331,0,0
0.6,1,3.31624,0.320153,213.091,-94.1744,9.1984,1
0.6,2,3.50758,0.364225,213.254,-94.5731,9.88914,1
0.6,3,0,0.0038019,213.115,-90.5657,0,0
0.6,4,3.97208,0.328728,213.142,-94.8905,11.6112,1
0.7,0,0,0.017182,213.082,-90.5465,0,0
0.7,1,11.2318,0.691437,213.091,-102.461,16.442,1
0.7,2,3.50758,0.364225,213.254,-94.5731,9.88914,1
0.7,3,0,0.0038019,213.115,-90.5657,0,0
0.7,4,12.3556,1.02255,213.142,-103.968,11.6112,1
0.8,0,13.9269,0.955719,213.082,-105.412,14.2516,1
0.8,1,10.0019,0.615727,213.091,-101.156,16.442,1
0.8,2,3.50758,0.364225,213.254,-94.5731,9.88914,1
0.8,3,0,0.0038019,213.115,-90.5657,0,0
0.8,4,21.4218,1.2041,213.142,-113.216,19.132,1
0.9,0,8.32749,0.571465,213.082,-99.4283,14.2516,1
0.9,1,24.054,1.24145,213.091,-115.833,25.4622,2
0.9,2,3.50758,0.364225,213.254,-94.5731,9.88914,1
0.9,3,0,0.0038019,213.115,-90.5657,0,0
0.9,4,5.84832,0.328728,213.142,-96.7667,19.132,1
1,0,4.65536,0.319469,213.082,-95.5041,14.2516,1
1,1,27.5964,1.42428,213.091,-119.559,25.4622,2
1,2,3.50758,0.364225,213.254,-94.5731,9.88914,1
1,3,3.1521,0.323161,213.115,-94.0372,8.61498,1
1,4,13.6488,0.767186,213.142,-105.006,19.132,1
1.1,0,4.65536,0.319469,213.082,-95.5041,14.2516,1
1.1,1,12.5271,0.646537,213.091,-103.712,25.4622,2
1.1,2,3.50758,0.364225,213.254,-94.5731,9.88914,1
1.1,3,13.7553,1.41022,213.115,-105.727,8.61498,1
1.1,4,25.5906,1.43842,213.142,-117.619,19.132,1
1.2,0,11.0294,0.75688,213.082,-102.316,14.2516,1
1.2,1,14.0029,0.722707,213.091,-105.264,25.4622,2
1.2,2,3.50758,0.364225,213.254,-94.5731,9.88914,1
1.2,3,3.1521,0.323161,213.115,-94.0372,8.61498,1
1.2,4,5.84832,0.328728,213.142,-96.7667,19.132,1
1.3,0,4.65536,0.319469,213.082,-95.5041,14.2516,1
1.3,1,6.02962,0.320153,213.091,-96.8877,19.901,1
1.3,2,17.217,1.78781,213.254,-109.706,9.88914,1
1.3,3,0.955208,0.0038019,213.115,-91.5209,1.84477,0
1.3,4,5.84832,0.328728,213.142,-96.7667,19.132,1
1.4,0,4.65536,0.319469,213.082,-95.5041,14.2516,1
1.4,1,7.43619,0.376651,213.091,-98.3508,26.0868,2
1.4,2,12.3565,1.2831,213.254,-104.341,9.88914,1
1.4,3,2.6301,0.323161,213.115,-93.5152,6.81957,1
1.4,4,8.76108,0.492451,213.142,-99.8432,19.132,1
1.5,0,5.6061,0.319469,213.082,-96.4549,18.1154,1
1.5,1,7.43619,0.376651,213.091,-98.3508,26.0868,2
1.5,2,13.6627,1.41873,213.254,-105.783,9.88914,1
1.5,3,2.6301,0.323161,213.115,-93.5152,6.81957,1
1.5,4,5.84832,0.328728,213.142,-96.7667,19.132,1
1.6,0,3.99994,0.0176576,213.082,-94.5469,1.59016,0
1.6,1,5.18131,0.320153,213.091,-96.0394,16.3633,1
1.6,2,3.50758,0.364225,213.254,-94.5731,9.88914,1
1.6,3,2.6301,0.323161,213.115,-93.5152,6.81957,1
1.6,4,5.84832,0.328728,213.142,-96.7667,19.132,1
1.7,0,0,0.00375846,213.082,-90.5331,0,0
1.7,1,5.18131,0.320153,213.091,-96.0394,16.3633,1
1.7,2,3.50758,0.364225,213.254,-94.5731,9.88914,1
1.7,3,2.6301,0.323161,213.115,-93.5152,6.81957,1
1.7,4,5.84832,0.328728,213.142,-96.7667,19.132,1
1.8,0,0,0.00375846,213.082,-90.5331,0,0
1.8,1,5.18131,0.320153,213.091,-96.0394,16.3633,1
1.8,2,25.4085,1.63206,213.254,-117.742,18.384,1
1.8,3,2.6301,0.323161,213.115,-93.5152,6.81957,1
1.8,4,7.30635,0.410683,213.142,-98.3067,19.132,1
1.9,0,0,0.0183553,213.082,-90.5477,0,0
1.9,1,5.18131,0.320153,213.091,-96.0394,16.3633,1
1.9,2,4.23262,0.364225,213.254,-95.2982,12.6036,1
1.9,3,2.6301,0.323161,213.115,-93.5152,6.81957,1
1.9,4,8.70846,1.02203,213.142,-100.32,7.3969,1
2,0,0,0.00507613,213.082,-90.5344,0,0
2,1,2.22574,0.320153,213.091,-93.0838,5.49758,1
2,2,16.4354,1.4143,213.254,-108.551,12.6036,1
2,3,1.18102,0.0038019,213.115,-91.7467,2.42608,0
2,4,2.801,0.328728,213.142,-93.7194,7.3969,1
2.1,0,0,0.00375846,213.082,-90.5331,0,0
2.1,1,4.32684,0.622379,213.091,-95.4872,5.49758,1
2.1,2,6.30858,0.370844,213.254,-97.3808,20.6126,1
2.1,3,3.64182,0.0117236,213.115,-94.2154,2.42608,0
2.1,4,0,0.0145519,213.142,-90.6042,0,0
2.2,0,0,0.00375846,213.082,-90.5331,0,0
2.2,1,5.909,0.849959,213.091,-97.2969,5.49758,1
2.2,2,28.521,1.67658,213.254,-120.899,20.6126,1
2.2,3,0,0.0038019,213.115,-90.5657,0,0
2.2,4,0,0.00386739,213.142,-90.5936,0,0
2.3,0,0,0.0104615,213.082,-90.5398,0,0
2.3,1,2.22574,0.320153,213.091,-93.0838,5.49758,1
2.3,2,6.19599,0.364225,213.254,-97.2615,20.6126,1
2.3,3,0,0.0038019,213.115,-90.5657,0,0
2.3,4,4.5363,0.654106,213.142,-95.7801,5.67044,1
2.4,0,0,0.00375846,213.082,-90.5331,0,0
2.4,1,8.52737,1.22659,213.091,-100.292,5.49758,1
2.4,2,7.30744,0.4285,213.254,-98.4373,25.5053,2
2.4,3,0,0.0116727,213.115,-90.5736,0,0
2.4,4,2.27976,0.328728,213.142,-93.1982,5.67044,1
2.5,0,17.3823,1.20821,213.082,-109.12,14.0181,1
2.5,1,2.22574,0.320153,213.091,-93.0838,5.49758,1
2.5,2,7.30744,0.4285,213.254,-98.4373,25.5053,2
2.5,3,0,0.00727978,213.115,-90.5692,0,0
2.5,4,2.27976,0.328728,213.142,-93.1982,5.67044,1
2.6,0,11.7012,0.764373,213.082,-102.995,15.1877,1
2.6,1,2.22574,0.320153,213.091,-93.0838,5.49758,1
2.6,2,8.56156,0.4285,213.254,-99.6914,31.2914,2
2.6,3,0,0.0038019,213.115,-90.5657,0,0
2.6,4,2.27976,0.328728,213.142,-93.1982,5.67044,1
2.7,0,2.90933,0.319469,213.082,-93.7581,7.76822,1
2.7,1,0,0.00944686,213.091,-90.5474,0,0
2.7,2,8.56156,0.4285,213.254,-99.6914,31.2914,2
2.7,3,0,0.0038019,213.115,-90.5657,0,0
2.7,4,2.61176,0.3766,213.142,-93.5781,5.67044,1
2.8,0,6.0309,0.319469,213.082,-96.8797,19.9065,1
2.8,1,0,0.00716407,213.091,-90.5451,0,0
2.8,2,8.56156,0.4285,213.254,-99.6914,31.2914,2
2.8,3,0,0.0038019,213.115,-90.5657,0,0
2.8,4,0,0.00386739,213.142,-90.5936,0,0
2.9,0,6.0309,0.319469,213.082,-96.8797,19.9065,1
2.9,1,0,0.00376651,213.091,-90.5417,0,0
2.9,2,22.9012,1.14619,213.254,-114.749,31.2914,2
2.9,3,0,0.0038019,213.115,-90.5657,0,0
2.9,4,4.21291,0.328728,213.142,-95.1313,12.5279,1
3,0,8.74236,0.375846,213.082,-99.6475,32.147,2
3,1,0,0.0175082,213.091,-90.5555,0,0
3,2,9.61849,0.560661,213.254,-100.88,25.7025,2
3,3,0,0.0171884,213.115,-90.5791,0,0
3,4,15.5474,1.40275,213.142,-107.54,10.3864,1
3.1,0,14.6356,0.629205,213.082,-105.794,32.147,2
3.1,1,0,0.00376651,213.091,-90.5417,0,0
3.1,2,7.35119,0.4285,213.254,-98.481,25.7025,2
3.1,3,0,0.0038019,213.115,-90.5657,0,0
3.1,4,3.64346,0.328728,213.142,-94.5619,10.3864,1
3.2,0,29.8452,1.28309,213.082,-121.658,32.147,2
3.2,1,0,0.00376651,213.091,-90.5417,0,0
3.2,2,33.6571,1.96187,213.254,-126.32,25.7025,2
3.2,3,7.61465,0.731377,213.115,-98.9079,9.37176,1
3.2,4,17.0397,1.53739,213.142,-109.167,10.3864,1
3.3,0,8.74236,0.375846,213.082,-99.6475,32.147,2
3.3,1,0,0.00990291,213.091,-90.5479,0,0
