simTime,MCC_idx,rainLoss_dB,cloudLoss_dB,fspl_dB,power_dBm,rain_mm_AtMCC,cloudCoverAtMCC
0.1,0,1.35737,0.00118821,206.462,-85.268,0,0
0.1,1,6.74861,0.00589963,206.481,-90.6825,0,0
0.1,2,1.35737,0.00134531,206.654,-85.46,0,0
0.1,3,1.35737,0.00118959,206.524,-85.3302,0,0
0.1,4,5.4379,0.00483158,206.562,-89.452,0,0
0.10002024,3,0.547407,0.00138922,205.188,-126.905,0,0
0.10003024,0,0.547407,0.00161053,205.278,-127.187,0,0
0.10004024,4,1.08238,0.00275998,205.216,-127.532,5.01856,0
0.10005024,2,0.547407,0.00143325,205.192,-131.093,0,0
0.2,0,1.35737,0.00118821,206.462,-85.268,0,0
0.2,1,1.35737,0.00118661,206.481,-85.2866,0,0
0.2,2,1.35737,0.00134531,206.654,-85.46,0,0
0.2,3,1.35737,0.00118959,206.524,-85.3302,0,0
0.2,4,2.6839,0.00238465,206.562,-86.6956,5.01856,0
0.20002024,4,0.547407,0.00138378,205.21,-126.926,5.01856,0
0.20003024,4,0.547407,0.00140197,205.21,-126.945,5.01856,0
0.20004024,1,0.547407,0.00160404,205.3,-127.209,0,0
0.20005024,4,0.547407,0.00139584,205.216,-126.995,5.01856,0
0.20006024,2,1.08859,0.0028502,205.192,-128.879,0,0
0.3,0,1.35737,0.00118821,206.462,-85.268,0,0
0.3,1,1.35737,0.00118661,206.481,-85.2866,0,0
0.3,2,2.69929,0.00267533,206.654,-86.8032,0,0
0.3,3,1.35737,0.00118959,206.524,-85.3302,0,0
0.3,4,1.35737,0.00120602,206.562,-85.3679,5.01856,0
0.30002024,2,0.547407,0.00139473,205.167,-126.883,0,0
0.30003024,0,0.547407,0.00142447,205.123,-126.859,13.7282,0
0.30004024,3,1.06648,0.00310027,205.343,-129.116,0,0
0.30005024,1,0.547407,0.00141253,205.151,-126.931,0,0
0.30006024,0,0.547407,0.00144482,205.149,-126.966,13.7282,0
0.4,0,1.35737,0.00118821,206.462,-85.268,13.7282,0
0.4,1,1.35737,0.00118661,206.481,-85.2866,0,0
0.4,2,1.35737,0.00134531,206.654,-85.46,0,0
0.4,3,2.64447,0.0023176,206.524,-86.6185,0,0
0.4,4,1.35737,0.00120602,206.562,-85.3679,5.01856,0
0.40002024,2,0.547407,0.00139473,205.167,-126.883,3.90591,0
0.40003024,4,0.547407,0.00140197,205.21,-126.945,5.01856,0
0.40004024,3,0.816425,0.00237336,205.343,-127.522,0,0
0.40005024,0,0.547407,0.00141825,205.13,-128.197,10.5274,0
0.40006024,3,0.816425,0.00212915,205.214,-127.3,0,0
0.5,0,1.35737,0.00118821,206.462,-85.268,10.5274,0
0.5,1,1.35737,0.00118661,206.481,-85.2866,0,0
0.5,2,1.35737,0.00134531,206.654,-85.46,3.90591,0
0.5,3,2.02443,0.0017742,206.524,-85.9979,0,0
0.5,4,1.35737,0.00120602,206.562,-85.3679,5.01856,0
0.50002024,4,0.547407,0.00138378,205.21,-126.926,5.01856,0
0.50003024,2,0.547407,0.00141307,205.167,-126.902,13.795,0
0.50004024,0,0.547407,0.00161053,205.278,-127.187,10.5274,0
0.50005024,1,0.547407,0.00141253,205.151,-127.598,0,0
0.50006024,1,0.547407,0.00143899,205.171,-126.987,0,0
0.6,0,1.35737,0.00118821,206.462,-85.268,10.5274,0
0.6,1,1.35737,0.00118661,206.481,-85.2866,0,0
0.6,2,1.35737,0.00134531,206.654,-85.46,13.795,0
0.6,3,1.35737,0.00118959,206.524,-85.3302,0,0
0.6,4,1.35737,0.00120602,206.562,-85.3679,5.01856,0
0.60002024,3,0.547407,0.00138922,205.188,-126.905,0,0
0.60003024,3,0.547407,0.00140748,205.188,-126.923,0,0
0.60004024,4,0.547407,0.00158509,205.364,-127.273,5.01856,0
0.60005024,2,0.547407,0.00140689,205.173,-126.952,13.795,0
0.60006024,2,0.547407,0.00143325,205.192,-127.009,13.795,0
0.7,0,6.20527,0.00543194,206.462,-90.1201,10.5274,0
0.7,1,1.35737,0.00118661,206.481,-85.2866,0,0
0.7,2,1.35737,0.00134531,206.654,-85.46,13.795,0
0.7,3,1.35737,0.00118959,206.524,-85.3302,0,0
0.7,4,1.35737,0.00120602,206.562,-85.3679,5.01856,0
0.70002024,2,0.547407,0.00141307,205.167,-126.902,13.795,0
0.70003024,1,1.18224,0.00346425,205.3,-127.845,7.24362,0
0.70004024,4,1.70278,0.00434194,205.216,-128.154,5.01856,0
0.70005024,1,1.18224,0.0031078,205.171,-127.624,7.24362,0
0.8,0,4.06067,0.00355462,206.462,-87.9737,24.779,0
0.8,1,2.93151,0.00256272,206.481,-86.8621,7.24362,0
0.8,2,1.35737,0.00134531,206.654,-85.46,13.795,0
0.8,3,1.35737,0.00118959,206.524,-85.3302,0,0
0.8,4,4.22225,0.00375147,206.562,-88.2353,5.01856,0
0.80002024,4,2.00509,0.00506863,205.21,-131.093,12.5393,0
0.80003024,4,2.00509,0.00513526,205.21,-129.982,12.5393,0
0.80004024,0,0.9792,0.00288091,205.278,-127.62,24.779,0
0.80005024,1,1.05279,0.00271662,205.151,-127.437,7.24362,0
0.80006024,2,0.547407,0.00143325,205.192,-129.876,13.795,0
0.9,0,2.42805,0.00212546,206.462,-86.3396,24.779,0
0.9,1,2.61052,0.00228211,206.481,-86.5408,7.24362,0
0.9,2,1.35737,0.00134531,206.654,-85.46,13.795,0
0.9,3,1.35737,0.00118959,206.524,-85.3302,0,0
0.9,4,4.97188,0.00441753,206.562,-88.9856,12.5393,0
0.90002024,3,0.547407,0.00138922,205.188,-127.977,8.61498,0
0.90003024,2,0.547407,0.00141307,205.167,-128.156,13.795,0
0.90004024,1,1.80427,0.00528697,205.3,-128.469,16.2638,0
0.90005024,2,0.547407,0.00140689,205.173,-126.952,13.795,0
0.90006024,2,0.547407,0.00143325,205.192,-130.627,13.795,0
1,0,1.35737,0.00118821,206.462,-85.268,24.779,0
1,1,4.47392,0.0039111,206.481,-88.4058,16.2638,0
1,2,1.35737,0.00134531,206.654,-85.46,13.795,0
1,3,1.35737,0.00118959,206.524,-85.3302,8.61498,0
1,4,1.35737,0.00120602,206.562,-85.3679,12.5393,0
1.00002024,4,1.27754,0.00322946,205.21,-127.658,12.5393,0
1.00003024,0,0.547407,0.00142447,205.123,-129.978,24.779,0
1.00004024,1,2.06998,0.00606556,205.3,-128.736,16.2638,0
1.00005024,1,2.06998,0.00534138,205.151,-128.457,16.2638,0
1.00006024,3,2.3888,0.00622974,205.214,-128.877,8.61498,0
1.1,0,1.35737,0.00118821,206.462,-85.268,24.779,0
1.1,1,5.13277,0.00448706,206.481,-89.0653,16.2638,0
1.1,2,1.35737,0.00134531,206.654,-85.46,13.795,0
1.1,3,5.92332,0.00519116,206.524,-89.9002,8.61498,0
1.1,4,3.16782,0.00281461,206.562,-87.1799,12.5393,0
1.10002024,2,0.547407,0.00139473,205.167,-126.883,13.795,0
1.10003024,3,0.547407,0.00140748,205.188,-130.702,8.61498,0
1.10004024,3,0.547407,0.00159132,205.343,-127.252,8.61498,0
1.10005024,0,1.29691,0.00336009,205.13,-132.23,24.779,0
1.10006024,2,0.547407,0.00143325,205.192,-128.821,13.795,0
1.2,0,3.21584,0.00281507,206.462,-87.1281,24.779,0
1.2,1,2.32997,0.00203686,206.481,-86.26,16.2638,0
1.2,2,1.35737,0.00134531,206.654,-85.46,13.795,0
1.2,3,1.35737,0.00118959,206.524,-85.3302,8.61498,0
1.2,4,5.93944,0.0052772,206.562,-89.954,12.5393,0
1.20002024,2,2.68696,0.00684607,205.167,-130.888,13.795,0
1.20003024,4,0.547407,0.00140197,205.21,-127.918,12.5393,0
1.20004024,3,0.547407,0.00159132,205.343,-127.252,1.84477,0
1.20005024,4,0.547407,0.00139584,205.216,-126.995,12.5393,0
1.20006024,2,2.68696,0.00703513,205.192,-133.74,13.795,0
1.3,0,1.35737,0.00118821,206.462,-85.268,24.779,0
1.3,1,2.60447,0.00227683,206.481,-86.5348,16.2638,0
1.3,2,6.66265,0.0066035,206.654,-90.7705,13.795,0
1.3,3,1.35737,0.00118959,206.524,-85.3302,1.84477,0
1.3,4,1.35737,0.00120602,206.562,-85.3679,12.5393,0
1.30002024,1,0.547407,0.00140032,205.145,-126.862,10.7026,0
1.30003024,0,0.547407,0.00142447,205.123,-128.107,24.779,0
1.30004024,2,1.92841,0.00495622,205.173,-128.337,13.795,0
1.30005024,1,0.547407,0.00143899,205.171,-126.987,10.7026,0
1.4,0,1.35737,0.00118821,206.462,-85.268,24.779,0
1.4,1,1.35737,0.00118661,206.481,-85.2866,10.7026,0
1.4,2,4.78174,0.00473928,206.654,-88.8877,13.795,0
1.4,3,1.35737,0.00118959,206.524,-85.3302,6.81957,0
1.4,4,1.35737,0.00120602,206.562,-85.3679,12.5393,0
1.40002024,3,0.547407,0.00138922,205.188,-126.905,6.81957,0
1.40003024,3,0.547407,0.00140748,205.188,-126.923,6.81957,0
1.40004024,4,0.820044,0.00237455,205.364,-130.974,12.5393,0
1.40005024,1,0.547407,0.00141253,205.151,-126.931,16.8884,0
1.40006024,3,0.547407,0.00142758,205.214,-127.031,6.81957,0
1.5,0,1.35737,0.00118821,206.462,-85.268,28.6428,0
1.5,1,1.35737,0.00118661,206.481,-85.2866,16.8884,0
1.5,2,5.28721,0.00524026,206.654,-89.3937,13.795,0
1.5,3,1.35737,0.00118959,206.524,-85.3302,6.81957,0
1.5,4,2.0334,0.00180668,206.562,-86.0445,12.5393,0
1.50002024,3,0.547407,0.00138922,205.188,-126.905,6.81957,0
1.50003024,2,0.547407,0.00141307,205.167,-126.902,13.795,0
1.50004024,4,0.547407,0.00158509,205.364,-131.207,12.5393,0
1.50005024,1,0.547407,0.00141253,205.151,-126.931,16.8884,0
1.50006024,1,0.547407,0.00143899,205.171,-127.664,16.8884,0
1.6,0,6.37702,0.0055823,206.462,-90.292,12.1176,0
1.6,1,1.35737,0.00118661,206.481,-85.2866,16.8884,0
1.6,2,1.35737,0.00134531,206.654,-85.46,13.795,0
1.6,3,1.35737,0.00118959,206.524,-85.3302,6.81957,0
1.6,4,1.35737,0.00120602,206.562,-85.3679,12.5393,0
1.60002024,2,0.547407,0.00141307,205.167,-126.902,13.795,0
1.60003024,4,0.547407,0.00158509,205.364,-127.273,12.5393,0
1.60004024,4,0.547407,0.00139584,205.216,-126.995,12.5393,0
1.60005024,3,0.547407,0.00142758,205.214,-127.031,6.81957,0
1.7,0,1.35737,0.00118821,206.462,-85.268,0,0
1.7,1,1.35737,0.00118661,206.481,-85.2866,7.16492,0
1.7,2,1.35737,0.00134531,206.654,-85.46,13.795,0
1.7,3,1.35737,0.00118959,206.524,-85.3302,6.81957,0
1.7,4,1.35737,0.00120602,206.562,-85.3679,12.5393,0
1.70002024,3,0.547407,0.00138922,205.188,-126.905,6.81957,0
1.70003024,0,0.547407,0.00142447,205.123,-126.859,0,0
1.70004024,1,0.547407,0.00160404,205.3,-127.209,7.16492,0
1.70005024,4,0.547407,0.00139584,205.216,-126.995,12.5393,0
1.70006024,1,0.547407,0.00143899,205.171,-126.987,7.16492,0
1.8,0,1.35737,0.00118821,206.462,-85.268,0,0
1.8,1,1.35737,0.00118661,206.481,-85.2866,7.16492,0
1.8,2,6.08222,0.00602822,206.654,-90.1895,22.2899,0
1.8,3,1.35737,0.00118959,206.524,-85.3302,6.81957,0
1.8,4,1.35737,0.00120602,206.562,-85.3679,12.5393,0
1.80002024,2,0.547407,0.00139473,205.167,-126.883,16.5095,0
1.80003024,3,0.547407,0.00140748,205.188,-126.923,6.81957,0
1.80004024,1,0.547407,0.00141253,205.151,-126.931,7.16492,0
1.80005024,1,0.547407,0.00143899,205.171,-126.987,7.16492,0
1.9,0,6.62902,0.00580288,206.462,-90.5443,0,0
1.9,1,1.35737,0.00118661,206.481,-85.2866,7.16492,0
1.9,2,1.35737,0.00134531,206.654,-85.46,16.5095,0
1.9,3,1.35737,0.00118959,206.524,-85.3302,6.81957,0
1.9,4,1.69577,0.00150669,206.562,-85.7066,12.5393,0
1.90002024,2,2.1256,0.00548699,205.167,-128.484,16.5095,0
1.90003024,3,0.547407,0.00159132,205.343,-127.252,2.42608,0
1.90004024,4,1.70192,0.00433974,205.216,-128.153,0.804216,0
1.90005024,0,0.739322,0.00195135,205.149,-127.497,0,0
2,0,1.83324,0.00160478,206.462,-85.7443,0,0
2,1,1.35737,0.00118661,206.481,-85.2866,7.16492,0
2,2,5.2707,0.0052239,206.654,-89.3772,16.5095,0
2,3,1.35737,0.00118959,206.524,-85.3302,2.42608,0
2,4,4.22012,0.00374958,206.562,-88.2332,0.804216,0
2.00002024,4,0.547407,0.00138378,205.21,-127.403,0.804216,0
2.00003024,3,1.688,0.00434013,205.188,-128.067,2.42608,0
2.00004024,4,0.547407,0.00158509,205.364,-131.191,0.804216,0
2.00005024,2,0.557354,0.00143246,205.173,-126.962,24.5186,0
2.00006024,0,0.547407,0.00144482,205.149,-129.831,0,0
2.1,0,1.35737,0.00118821,206.462,-85.268,0,0
2.1,1,1.35737,0.00118661,206.481,-85.2866,0,0
2.1,2,1.38203,0.00136976,206.654,-85.4847,24.5186,0
2.1,3,4.1856,0.00366824,206.524,-88.1609,2.42608,0
2.1,4,1.35737,0.00120602,206.562,-85.3679,0.804216,0
2.10002024,2,2.51979,0.00642015,205.167,-128.861,24.5186,0
2.10003024,0,0.547407,0.00142447,205.123,-126.859,0,0
2.10004024,3,0.547407,0.00159132,205.343,-127.276,0,0
2.10005024,1,1.06416,0.00274596,205.151,-130.279,0,0
2.10006024,3,0.547407,0.00142758,205.214,-127.031,0,0
2.2,0,1.35737,0.00118821,206.462,-85.268,0,0
2.2,1,2.63872,0.00230677,206.481,-86.569,0,0
2.2,2,6.24814,0.00619266,206.654,-90.3556,24.5186,0
2.2,3,1.35737,0.00118959,206.524,-85.3302,0,0
2.2,4,5.10739,0.00453792,206.562,-89.1212,0,0
2.20002024,1,1.45328,0.00371765,205.145,-127.77,0,0
2.20003024,2,0.547407,0.00141307,205.167,-128.184,24.5186,0
2.20004024,2,0.547407,0.00140689,205.173,-126.952,24.5186,0
2.20005024,2,0.547407,0.00143325,205.192,-130.762,24.5186,0
2.3,0,3.77816,0.00330732,206.462,-87.6909,0,0
2.3,1,3.6036,0.00315026,206.481,-87.5348,0,0
2.3,2,1.35737,0.00134531,206.654,-85.46,24.5186,0
2.3,3,1.35737,0.00118959,206.524,-85.3302,0,0
2.3,4,1.35737,0.00120602,206.562,-85.3679,0,0
2.30002024,4,1.08924,0.00275346,205.21,-129.893,5.67044,0
2.30003024,2,0.547407,0.00141307,205.167,-129.15,29.4112,0
2.30004024,3,1.68066,0.00488571,205.343,-128.388,0,0
2.30005024,0,0.547407,0.00141825,205.13,-126.909,0,0
2.30006024,1,0.547407,0.00143899,205.171,-126.987,0,0
2.4,0,1.35737,0.00118821,206.462,-85.268,0,0
2.4,1,1.35737,0.00118661,206.481,-85.2866,0,0
2.4,2,1.35737,0.00134531,206.654,-85.46,29.4112,0
2.4,3,4.16742,0.0036523,206.524,-88.1427,0,0
2.4,4,2.7009,0.00239975,206.562,-86.7126,5.67044,0
2.40002024,3,1.04816,0.00266004,205.188,-127.407,0,0
2.40003024,3,1.04816,0.00269501,205.188,-127.426,0,0
2.40004024,4,0.547407,0.00158509,205.364,-127.273,5.67044,0
2.40005024,4,0.547407,0.00139584,205.216,-129.808,5.67044,0
2.40006024,2,0.547407,0.00143325,205.192,-128.354,29.4112,0
2.5,0,5.13347,0.00449371,206.462,-89.0474,14.0181,0
2.5,1,5.20041,0.00454619,206.481,-89.133,0,0
2.5,2,1.35737,0.00134531,206.654,-85.46,29.4112,0
2.5,3,2.59905,0.00227779,206.524,-86.573,0,0
2.5,4,1.35737,0.00120602,206.562,-85.3679,5.67044,0
2.50002024,2,0.547407,0.00139473,205.167,-130.663,35.1973,0
2.50003024,4,0.547407,0.00140197,205.21,-130.791,5.67044,0
2.50004024,1,0.547407,0.00160404,205.3,-127.209,0,0
2.50005024,2,0.547407,0.00140689,205.173,-128.195,35.1973,0
2.50006024,0,1.30975,0.00345692,205.149,-127.73,15.1877,0
2.6,0,3.24768,0.00284294,206.462,-87.16,15.1877,0
2.6,1,1.35737,0.00118661,206.481,-85.2866,0,0
2.6,2,1.35737,0.00134531,206.654,-85.46,35.1973,0
2.6,3,1.35737,0.00118959,206.524,-85.3302,0,0
2.6,4,1.35737,0.00120602,206.562,-85.3679,5.67044,0
2.60002024,2,0.547407,0.00139473,205.167,-128.775,35.1973,0
2.60003024,4,0.547407,0.00140197,205.21,-126.945,5.67044,0
