simTime,MCC_idx,packet_is_loss
0.10003048,3,1
0.10005048,0,1
0.10006048,4,1
0.10007048,2,1
0.20003048,4,1
0.20005048,1,1
0.20006048,4,1
0.20007048,2,1
0.30003048,2,1
0.30004048,0,1
0.30005048,3,1
0.30006048,1,1
0.30007048,0,1
0.40003048,2,1
0.40004048,4,1
0.40005048,3,1
0.40006048,0,1
0.40007048,3,1
0.50003048,4,1
0.50004048,2,1
0.50005048,0,1
0.50006048,1,1
0.60003048,3,1
0.60005048,4,1
0.60006048,2,1
0.70003048,3,1
0.70004048,2,1
0.70005048,1,1
0.70006048,4,1
0.70007048,1,1
0.80003048,4,1
0.80005048,0,1
0.80006048,1,1
0.80007048,2,1
0.90003048,3,1
0.90004048,2,1
0.90005048,1,1
0.90006048,2,1
1.00003048,4,1
1.00004048,0,1
1.00005048,1,1
1.00007048,3,1
1.10003048,2,1
1.10004048,3,1
1.10006048,0,1
1.10007048,2,1
1.20003048,2,1
1.20004048,4,1
1.20005048,3,1
1.20006048,4,1
1.20007048,2,1
1.30003048,1,1
1.30004048,0,1
1.30006048,2,1
1.30007048,1,1
1.40003048,3,1
1.40005048,4,1
1.40006048,1,1
1.40007048,3,1
1.50003048,3,1
1.50004048,2,1
1.50005048,4,1
1.50006048,1,1
1.60003048,3,1
1.60004048,2,1
1.60005048,4,1
1.60007048,3,1
1.70003048,3,1
1.70004048,0,1
1.70005048,1,1
1.70006048,4,1
1.70007048,1,1
1.80003048,2,1
1.80004048,3,1
1.80005048,1,1
1.80007048,1,1
1.90003048,4,1
1.90004048,2,1
1.90005048,3,1
1.90006048,4,1
1.90007048,0,1
2.00003048,4,1
2.00004048,3,1
2.00005048,4,1
2.00006048,2,1
2.00007048,0,1
2.10003048,2,1
2.10004048,0,1
2.10005048,3,1
2.10006048,1,1
2.10007048,3,1
2.20003048,1,1
2.20004048,2,1
2.20005048,1,1
2.20006048,2,1
2.30003048,4,1
2.30004048,2,1
2.30005048,3,1
2.30006048,0,1
2.30007048,1,1
2.40003048,3,1
2.40005048,4,1
2.40007048,2,1
2.50003048,2,1
2.50004048,4,1
2.50005048,1,1
2.50006048,2,1
2.50007048,0,1
2.60003048,2,1
2.60004048,4,1
2.60005048,3,1
2.60006048,2,1
2.70003048,3,1
2.70004048,0,1
2.70005048,1,1
2.70006048,4,1
2.70007048,2,1
2.80003048,3,1
2.80005048,1,1
2.80006048,0,1
2.80007048,1,1
2.90003048,2,1
2.90004048,3,1
2.90005048,4,1
2.90006048,2,1
2.90007048,1,1
3.00003048,4,1
3.00005048,4,1
3.00006048,1,1
3.00007048,2,1
3.10003048,4,1
3.10004048,0,1
3.10005048,4,1
3.10006048,1,1
3.10007048,3,1
3.20003048,1,1
3.20004048,0,1
3.20005048,3,1
3.20006048,4,1
3.20007048,0,1
3.30003048,2,1
3.30004048,4,1
3.30006048,4,1
3.30007048,2,1
3.40003048,3,1
3.40004048,4,1
3.40005048,0,1
3.40006048,2,1
3.50003048,1,1
3.50004048,3,1
3.50005048,4,1
3.50006048,1,1
3.50007048,2,1
3.60003048,2,1
3.60005048,1,1
3.60006048,4,1
3.60007048,0,1
3.70003048,3,1
3.70005048,3,1
3.70006048,2,1
3.70007048,0,1
3.80003048,4,1
3.80005048,4,1
3.80006048,1,1
3.80007048,2,1
3.90003048,2,1
3.90005048,4,1
3.90006048,0,1
3.90007048,3,1
4.00003048,4,1
4.00004048,0,1
4.00005048,3,1
4.00006048,0,1
4.00007048,3,1
4.10003048,2,1
4.10004048,0,1
4.10005048,1,1
4.10006048,2,1
4.10007048,0,1
4.20003048,2,1
4.20004048,0,1
4.20005048,1,1
4.20007048,0,1
4.30003048,2,1
4.30005048,4,1
4.30006048,2,1
4.30007048,0,1
4.40003048,3,1
4.40004048,2,1
4.40005048,3,1
4.40006048,4,1
4.40007048,2,1
4.50003048,1,1
4.50004048,0,1
4.50006048,0,1
4.60003048,2,1
4.60005048,1,1
4.60006048,4,1
4.60007048,1,1
4.70003048,3,1
4.70004048,0,1
4.70005048,4,1
4.70007048,2,1
4.80003048,1,1
4.80004048,3,1
4.80005048,0,1
4.80007048,2,1
4.90003048,1,1
4.90004048,3,1
4.90005048,0,1
4.90006048,1,1
4.90007048,2,1
5.00003048,4,1
5.00004048,0,1
5.00005048,1,1
5.00007048,2,1
5.10003048,4,1
5.10005048,1,1
5.10007048,1,1
5.20003048,3,1
5.20004048,2,1
5.20005048,0,1
5.20006048,1,1
5.20007048,0,1
5.30003048,4,1
5.30005048,1,1
5.30006048,2,1
5.30007048,3,1
5.40003048,2,1
5.40004048,0,1
5.40006048,4,1
5.40007048,1,1
5.50003048,1,1
5.50004048,0,1
5.50006048,0,1
5.50007048,2,1
5.60003048,4,1
5.60004048,0,1
5.60005048,1,1
5.60007048,3,1
5.70003048,3,1
5.70005048,1,1
5.70006048,4,1
5.70007048,2,1
5.80003048,2,1
5.80004048,3,1
5.80006048,1,1
5.80007048,0,1
5.90003048,3,1
5.90005048,0,1
5.90006048,1,1
6.00003048,4,1
6.00004048,2,1
6.00005048,0,1
6.00007048,0,1
6.10003048,3,1
6.10004048,2,1
6.10005048,4,1
6.10006048,2,1
6.10007048,0,1
6.20003048,2,1
6.20004048,3,1
6.20006048,4,1
6.20007048,3,1
6.30003048,1,1
6.30004048,3,1
6.30005048,4,1
6.30007048,3,1
6.40003048,3,1
6.40004048,0,1
6.40006048,1,1
6.50003048,1,1
6.50004048,0,1
6.50006048,2,1
6.50007048,0,1
6.60003048,4,1
6.60004048,3,1
6.60005048,0,1
6.60006048,2,1
6.60007048,1,1
6.70003048,3,1
6.70005048,4,1
6.70006048,0,1
6.70007048,1,1
6.80003048,2,1
6.80004048,3,1
6.80006048,1,1
6.90003048,4,1
6.90004048,3,1
6.90005048,4,1
6.90006048,0,1
6.90007048,1,1
7.00003048,4,1
7.00004048,3,1
7.00005048,4,1
7.00006048,0,1
7.00007048,1,1
7.10003048,2,1
7.10004048,4,1
7.10005048,3,1
7.10006048,2,1
7.10007048,0,1
7.20003048,2,1
7.20005048,0,1
7.20006048,2,1
7.20007048,1,1
7.30003048,3,1
7.30004048,2,1
7.30005048,0,1
7.30006048,1,1
7.30007048,0,1
7.40003048,3,1
7.40004048,4,1
7.40005048,1,1
7.40006048,0,1
7.40007048,1,1
7.50003048,3,1
7.50004048,0,1
7.50006048,0,1
7.50007048,3,1
7.60003048,4,1
7.60005048,3,1
7.60006048,1,1
7.60007048,3,1
7.70003048,1,1
7.70004048,0,1
7.70005048,4,1
7.70007048,2,1
7.80003048,1,1
7.80004048,4,1
7.80005048,3,1
7.80006048,1,1
7.80007048,0,1
7.90003048,1,1
7.90004048,2,1
7.90005048,1,1
7.90007048,0,1
8.00003048,3,1
8.00004048,4,1
8.00005048,0,1
8.00006048,1,1
8.00007048,0,1
8.10003048,2,1
8.10004048,3,1
8.10005048,1,1
8.10006048,4,1
8.10007048,1,1
8.20003048,1,1
8.20004048,4,1
8.20006048,0,1
8.30003048,1,1
8.30004048,2,1
8.30005048,1,1
8.30006048,0,1
8.30007048,3,1
8.40003048,1,1
8.40004048,4,1
8.40005048,1,1
8.40006048,0,1
8.50003048,1,1
8.50004048,2,1
8.50005048,4,1
8.50006048,0,1
8.50007048,1,1
8.60003048,4,1
8.60004048,2,1
8.60005048,1,1
8.60006048,4,1
8.60007048,1,1
8.70003048,3,1
8.70004048,2,1
8.70005048,0,1
8.70006048,4,1
8.70007048,1,1
8.80003048,1,1
8.80004048,4,1
8.80005048,1,1
8.80006048,4,1
8.80007048,1,1
8.90003048,2,1
8.90004048,3,1
8.90005048,0,1
8.90006048,2,1
8.90007048,3,1
9.00003048,3,1
9.00005048,1,1
9.00006048,2,1
9.10003048,2,1
9.10004048,3,1
9.10005048,4,1
9.10006048,1,1
9.10007048,0,1
9.20003048,4,1
9.20004048,3,1
9.20005048,4,1
9.20007048,3,1
9.30003048,2,1
9.30005048,0,1
9.30006048,4,1
9.30007048,1,1
9.40003048,3,1
9.40004048,0,1
9.40006048,0,1
9.40007048,2,1
9.50003048,2,1
9.50004048,4,1
9.50006048,2,1
9.50007048,3,1
9.60003048,4,1
9.60004048,0,1
9.60005048,3,1
9.60006048,4,1
9.60007048,3,1
9.70003048,2,1
9.70004048,4,1
