simTime,MCC_idx,rainLoss_dB,cloudLoss_dB,fspl_dB,power_dBm,rain_mm_AtMCC,cloudCoverAtMCC
0.1,0,0.231023,0.00118821,206.462,-84.1416,0,0
0.1,1,1.14861,0.00589963,206.481,-85.0825,0,0
0.1,2,0.231023,0.00134531,206.654,-84.3336,0,0
0.1,3,0.231023,0.00118959,206.524,-84.2039,0,0
0.1,4,0.925527,0.00483158,206.562,-84.9396,0,0
0.10002024,3,0.154472,0.00138922,205.188,-125.386,0,0
0.10003024,3,0.154472,0.00140748,205.188,-126.326,0,0
0.10004024,0,0.154472,0.00161053,205.278,-125.668,0,0
0.10005024,4,0.305436,0.00275998,205.216,-125.628,5.01856,0
0.10006024,2,0.154472,0.00143325,205.192,-126.188,0,0
0.2,0,0.231023,0.00118821,206.462,-84.1416,0,0
0.2,1,0.231023,0.00118661,206.481,-84.1602,0,0
0.2,2,0.231023,0.00134531,206.654,-84.3336,0,0
0.2,3,0.231023,0.00118959,206.524,-84.2039,0,0
0.2,4,0.456799,0.00238465,206.562,-84.4685,5.01856,0
0.20002024,4,0.154472,0.00138378,205.21,-125.407,5.01856,0
0.20003024,4,0.154472,0.00140197,205.21,-125.426,5.01856,0
0.20004024,1,0.154472,0.00160404,205.3,-125.689,0,0
0.20005024,4,0.154472,0.00139584,205.216,-125.476,5.01856,0
0.20006024,2,0.307187,0.0028502,205.192,-125.871,0,0
0.3,0,0.231023,0.00118821,206.462,-84.1416,0,0
0.3,1,0.231023,0.00118661,206.481,-84.1602,0,0
0.3,2,0.459418,0.00267533,206.654,-84.5634,0,0
0.3,3,0.231023,0.00118959,206.524,-84.2039,0,0
0.3,4,0.231023,0.00120602,206.562,-84.2415,5.01856,0
0.30002024,2,0.154472,0.00139473,205.167,-125.364,0,0
0.30003024,0,0.154472,0.00142447,205.123,-125.339,13.7282,0
0.30004024,3,0.300948,0.00310027,205.343,-126.11,0,0
0.30005024,1,0.154472,0.00141253,205.151,-125.411,0,0
0.30006024,0,0.154472,0.00144482,205.149,-125.446,13.7282,0
0.4,0,0.231023,0.00118821,206.462,-84.1416,13.7282,0
0.4,1,0.231023,0.00118661,206.481,-84.1602,0,0
0.4,2,0.231023,0.00134531,206.654,-84.3336,0,0
0.4,3,0.450087,0.0023176,206.524,-84.4241,0,0
0.4,4,0.231023,0.00120602,206.562,-84.2415,5.01856,0
0.40002024,2,0.154472,0.00139473,205.167,-125.364,3.90591,0
0.40003024,4,0.154472,0.00140197,205.21,-125.426,5.01856,0
0.40004024,3,0.230386,0.00237336,205.343,-125.809,0,0
0.40005024,0,0.154472,0.00141825,205.13,-125.61,10.5274,0
0.40006024,3,0.230386,0.00212915,205.214,-125.588,0,0
0.5,0,0.231023,0.00118821,206.462,-84.1416,10.5274,0
0.5,1,0.231023,0.00118661,206.481,-84.1602,0,0
0.5,2,0.231023,0.00134531,206.654,-84.3336,3.90591,0
0.5,3,0.344557,0.0017742,206.524,-84.318,0,0
0.5,4,0.231023,0.00120602,206.562,-84.2415,5.01856,0
0.50002024,4,0.154472,0.00138378,205.21,-125.407,5.01856,0
0.50003024,2,0.154472,0.00141307,205.167,-125.383,13.795,0
0.50004024,0,0.154472,0.00161053,205.278,-125.668,10.5274,0
0.50005024,1,0.154472,0.00141253,205.151,-125.525,0,0
0.50006024,1,0.154472,0.00143899,205.171,-125.468,0,0
0.6,0,0.231023,0.00118821,206.462,-84.1416,10.5274,0
0.6,1,0.231023,0.00118661,206.481,-84.1602,0,0
0.6,2,0.231023,0.00134531,206.654,-84.3336,13.795,0
0.6,3,0.231023,0.00118959,206.524,-84.2039,0,0
0.6,4,0.231023,0.00120602,206.562,-84.2415,5.01856,0
0.60002024,3,0.154472,0.00138922,205.188,-125.386,0,0
0.60003024,3,0.154472,0.00140748,205.188,-125.404,0,0
0.60004024,4,0.154472,0.00158509,205.364,-125.754,5.01856,0
0.60005024,2,0.154472,0.00140689,205.173,-125.433,13.795,0
0.60006024,2,0.154472,0.00143325,205.192,-125.49,13.795,0
0.7,0,1.05613,0.00543194,206.462,-84.971,10.5274,0
0.7,1,0.231023,0.00118661,206.481,-84.1602,0,0
0.7,2,0.231023,0.00134531,206.654,-84.3336,13.795,0
0.7,3,0.231023,0.00118959,206.524,-84.2039,0,0
0.7,4,0.231023,0.00120602,206.562,-84.2415,5.01856,0
0.70002024,3,0.154472,0.00138922,205.188,-126.215,0,0
0.70003024,2,0.154472,0.00141307,205.167,-125.383,13.795,0
0.70004024,1,0.333614,0.00346425,205.3,-125.87,7.24362,0
0.70005024,4,0.480504,0.00434194,205.216,-125.805,5.01856,0
