simTime,MCC_idx,rainLoss_dB,cloudLoss_dB,fspl_dB,power_dBm,rain_mm_AtMCC,cloudCoverAtMCC
0.1,0,0,0.00118821,206.462,-83.9106,0,0
0.1,1,0,0.00589963,206.481,-83.9339,0,0
0.1,2,0,0.00134531,206.654,-84.1026,0,0
0.1,3,0,0.00118959,206.524,-83.9729,0,0
0.1,4,0,0.00483158,206.562,-84.0141,0,0
0.10002024,3,0,0.00138922,205.188,-125,0,0
0.10003024,3,0,0.00140748,205.188,-125.023,0,0
0.10004024,0,0,0.00161053,205.278,-125.282,0,0
0.10005024,4,0,0.00275998,205.216,-125.092,5.01856,0
0.10006024,2,0,0.00143325,205.192,-125.108,0,0
0.2,0,0,0.00118821,206.462,-83.9106,0,0
0.2,1,0,0.00118661,206.481,-83.9292,0,0
0.2,2,0,0.00134531,206.654,-84.1026,0,0
0.2,3,0,0.00118959,206.524,-83.9729,0,0
0.2,4,0,0.00238465,206.562,-84.0117,5.01856,0
0.20002024,4,0,0.00138378,205.21,-125.022,5.01856,0
0.20003024,4,0,0.00140197,205.21,-125.04,5.01856,0
0.20004024,1,0,0.00160404,205.3,-125.304,0,0
0.20005024,4,0,0.00139584,205.216,-125.09,5.01856,0
0.20006024,2,0,0.0028502,205.192,-125.107,0,0
0.3,0,0,0.00118821,206.462,-83.9106,0,0
0.3,1,0,0.00118661,206.481,-83.9292,0,0
0.3,2,0,0.00267533,206.654,-84.1039,0,0
0.3,3,0,0.00118959,206.524,-83.9729,0,0
0.3,4,0,0.00120602,206.562,-84.0105,5.01856,0
0.30002024,2,0,0.00139473,205.167,-124.979,0,0
0.30003024,0,0,0.00142447,205.123,-124.954,13.7282,0
0.30004024,3,0,0.00310027,205.343,-125.35,0,0
0.30005024,1,0,0.00141253,205.151,-125.026,0,0
0.30006024,0,0,0.00144482,205.149,-125.061,13.7282,0
0.4,0,0,0.00118821,206.462,-83.9106,13.7282,0
0.4,1,0,0.00118661,206.481,-83.9292,0,0
0.4,2,0,0.00134531,206.654,-84.1026,0,0
0.4,3,0,0.0023176,206.524,-83.974,0,0
0.4,4,0,0.00120602,206.562,-84.0105,5.01856,0
0.40002024,2,0,0.00139473,205.167,-124.979,3.90591,0
0.40003024,4,0,0.00140197,205.21,-125.04,5.01856,0
0.40004024,3,0,0.00237336,205.343,-125.348,0,0
0.40005024,0,0,0.00141825,205.13,-125.005,10.5274,0
0.40006024,3,0,0.00212915,205.214,-125.126,0,0
0.5,0,0,0.00118821,206.462,-83.9106,10.5274,0
0.5,1,0,0.00118661,206.481,-83.9292,0,0
0.5,2,0,0.00134531,206.654,-84.1026,3.90591,0
0.5,3,0,0.0017742,206.524,-83.9734,0,0
0.5,4,0,0.00120602,206.562,-84.0105,5.01856,0
0.50002024,4,0,0.00138378,205.21,-125.022,5.01856,0
0.50003024,2,0,0.00141307,205.167,-124.997,13.795,0
0.50004024,0,0,0.00161053,205.278,-125.282,10.5274,0
0.50005024,1,0,0.00141253,205.151,-125.026,0,0
0.50006024,1,0,0.00143899,205.171,-125.083,0,0
0.6,0,0,0.00118821,206.462,-83.9106,10.5274,0
0.6,1,0,0.00118661,206.481,-83.9292,0,0
0.6,2,0,0.00134531,206.654,-84.1026,13.795,0
0.6,3,0,0.00118959,206.524,-83.9729,0,0
0.6,4,0,0.00120602,206.562,-84.0105,5.01856,0
0.60002024,3,0,0.00138922,205.188,-125,0,0
0.60003024,3,0,0.00140748,205.188,-125.019,0,0
0.60004024,4,0,0.00158509,205.364,-125.369,5.01856,0
0.60005024,2,0,0.00140689,205.173,-125.047,13.795,0
0.60006024,2,0,0.00143325,205.192,-125.104,13.795,0
0.7,0,0,0.00543194,206.462,-83.9149,10.5274,0
0.7,1,0,0.00118661,206.481,-83.9292,0,0
0.7,2,0,0.00134531,206.654,-84.1026,13.795,0
0.7,3,0,0.00118959,206.524,-83.9729,0,0
0.7,4,0,0.00120602,206.562,-84.0105,5.01856,0
0.70002024,3,0,0.00138922,205.188,-125.004,0,0
0.70003024,2,0,0.00141307,205.167,-124.997,13.795,0
0.70004024,1,0,0.00346425,205.3,-125.306,7.24362,0
0.70005024,4,0,0.00434194,205.216,-125.093,5.01856,0
0.70006024,1,0,0.0031078,205.171,-125.084,7.24362,0
0.8,0,0,0.00355462,206.462,-83.913,24.779,0
0.8,1,0,0.00256272,206.481,-83.9306,7.24362,0
0.8,2,0,0.00134531,206.654,-84.1026,13.795,0
0.8,3,0,0.00118959,206.524,-83.9729,0,0
0.8,4,0,0.00375147,206.562,-84.013,5.01856,0
0.80002024,4,0,0.00506863,205.21,-125.028,12.5393,0
0.80003024,4,0,0.00513526,205.21,-125.045,12.5393,0
0.80004024,0,0,0.00288091,205.278,-125.283,24.779,0
0.80005024,1,0,0.00271662,205.151,-125.027,7.24362,0
0.80006024,2,0,0.00143325,205.192,-125.107,13.795,0
0.9,0,0,0.00212546,206.462,-83.9116,24.779,0
0.9,1,0,0.00228211,206.481,-83.9303,7.24362,0
0.9,2,0,0.00134531,206.654,-84.1026,13.795,0
0.9,3,0,0.00118959,206.524,-83.9729,0,0
0.9,4,0,0.00441753,206.562,-84.0137,12.5393,0
0.90002024,3,0,0.00138922,205.188,-125.001,8.61498,0
0.90003024,2,0,0.00141307,205.167,-124.998,13.795,0
0.90004024,1,0,0.00528697,205.3,-125.307,16.2638,0
0.90005024,2,0,0.00140689,205.173,-125.047,13.795,0
0.90006024,2,0,0.00143325,205.192,-125.107,13.795,0
1,0,0,0.00118821,206.462,-83.9106,24.779,0
1,1,0,0.0039111,206.481,-83.9319,16.2638,0
1,2,0,0.00134531,206.654,-84.1026,13.795,0
1,3,0,0.00118959,206.524,-83.9729,8.61498,0
1,4,0,0.00120602,206.562,-84.0105,12.5393,0
1.00002024,4,0,0.00322946,205.21,-125.024,12.5393,0
1.00003024,0,0,0.00142447,205.123,-124.957,24.779,0
1.00004024,1,0,0.00606556,205.3,-125.308,16.2638,0
1.00005024,1,0,0.00534138,205.151,-125.03,16.2638,0
1.00006024,3,0,0.00622974,205.214,-125.131,8.61498,0
1.1,0,0,0.00118821,206.462,-83.9106,24.779,0
1.1,1,0,0.00448706,206.481,-83.9325,16.2638,0
1.1,2,0,0.00134531,206.654,-84.1026,13.795,0
1.1,3,0,0.00519116,206.524,-83.9769,8.61498,0
1.1,4,0,0.00281461,206.562,-84.0121,12.5393,0
1.10002024,2,0,0.00139473,205.167,-124.979,13.795,0
1.10003024,3,0,0.00140748,205.188,-125.022,8.61498,0
1.10004024,3,0,0.00159132,205.343,-125.347,8.61498,0
1.10005024,0,0,0.00336009,205.13,-125.01,24.779,0
1.10006024,2,0,0.00143325,205.192,-125.106,13.795,0
1.2,0,0,0.00281507,206.462,-83.9123,24.779,0
1.2,1,0,0.00203686,206.481,-83.93,16.2638,0
1.2,2,0,0.00134531,206.654,-84.1026,13.795,0
1.2,3,0,0.00118959,206.524,-83.9729,8.61498,0
1.2,4,0,0.0052772,206.562,-84.0146,12.5393,0
1.20002024,2,0,0.00684607,205.167,-124.986,13.795,0
1.20003024,4,0,0.00140197,205.21,-125.041,12.5393,0
1.20004024,3,0,0.00159132,205.343,-125.347,1.84477,0
1.20005024,4,0,0.00139584,205.216,-125.09,12.5393,0
1.20006024,2,0,0.00703513,205.192,-125.114,13.795,0
1.3,0,0,0.00118821,206.462,-83.9106,24.779,0
1.3,1,0,0.00227683,206.481,-83.9303,16.2638,0
1.3,2,0,0.0066035,206.654,-84.1079,13.795,0
1.3,3,0,0.00118959,206.524,-83.9729,1.84477,0
1.3,4,0,0.00120602,206.562,-84.0105,12.5393,0
1.30002024,1,0,0.00140032,205.145,-124.957,10.7026,0
1.30003024,0,0,0.00142447,205.123,-124.955,24.779,0
1.30004024,0,0,0.00161053,205.278,-125.287,24.779,0
1.30005024,2,0,0.00495622,205.173,-125.051,13.795,0
1.30006024,1,0,0.00143899,205.171,-125.083,10.7026,0
1.4,0,0,0.00118821,206.462,-83.9106,24.779,0
1.4,1,0,0.00118661,206.481,-83.9292,10.7026,0
1.4,2,0,0.00473928,206.654,-84.106,13.795,0
1.4,3,0,0.00118959,206.524,-83.9729,6.81957,0
1.4,4,0,0.00120602,206.562,-84.0105,12.5393,0
1.40002024,3,0,0.00138922,205.188,-125,6.81957,0
1.40003024,3,0,0.00140748,205.188,-125.019,6.81957,0
1.40004024,4,0,0.00237455,205.364,-125.373,12.5393,0
1.40005024,1,0,0.00141253,205.151,-125.026,16.8884,0
1.40006024,3,0,0.00142758,205.214,-125.126,6.81957,0
1.5,0,0,0.00118821,206.462,-83.9106,28.6428,0
1.5,1,0,0.00118661,206.481,-83.9292,16.8884,0
1.5,2,0,0.00524026,206.654,-84.1065,13.795,0
1.5,3,0,0.00118959,206.524,-83.9729,6.81957,0
1.5,4,0,0.00180668,206.562,-84.0111,12.5393,0
1.50002024,3,0,0.00138922,205.188,-125,6.81957,0
1.50003024,2,0,0.00141307,205.167,-124.997,13.795,0
1.50004024,4,0,0.00158509,205.364,-125.372,12.5393,0
1.50005024,1,0,0.00141253,205.151,-125.026,16.8884,0
1.50006024,1,0,0.00143899,205.171,-125.083,16.8884,0
1.6,0,0,0.0055823,206.462,-83.915,12.1176,0
1.6,1,0,0.00118661,206.481,-83.9292,16.8884,0
