simTime,MCCIndex,specWeatherModel,cloudCover
0.1,0,1.15799,0
0.10001,0,2.16392,0
0.1,1,0,0
0.10001,1,0,0
0.1,2,3.99801,1
0.10001,2,3.99801,1
0.1,3,0,0
0.10001,3,0,0
0.1,4,4.11827,1
0.10001,4,4.11827,1
0.2,0,2.16392,0
0.20001,0,0,0
0.2,1,0,0
0.20001,1,0,0
0.2,2,3.99801,1
0.20001,2,0,0
0.2,3,0,0
0.20001,3,0,0
0.2,4,4.11827,1
0.20001,4,9.02854,1
0.3,0,0,0
0.30001,0,0,0
0.3,1,0,0
0.30001,1,11.9833,1
0.3,2,0,0
0.30001,2,14.5553,1
0.3,3,0,0
0.30001,3,4.09917,1
0.3,4,9.02854,1
0.30001,4,9.02854,1
0.4,0,0,0
0.40001,0,0,0
0.4,1,11.9833,1
0.40001,1,11.9833,1
0.4,2,14.5553,1
0.40001,2,14.5553,1
0.4,3,4.09917,1
0.40001,3,4.09917,1
0.4,4,9.02854,1
0.40001,4,9.02854,1
0.5,0,0,0
0.50001,0,0,0
0.5,1,11.9833,1
0.50001,1,11.9833,1
0.5,2,14.5553,1
0.50001,2,14.5553,1
0.5,3,4.09917,1
0.50001,3,0,0
0.5,4,9.02854,1
0.50001,4,9.02854,1
0.6,0,0,0
0.60001,0,0,0
0.6,1,11.9833,1
0.60001,1,11.9833,1
0.6,2,14.5553,1
0.60001,2,14.5553,1
0.6,3,0,0
0.60001,3,0,0
0.6,4,9.02854,1
0.60001,4,2.02486,0
0.7,0,0,0
0.70001,0,0,0
0.7,1,11.9833,1
0.70001,1,11.9833,1
0.7,2,14.5553,1
0.70001,2,14.5553,1
0.7,3,0,0
0.70001,3,5.41023,1
0.7,4,2.02486,0
0.70001,4,14.1145,1
0.8,0,0,0
0.80001,0,0,0
0.8,1,11.9833,1
0.80001,1,11.9833,1
0.8,2,14.5553,1
0.80001,2,16.4749,1
0.8,3,5.41023,1
0.80001,3,5.41023,1
0.8,4,14.1145,1
0.80001,4,26.5541,2
0.9,0,0,0
0.90001,0,0,0
0.9,1,11.9833,1
0.90001,1,5.91096,1
0.9,2,16.4749,1
0.90001,2,16.4749,1
0.9,3,5.41023,1
0.90001,3,5.41023,1
0.9,4,26.5541,2
0.90001,4,26.5541,2
1,0,0,0
1.00001,0,0,0
1,1,5.91096,1
1.00001,1,5.91096,1
1,2,16.4749,1
1.00001,2,16.4749,1
1,3,5.41023,1
1.00001,3,5.41023,1
1,4,26.5541,2
1.00001,4,30.1125,2
1.1,0,0,0
1.10001,0,14.4052,1
1.1,1,5.91096,1
1.10001,1,0,0
1.1,2,16.4749,1
1.10001,2,16.4749,1
1.1,3,5.41023,1
1.10001,3,5.41023,1
1.1,4,30.1125,2
1.10001,4,23.9014,1
1.2,0,14.4052,1
1.20001,0,14.4052,1
1.2,1,0,0
1.20001,1,0,0
1.2,2,16.4749,1
1.20001,2,16.4749,1
1.2,3,5.41023,1
1.20001,3,5.41023,1
1.2,4,23.9014,1
1.20001,4,23.9014,1
1.3,0,14.4052,1
1.30001,0,14.4052,1
1.3,1,0,0
1.30001,1,0,0
1.3,2,16.4749,1
1.30001,2,20.1634,1
1.3,3,5.41023,1
1.30001,3,5.41023,1
