simTime,MCC_idx,rainLoss_dB,cloudLoss_dB,fspl_dB,power_dBm,rain_mm_AtMCC,cloudCoverAtMCC
0.1,0,0.0462067,0.00118821,206.462,-83.9568,1.15799,0
0.1,1,0,0.00118661,206.481,-83.9292,0,0
0.1,2,0.180631,0.114352,206.654,-84.3962,3.99801,1
0.1,3,0,0.00118959,206.524,-83.9729,0,0
0.1,4,0.186618,0.102512,206.562,-84.2984,4.11827,1
0.10002024,3,0,0.00138922,205.188,-125.046,0,0
0.10003024,4,0.123544,0.119167,205.21,-125.282,4.11827,1
0.10004024,0,0.0588809,0.00161053,205.278,-125.635,2.16392,0
0.10005024,0,0.0588809,0.00141825,205.13,-125.063,2.16392,0
0.10006024,1,0,0.00143899,205.171,-125.37,0,0
0.2,0,0.0919312,0.00118821,206.462,-84.0026,2.16392,0
0.2,1,0,0.00118661,206.481,-83.9292,0,0
0.2,2,0.180631,0.114352,206.654,-84.3962,3.99801,1
0.2,3,0,0.00118959,206.524,-83.9729,0,0
0.2,4,0.186618,0.102512,206.562,-84.2984,4.11827,1
0.20002024,3,0,0.00138922,205.188,-125.092,0,0
0.20003024,2,0,0.00141307,205.167,-124.997,0,0
0.20004024,4,0.305077,0.134733,205.364,-126.1,9.02854,1
0.20005024,1,0,0.00141253,205.151,-125.026,0,0
0.20006024,3,0,0.00142758,205.214,-125.414,0,0
0.3,0,0,0.00118821,206.462,-83.9106,0,0
0.3,1,0,0.00118661,206.481,-83.9292,0,0
0.3,2,0,0.00134531,206.654,-84.1026,0,0
0.3,3,0,0.00118959,206.524,-83.9729,0,0
0.3,4,0.44262,0.102512,206.562,-84.5544,9.02854,1
0.30002024,1,0.422679,0.119027,205.145,-125.497,11.9833,1
0.30003024,4,0.305077,0.119167,205.21,-125.463,9.02854,1
0.30004024,4,0.305077,0.134733,205.364,-125.807,9.02854,1
0.30005024,1,0.422679,0.120065,205.151,-125.567,11.9833,1
0.30006024,1,0.422679,0.122314,205.171,-126.17,11.9833,1
0.4,0,0,0.00118821,206.462,-83.9106,0,0
0.4,1,0.604389,0.100862,206.481,-84.6333,11.9833,1
0.4,2,0.74856,0.114352,206.654,-84.9642,14.5553,1
0.4,3,0.185666,0.101115,206.524,-84.2585,4.09917,1
0.4,4,0.44262,0.102512,206.562,-84.5544,9.02854,1
0.40002024,3,0.122884,0.118084,205.188,-125.24,4.09917,1
0.40003024,4,0.305077,0.119167,205.21,-126.167,9.02854,1
0.40004024,1,0.422679,0.136343,205.3,-126.723,11.9833,1
0.40005024,4,0.305077,0.118647,205.216,-125.798,9.02854,1
0.40006024,2,0.528759,0.121826,205.192,-126.297,14.5553,1
0.5,0,0,0.00118821,206.462,-83.9106,0,0
0.5,1,0.604389,0.100862,206.481,-84.6333,11.9833,1
0.5,2,0.74856,0.114352,206.654,-84.9642,14.5553,1
0.5,3,0.185666,0.101115,206.524,-84.2585,4.09917,1
0.5,4,0.44262,0.102512,206.562,-84.5544,9.02854,1
0.50002024,4,0.305077,0.117621,205.21,-125.443,9.02854,1
0.50003024,2,0.528759,0.120111,205.167,-126.349,14.5553,1
0.50004024,1,0.422679,0.136343,205.3,-126.723,11.9833,1
0.50005024,4,0.305077,0.118647,205.216,-125.798,9.02854,1
0.50006024,2,0.528759,0.121826,205.192,-126.297,14.5553,1
0.6,0,0,0.00118821,206.462,-83.9106,0,0
0.6,1,0.604389,0.100862,206.481,-84.6333,11.9833,1
0.6,2,0.74856,0.114352,206.654,-84.9642,14.5553,1
0.6,3,0,0.00118959,206.524,-83.9729,0,0
0.6,4,0.44262,0.102512,206.562,-84.5544,9.02854,1
0.60002024,4,0.0545448,0.00138378,205.21,-125.076,2.02486,0
0.60003024,2,0.528759,0.120111,205.167,-126.349,14.5553,1
0.60004024,1,0.422679,0.136343,205.3,-126.723,11.9833,1
0.60005024,2,0.528759,0.119586,205.173,-125.694,14.5553,1
0.60006024,1,0.422679,0.122314,205.171,-126.17,11.9833,1
0.7,0,0,0.00118821,206.462,-83.9106,0,0
0.7,1,0.604389,0.100862,206.481,-84.6333,11.9833,1
0.7,2,0.74856,0.114352,206.654,-84.9642,14.5553,1
0.7,3,0,0.00118959,206.524,-83.9729,0,0
0.7,4,0.0854523,0.00120602,206.562,-84.0959,2.02486,0
0.70002024,4,0.51036,0.117621,205.21,-125.648,14.1145,1
0.70003024,0,0,0.00142447,205.123,-125.658,0,0
0.70004024,1,0.422679,0.136343,205.3,-126.723,11.9833,1
0.70005024,1,0.422679,0.120065,205.151,-125.567,11.9833,1
0.70006024,1,0.422679,0.122314,205.171,-125.712,11.9833,1
0.8,0,0,0.00118821,206.462,-83.9106,0,0
0.8,1,0.604389,0.100862,206.481,-84.6333,11.9833,1
0.8,2,0.74856,0.114352,206.654,-84.9642,14.5553,1
0.8,3,0.251962,0.101115,206.524,-84.3247,5.41023,1
0.8,4,0.723654,0.102512,206.562,-84.8355,14.1145,1
0.80002024,1,0.422679,0.119027,205.145,-125.497,11.9833,1
0.80003024,0,0,0.00142447,205.123,-125.658,0,0
0.80004024,3,0.169156,0.135262,205.343,-126.511,5.41023,1
0.80005024,0,0,0.00141825,205.13,-125.356,0,0
0.80006024,0,0,0.00144482,205.149,-125.886,0,0
0.9,0,0,0.00118821,206.462,-83.9106,0,0
0.9,1,0.604389,0.100862,206.481,-84.6333,11.9833,1
0.9,2,0.85787,0.114352,206.654,-85.0735,16.4749,1
0.9,3,0.251962,0.101115,206.524,-84.3247,5.41023,1
0.9,4,1.45049,0.120602,206.562,-85.5804,26.5541,2
0.90002024,3,0.169156,0.118084,205.188,-125.286,5.41023,1
0.90003024,3,0.169156,0.119636,205.188,-126.01,5.41023,1
0.90004024,4,1.05671,0.158509,205.364,-127.553,26.5541,2
0.90005024,4,1.05671,0.139584,205.216,-126.637,26.5541,2
0.90006024,3,0.169156,0.121345,205.214,-126.985,5.41023,1
1,0,0,0.00118821,206.462,-83.9106,0,0
1,1,0.277735,0.100862,206.481,-84.3066,5.91096,1
1,2,0.85787,0.114352,206.654,-85.0735,16.4749,1
1,3,0.251962,0.101115,206.524,-84.3247,5.41023,1
1,4,1.45049,0.120602,206.562,-85.5804,26.5541,2
1.00002024,3,0.169156,0.118084,205.188,-125.286,5.41023,1
1.00003024,3,0.169156,0.119636,205.188,-125.683,5.41023,1
1.00004024,3,0.169156,0.135262,205.343,-126.621,5.41023,1
1.00005024,1,0.187309,0.120065,205.151,-125.684,5.91096,1
1.00006024,0,0,0.00144482,205.149,-126.631,0,0
1.1,0,0,0.00118821,206.462,-83.9106,0,0
1.1,1,0.277735,0.100862,206.481,-84.3066,5.91096,1
1.1,2,0.85787,0.114352,206.654,-85.0735,16.4749,1
1.1,3,0.251962,0.101115,206.524,-84.3247,5.41023,1
1.1,4,1.66573,0.120602,206.562,-85.7956,30.1125,2
1.10002024,1,0,0.00140032,205.145,-124.957,0,0
1.10003024,2,0.609841,0.120111,205.167,-126.103,16.4749,1
1.10004024,4,0.936094,0.134733,205.364,-127.409,23.9014,1
1.10005024,1,0,0.00141253,205.151,-125.378,0,0
1.10006024,1,0,0.00143899,205.171,-126.868,0,0
1.2,0,0.740074,0.100997,206.462,-84.7505,14.4052,1
1.2,1,0,0.00118661,206.481,-83.9292,0,0
1.2,2,0.85787,0.114352,206.654,-85.0735,16.4749,1
1.2,3,0.251962,0.101115,206.524,-84.3247,5.41023,1
1.2,4,1.29188,0.102512,206.562,-85.4037,23.9014,1
1.20002024,4,0.936094,0.117621,205.21,-126.914,23.9014,1
1.20003024,4,0.936094,0.119167,205.21,-126.094,23.9014,1
1.20004024,0,0.522487,0.136895,205.278,-126.911,14.4052,1
1.20005024,2,0.609841,0.119586,205.173,-126.127,16.4749,1
1.20006024,1,0,0.00143899,205.171,-126.476,0,0
1.3,0,0.740074,0.100997,206.462,-84.7505,14.4052,1
1.3,1,0,0.00118661,206.481,-83.9292,0,0
1.3,2,0.85787,0.114352,206.654,-85.0735,16.4749,1
1.3,3,0.251962,0.101115,206.524,-84.3247,5.41023,1
1.3,4,1.29188,0.102512,206.562,-85.4037,23.9014,1
1.30002024,3,0.169156,0.118084,205.188,-126.126,5.41023,1
1.30003024,4,0.936094,0.119167,205.21,-126.094,23.9014,1
1.30004024,3,0.169156,0.135262,205.343,-126.621,5.41023,1
1.30005024,2,0.769592,0.119586,205.173,-126.287,20.1634,1
1.30006024,2,0.769592,0.121826,205.192,-127.387,20.1634,1
1.4,0,0.740074,0.100997,206.462,-84.7505,14.4052,1
1.4,1,0,0.00118661,206.481,-83.9292,0,0
1.4,2,1.07142,0.114352,206.654,-85.287,20.1634,1
1.4,3,0.251962,0.101115,206.524,-84.3247,5.41023,1
1.4,4,1.29188,0.102512,206.562,-85.4037,23.9014,1
1.40002024,2,0.769592,0.118552,205.167,-126.705,20.1634,1
1.40003024,4,0.936094,0.119167,205.21,-126.094,23.9014,1
1.40004024,4,0.936094,0.134733,205.364,-127.622,23.9014,1
1.40005024,1,0,0.00141253,205.151,-125.378,0,0
1.40006024,0,0.522487,0.122809,205.149,-127.098,14.4052,1
1.5,0,0.740074,0.100997,206.462,-84.7505,14.4052,1
1.5,1,0,0.00118661,206.481,-83.9292,0,0
1.5,2,1.07142,0.114352,206.654,-85.287,20.1634,1
1.5,3,0,0.00118959,206.524,-83.9729,0,0
1.5,4,1.29188,0.102512,206.562,-85.4037,23.9014,1
1.50002024,1,0,0.00140032,205.145,-125.797,0,0
1.50003024,4,0.357926,0.119167,205.21,-125.516,10.3721,1
1.50004024,1,0,0.00160404,205.3,-126.488,0,0
1.50005024,1,0,0.00141253,205.151,-125.026,0,0
1.50006024,1,0,0.00143899,205.171,-126.476,0,0
1.6,0,0.740074,0.100997,206.462,-84.7505,14.4052,1
1.6,1,0,0.00118661,206.481,-83.9292,0,0
1.6,2,1.07142,0.114352,206.654,-85.287,20.1634,1
1.6,3,0,0.00118959,206.524,-83.9729,0,0
1.6,4,0.515609,0.102512,206.562,-84.6274,10.3721,1
1.60002024,4,0,0.00138378,205.21,-125.862,0,0
1.60003024,4,0,0.00140197,205.21,-125.04,0,0
1.60004024,4,0,0.00158509,205.364,-126.553,0,0
1.60005024,2,0.769592,0.119586,205.173,-125.935,20.1634,1
1.60006024,3,0,0.00142758,205.214,-125.743,0,0
1.7,0,0.740074,0.100997,206.462,-84.7505,14.4052,1
1.7,1,0,0.00118661,206.481,-83.9292,0,0
1.7,2,1.07142,0.114352,206.654,-85.287,20.1634,1
1.7,3,0,0.00118959,206.524,-83.9729,0,0
1.7,4,0,0.00120602,206.562,-84.0105,0,0
1.70002024,3,0,0.00138922,205.188,-125.84,0,0
1.70003024,4,0,0.00140197,205.21,-125.04,0,0
1.70004024,4,0,0.00158509,205.364,-126.553,0,0
1.70005024,1,0,0.00141253,205.151,-125.026,0,0
1.70006024,1,0,0.00143899,205.171,-125.083,0,0
1.8,0,0.740074,0.100997,206.462,-84.7505,14.4052,1
1.8,1,0,0.00118661,206.481,-83.9292,0,0
1.8,2,1.07142,0.114352,206.654,-85.287,20.1634,1
1.8,3,0,0.00118959,206.524,-83.9729,0,0
1.8,4,0,0.00120602,206.562,-84.0105,0,0
1.80002024,4,0.102944,0.117621,205.21,-126.081,3.515,1
1.80003024,2,0.769592,0.120111,205.167,-125.885,20.1634,1
1.80004024,4,0.102944,0.134733,205.364,-126.789,3.515,1
1.80005024,0,0.325877,0.120551,205.13,-125.449,9.56071,1
1.80006024,1,0,0.00143899,205.171,-125.083,0,0
1.9,0,0.471409,0.100997,206.462,-84.4818,9.56071,1
1.9,1,0,0.00118661,206.481,-83.9292,0,0
1.9,2,1.07142,0.114352,206.654,-85.287,20.1634,1
1.9,3,0.398214,0.101115,206.524,-84.471,8.20136,1
1.9,4,0.156772,0.102512,206.562,-84.2686,3.515,1
1.90002024,3,0.273118,0.118084,205.188,-125.961,8.20136,1
1.90003024,4,0.508916,0.119167,205.21,-125.667,14.0798,1
1.90004024,0,0.780412,0.136895,205.278,-127.382,20.4093,1
1.90005024,2,0.629865,0.119586,205.173,-126.294,16.9436,1
1.90006024,2,0.629865,0.121826,205.192,-126.113,16.9436,1
2,0,1.0858,0.100997,206.462,-85.0962,20.4093,1
2,1,0,0.00118661,206.481,-83.9292,0,0
2,2,0.884762,0.114352,206.654,-85.1004,16.9436,1
2,3,0.398214,0.101115,206.524,-84.471,8.20136,1
2,4,0.721698,0.102512,206.562,-84.8335,14.0798,1
2.00002024,2,0.629865,0.118552,205.167,-126.911,16.9436,1
2.00003024,0,0.780412,0.12108,205.123,-125.854,20.4093,1
2.00004024,1,0,0.00160404,205.3,-126.302,0,0
2.00005024,4,0.534068,0.118647,205.216,-126.24,14.6821,1
2.00006024,0,0.780412,0.122809,205.149,-126.786,20.4093,1
2.1,0,1.0858,0.100997,206.462,-85.0962,20.4093,1
2.1,1,0,0.00118661,206.481,-83.9292,0,0
2.1,2,0.884762,0.114352,206.654,-85.1004,16.9436,1
2.1,3,0.745184,0.101115,206.524,-84.818,14.4956,1
2.1,4,0.755739,0.102512,206.562,-84.8675,14.6821,1
2.10002024,3,0.526264,0.118084,205.188,-126.829,14.4956,1
2.10003024,2,0.218729,0.120111,205.167,-125.335,6.763,1
2.10004024,0,0.780412,0.136895,205.278,-127.196,20.4093,1
2.10005024,1,0,0.00141253,205.151,-125.871,0,0
2.10006024,2,0.218729,0.121826,205.192,-126.3,6.763,1
2.2,0,1.0858,0.100997,206.462,-85.0962,20.4093,1
2.2,1,0,0.00118661,206.481,-83.9292,0,0
2.2,2,0.322088,0.114352,206.654,-84.5377,6.763,1
2.2,3,0.745184,0.101115,206.524,-84.818,14.4956,1
2.2,4,0.755739,0.102512,206.562,-84.8675,14.6821,1
2.20002024,3,0.526264,0.118084,205.188,-126.829,14.4956,1
2.20003024,3,0.526264,0.119636,205.188,-125.663,14.4956,1
2.20004024,3,0.526264,0.135262,205.343,-126.442,14.4956,1
2.20005024,0,0.635481,0.120551,205.13,-126.604,17.0747,1
2.20006024,1,0,0.00143899,205.171,-125.94,0,0
2.3,0,0.892298,0.100997,206.462,-84.9027,17.0747,1
2.3,1,0,0.00118661,206.481,-83.9292,0,0
2.3,2,0,0.00134531,206.654,-84.1026,0,0
2.3,3,0.745184,0.101115,206.524,-84.818,14.4956,1
2.3,4,0.755739,0.102512,206.562,-84.8675,14.6821,1
2.30002024,2,0,0.00139473,205.167,-125.971,0,0
2.30003024,0,0.635481,0.12108,205.123,-125.709,17.0747,1
2.30004024,0,0.635481,0.136895,205.278,-126.053,17.0747,1
2.30005024,4,0.534068,0.118647,205.216,-126.587,14.6821,1
2.30006024,1,0.167642,0.122314,205.171,-126.228,5.36815,1
2.4,0,0.892298,0.100997,206.462,-84.9027,17.0747,1
2.4,1,0.249806,0.100862,206.481,-84.2787,5.36815,1
2.4,2,0,0.00134531,206.654,-84.1026,0,0
2.4,3,0.404354,0.101115,206.524,-84.4771,8.31621,1
2.4,4,0.755739,0.102512,206.562,-84.8675,14.6821,1
2.40002024,1,0.167642,0.119027,205.145,-126.234,5.36815,1
2.40003024,3,0,0.00140748,205.188,-125.368,0,0
2.40004024,3,0,0.00159132,205.343,-125.347,0,0
2.40005024,1,0.167642,0.120065,205.151,-125.816,5.36815,1
2.40006024,1,0.167642,0.122314,205.171,-126.228,5.36815,1
2.5,0,0,0.00118821,206.462,-83.9106,0,0
2.5,1,0.249806,0.100862,206.481,-84.2787,5.36815,1
2.5,2,0,0.00134531,206.654,-84.1026,0,0
2.5,3,0,0.00118959,206.524,-83.9729,0,0
2.5,4,0.755739,0.102512,206.562,-84.8675,14.6821,1
2.50002024,4,0.936691,0.117621,205.21,-126.075,23.9146,1
2.50003024,3,0,0.00140748,205.188,-125.368,0,0
2.50004024,1,0.733018,0.136343,205.3,-126.172,19.3286,1
2.50005024,0,0,0.00141825,205.13,-125.004,0,0
2.50006024,1,0.733018,0.122314,205.171,-126.794,19.3286,1
2.6,0,0,0.00118821,206.462,-83.9106,0,0
2.6,1,1.02272,0.100862,206.481,-85.0516,19.3286,1
2.6,2,0.00992583,0.00134531,206.654,-84.1125,0.286172,0
2.6,3,0,0.00118959,206.524,-83.9729,0,0
2.6,4,1.29267,0.102512,206.562,-85.4045,23.9146,1
2.60002024,4,0.936691,0.117621,205.21,-126.075,23.9146,1
2.60003024,2,0,0.00141307,205.167,-126.12,0,0
2.60004024,1,0.733018,0.136343,205.3,-126.181,19.3286,1
2.60005024,4,0.936691,0.118647,205.216,-126.144,23.9146,1
2.60006024,0,0,0.00144482,205.149,-126.455,0,0
2.7,0,0,0.00118821,206.462,-83.9106,0,0
2.7,1,1.02272,0.100862,206.481,-85.0516,19.3286,1
2.7,2,0,0.00134531,206.654,-84.1026,0,0
2.7,3,0,0.00118959,206.524,-83.9729,0,0
2.7,4,1.29267,0.102512,206.562,-85.4045,23.9146,1
2.70002024,2,0.0371463,0.00139473,205.167,-125.016,1.45051,0
2.70003024,3,0,0.00140748,205.188,-126.141,0,0
2.70004024,0,0.374546,0.136895,205.278,-125.792,10.7891,1
2.70005024,0,0.374546,0.120551,205.13,-125.498,10.7891,1
2.70006024,3,0,0.00142758,205.214,-126.52,0,0
2.8,0,0.53846,0.100997,206.462,-84.5489,10.7891,1
2.8,1,1.02272,0.100862,206.481,-85.0516,19.3286,1
2.8,2,0.0592008,0.00134531,206.654,-84.1618,1.45051,0
2.8,3,0,0.00118959,206.524,-83.9729,0,0
2.8,4,1.29267,0.102512,206.562,-85.4045,23.9146,1
2.80002024,3,0,0.00138922,205.188,-125.638,0,0
2.80003024,3,0,0.00140748,205.188,-126.141,0,0
2.80004024,4,0.563999,0.134733,205.364,-126.125,15.394,1
2.80005024,2,0.0179082,0.00140689,205.173,-125.065,0.769793,0
2.80006024,2,0.0179082,0.00143325,205.192,-126.516,0.769793,0
2.9,0,0.53846,0.100997,206.462,-84.5489,10.7891,1
2.9,1,1.02272,0.100862,206.481,-85.0516,19.3286,1
2.9,2,0.0294847,0.00134531,206.654,-84.1321,0.769793,0
2.9,3,0,0.00118959,206.524,-83.9729,0,0
2.9,4,0.796153,0.102512,206.562,-84.908,15.394,1
2.90002024,1,0.733018,0.119027,205.145,-126.446,19.3286,1
2.90003024,4,0.968887,0.119167,205.21,-127.249,24.6268,1
2.90004024,4,0.968887,0.134733,205.364,-126.5,24.6268,1
2.90005024,4,0.968887,0.118647,205.216,-126.177,24.6268,1
2.90006024,0,0.374546,0.122809,205.149,-126.454,10.7891,1
3,0,0.53846,0.100997,206.462,-84.5489,10.7891,1
3,1,1.02272,0.100862,206.481,-85.0516,19.3286,1
3,2,0,0.00134531,206.654,-84.1026,0,0
3,3,0,0.00118959,206.524,-83.9729,0,0
3,4,1.33509,0.102512,206.562,-85.4469,24.6268,1
3.00002024,3,0,0.00138922,205.188,-125.638,0,0
3.00003024,0,0.374546,0.12108,205.123,-126.57,10.7891,1
3.00004024,4,0.968887,0.134733,205.364,-126.471,24.6268,1
3.00005024,0,0.374546,0.120551,205.13,-125.498,10.7891,1
3.00006024,1,0.733018,0.122314,205.171,-127.373,19.3286,1
3.1,0,0.53846,0.100997,206.462,-84.5489,10.7891,1
3.1,1,1.02272,0.100862,206.481,-85.0516,19.3286,1
3.1,2,0,0.00134531,206.654,-84.1026,0,0
3.1,3,0,0.00118959,206.524,-83.9729,0,0
3.1,4,1.33509,0.102512,206.562,-85.4469,24.6268,1
3.10002024,2,0,0.00139473,205.167,-125.617,0,0
3.10003024,3,0,0.00140748,205.188,-126.141,0,0
3.10004024,4,1.06632,0.158509,205.364,-126.592,26.7635,2
3.10005024,0,0.720881,0.120551,205.13,-125.844,19.0504,1
3.10006024,3,0,0.00142758,205.214,-126.562,0,0
3.2,0,1.00653,0.100997,206.462,-85.017,19.0504,1
3.2,1,1.44403,0.118661,206.481,-85.4907,26.4466,2
3.2,2,0,0.00134531,206.654,-84.1026,0,0
3.2,3,0,0.00118959,206.524,-83.9729,0,0
3.2,4,1.46308,0.120602,206.562,-85.593,26.7635,2
3.20002024,1,1.08589,0.140032,205.145,-127.288,27.1897,2
3.20003024,2,0.286302,0.120111,205.167,-126.964,8.54406,1
3.20004024,4,1.06632,0.158509,205.364,-126.592,26.7635,2
3.20005024,2,0.286302,0.119586,205.173,-125.452,8.54406,1
3.20006024,1,1.08589,0.143899,205.171,-127.893,27.1897,2
3.3,0,1.81554,0.118821,206.462,-85.8438,32.5642,2
3.3,1,1.48873,0.118661,206.481,-85.5354,27.1897,2
3.3,2,0.41656,0.114352,206.654,-84.6322,8.54406,1
3.3,3,0,0.00118959,206.524,-83.9729,0,0
